Unit,Order,Expression,Translation,SourceStatus
1,1,What's your mother's job?,你妈妈做什么工作？,observed-from-klose-textbook
1,2,She's a doctor.,她是医生。,observed-from-klose-textbook
1,3,Mum and Dad are busy and tired.,爸爸妈妈又忙又累。,observed-from-klose-textbook
1,4,What can we do for them?,我们能为他们做些什么？,observed-from-klose-textbook
1,5,We can do some chores.,我们可以做一些家务活。,observed-from-klose-textbook
2,1,What's your friend's name?,你的朋友叫什么名字？,observed-from-klose-textbook
2,2,His name is Zhang Peng.,他叫张鹏。,observed-from-klose-textbook
2,3,He's tall and strong.,他又高又壮。,observed-from-klose-textbook
2,4,He's also kind. He often helps me.,他也很友善。他经常帮助我。,observed-from-klose-textbook
2,5,Who's your best friend?,谁是你最好的朋友？,observed-from-klose-textbook
2,6,Chen Jie. She's funny. She often makes me smile.,陈杰。她很有趣。她经常让我开心。,observed-from-klose-textbook
3,1,There is a playground. We often play there.,那里有个游乐场。我们经常在那里玩儿。,observed-from-klose-textbook
3,2,There is a taijiquan club.,这里有一个太极拳俱乐部。,observed-from-klose-textbook
3,3,There are many people.,这里有好多人。,observed-from-klose-textbook
3,4,There is a gym too.,这里还有一个体育馆。,observed-from-klose-textbook
3,5,Great! Let's do some sports.,太棒了！我们一起做运动吧。,observed-from-klose-textbook
3,6,My favourite place is the museum.,我最喜欢的地方是博物馆。,observed-from-klose-textbook
4,1,Our neighbour is a firefighter. He often helps people.,我们的邻居是消防员。他经常帮助别人。,observed-from-klose-textbook
4,2,He's a school bus driver. He takes us to school every day.,他是校车司机。他每天送我们去学校。,observed-from-klose-textbook
4,3,That's an important job too!,那个工作也很重要！,observed-from-klose-textbook
4,4,Chen Jie is making the bed.,陈杰正在铺床。,observed-from-klose-textbook
4,5,"In the kindergarten, John and Class One are singing songs together.","在幼儿园，约翰和一班（的小朋友们）在一起唱歌。",observed-from-klose-textbook
5,1,Hello! Mark speaking.,你好！我是马克。,observed-from-klose-textbook
5,2,"Hi, Mark! This is John. What's the weather like in Sydney?","嗨，马克！我是约翰。悉尼的天气怎么样？",observed-from-klose-textbook
5,3,"Well, it's sunny today.",噢，今天是晴天。,observed-from-klose-textbook
5,4,It's only two degrees in Beijing.,北京只有两度。,observed-from-klose-textbook
5,5,It's raining now.,现在下雨了。,observed-from-klose-textbook
5,6,We can't play basketball in the park.,我们不能在公园打篮球了。,observed-from-klose-textbook
5,7,It's OK. We can go to the library.,没关系。我们可以去图书馆。,observed-from-klose-textbook
5,8,"It's hot and sunny here.",这里很热，是个大晴天。,observed-from-klose-textbook
5,9,Their children swim in the pool.,他们的孩子在泳池里游泳。,observed-from-klose-textbook
6,1,"Whose sweater is this, Mum?",这是谁的毛衣，妈妈？,observed-from-klose-textbook
6,2,It's your dad's.,是你爸爸的。,observed-from-klose-textbook
6,3,Can I wear this new shirt today?,我今天可以穿这件新衬衫吗？,observed-from-klose-textbook
6,4,"Yes, but wear a coat too. It's cold and windy outside.",可以，但是再穿一件外套吧。外面有风，很冷。,observed-from-klose-textbook
6,5,Which season do you like?,你喜欢哪个季节？,observed-from-klose-textbook
6,6,Winter. It snows a lot.,冬天。冬天经常下雪。,observed-from-klose-textbook
6,7,I like winter too. There are many festivals.,我也喜欢冬天。（在冬天）有很多节日。,observed-from-klose-textbook
6,8,It's full of life.,（春天）充满生机。,observed-from-klose-textbook
6,9,And enjoy mooncakes.,还品尝月饼。,observed-from-klose-textbook
6,10,Then spring comes again.,接着春天又来了。,observed-from-klose-textbook
