SourceID,SourceEdition,EvidenceFileID,Lemma,FormType,InflectedForm,IPA,Grade,Semester,Unit,Page,SourceEntry,SourceStatus
pending-confirmation,pending-confirmation,file_000000007c3881fdacc14566c62860fe,tooth,plural,teeth,/tiːθ/,5,上,4,44,tooth（复数 teeth）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_0000000021748230a3fe013ca478fd9a,leaf,plural,leaves,/liːvz/,5,下,2,19,leaf（复数 leaves）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009f948230995475af40a37df1,climb,present_participle,climbing,/ˈklaɪmɪŋ/,5,下,5,52,climbing（climb 的-ing形式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009f948230995475af40a37df1,eat,present_participle,eating,/ˈiːtɪŋ/,5,下,5,52,eating（eat 的-ing形式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009f948230995475af40a37df1,play,present_participle,playing,/ˈpleɪɪŋ/,5,下,5,52,playing（play 的-ing形式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009f948230995475af40a37df1,jump,present_participle,jumping,/ˈdʒʌmpɪŋ/,5,下,5,52,jumping（jump 的-ing形式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009f948230995475af40a37df1,drink,present_participle,drinking,/ˈdrɪŋkɪŋ/,5,下,5,52,drinking（drink 的-ing形式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009f948230995475af40a37df1,sleep,present_participle,sleeping,/ˈsliːpɪŋ/,5,下,5,52,sleeping（sleep 的-ing形式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009cdc81fdbb3d97a81dc23f8f,be,verb_past,was,/wəz/,6,上,1,4,was（be 的第一和第三人称单数过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009cdc81fdbb3d97a81dc23f8f,go,verb_past,went,/went/,6,上,1,6,go（过去式 went）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009cdc81fdbb3d97a81dc23f8f,see,verb_past,saw,/sɔː/,6,上,1,6,see（过去式 saw）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009cdc81fdbb3d97a81dc23f8f,eat,verb_past,ate,/eɪt/,6,上,1,7,eat（过去式 ate）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009cdc81fdbb3d97a81dc23f8f,take,verb_past,took,/tʊk/,6,上,1,7,take（过去式 took）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000022481fdb6484399c1bf9da3,run,verb_past,ran,/ræn/,6,上,2,18,run（过去式 ran）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000022481fdb6484399c1bf9da3,read,verb_past,read,/red/,6,上,2,19,read（过去式 read /red/）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000022481fdb6484399c1bf9da3,make,verb_past,made,/meɪd/,6,上,2,19,make（过去式 made）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000022481fdb6484399c1bf9da3,sing,verb_past,sang,/sæŋ/,6,上,2,19,sing（过去式 sang）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000022481fdb6484399c1bf9da3,wear,verb_past,wore,/wɔː(r)/,6,上,2,19,wear（过去式 wore）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000022481fdb6484399c1bf9da3,wake,verb_past,woke,/wəʊk/,6,上,2,20,wake（过去式 woke）,materialized-from-user-image
