SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
xiangshao_start3|g3-upper|r002|hello,xiangshao_start3,3年级上,3,上,2,hello,hello,[həˈləʊ],[həˈləʊ],"n. 表示问候, 惊奇或唤起注意时的用语 int. 喂;哈罗",湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r003|i,xiangshao_start3,3年级上,3,上,3,I,i,[aɪ],[aɪ],n. 碘元素;英语字母I pron. 我,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r004|am,xiangshao_start3,3年级上,3,上,4,am,am,[əm; æm],[əm; æm],abbr. 调幅 v. 是,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r005|hi,xiangshao_start3,3年级上,3,上,5,hi,hi,[haɪ],[haɪ],int. 嗨!(表示问候或用以唤起注意),湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r006|miss,xiangshao_start3,3年级上,3,上,6,Miss,miss,,,"n. 女士,小姐,年轻未婚女子 vt. 错过,想念,缺(勤)",湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r007|good,xiangshao_start3,3年级上,3,上,7,good,good,[ɡʊd],[ɡʊd],n. 好处;善行;慷慨的行为 adj. 好的;优良的;愉快的;虔诚的 adv. 好,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r008|morning,xiangshao_start3,3年级上,3,上,8,morning,morning,[ˈmɔːnɪŋ],[ˈmɔːrnɪŋ],n. 早晨;黎明;初期,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r009|class,xiangshao_start3,3年级上,3,上,9,class,class,[klɑːs],[klæs],"n. 阶级;班级;种类;班;等级 adj. 极好的;很好的,优秀的,出色的 vt. 分类;把...分等级;把...归入某等级,把...看作(或分类、归类);把...编入某一班级 vi. 属于...类(或等级),被列为某类(或某级)",湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r010|goodbye,xiangshao_start3,3年级上,3,上,10,goodbye,goodbye,[ˌɡʊdˈbaɪ],[ˌɡʊdˈbaɪ],int. 再见 放弃 告别,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r011|afternoon,xiangshao_start3,3年级上,3,上,11,afternoon,afternoon,[ˌɑːftəˈnuːn],[ˌæftərˈnuːn],"n. 午后,下午",湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r012|what,xiangshao_start3,3年级上,3,上,12,what,what,[wɒt],[wʌt],"pron. 什么;多么;多少 adv. 到什么程度,在哪一方面 adj. 什么;多么;何等 int. 什么;多么",湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r013|is,xiangshao_start3,3年级上,3,上,13,is,is,[ɪz],[ɪz],v. 是(be的三单形式) n. 存在,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r014|your,xiangshao_start3,3年级上,3,上,14,your,your,[jɔː(r); jə(r)],[jʊr; jər],"pron. 你的,你们的",湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r015|name,xiangshao_start3,3年级上,3,上,15,name,name,[neɪm],[neɪm],"n. 名称,名字;姓名;名誉 vt. 命名,任命;指定;称呼;提名;叫出 adj. 姓名的;据以取名的",湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r016|my,xiangshao_start3,3年级上,3,上,16,my,my,[maɪ],[maɪ],pron. 我的 int. 哎呀(表示惊奇等);喔唷,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r017|how,xiangshao_start3,3年级上,3,上,17,how,how,[haʊ],[haʊ],adv. 如何;多少;多么 n. 方法;方式 conj. 如何,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r018|old,xiangshao_start3,3年级上,3,上,18,old,old,[əʊld],[oʊld],"adj. 陈旧的,古老的;年老的 n. 古时",湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r019|are,xiangshao_start3,3年级上,3,上,19,are,are,[ɑ:(r)],[ər; ɑːr; er],v. 是(be的第二人称单复数现在式) n. 公亩,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r020|you,xiangshao_start3,3年级上,3,上,20,you,you,[ju],[juː; jə],pron. 你;你们,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r021|one,xiangshao_start3,3年级上,3,上,21,one,one,[wʌn],[wʌn],pron. 一个人;任何人 adj. 一的;唯一的 n. 一 num. 一;一个,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r022|two,xiangshao_start3,3年级上,3,上,22,two,two,[tuː],[tuː],num. 二 n. 两个 adj. 两个的,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r023|three,xiangshao_start3,3年级上,3,上,23,three,three,[θriː],[θriː],"num. 三 n. 三,三个 adj. 三的,三个的",湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r024|four,xiangshao_start3,3年级上,3,上,24,four,four,[fɔː(r)],[fɔːr],num. 四;四个 adj. 四的;四个的,湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r025|five,xiangshao_start3,3年级上,3,上,25,five,five,[faɪv],[faɪv],"num. 五,五个 n. 五,五个;五美元钞票 adj. 五的;五个的",湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r026|six,xiangshao_start3,3年级上,3,上,26,six,six,[sɪks],[sɪks],"num. 六,六个 n. 六,六个",湘少版三年级起点三年级上.xlsx
xiangshao_start3|g3-upper|r027|seven,xiangshao_start3,3年级上,3,上,27,seven,seven,[ˈsev(ə)n],[ˈsev(ə)n],"num. 七个,七 n. 七个,七 adj. 七的;七个的",湘少版三年级起点三年级上.xlsx
