Word,FirstBook,ExampleSentence,FutureVocabulary
can,1年级下,I can swim.,swim->2年级下
sorry,1年级下,Sorry I can't.,can't->2年级下
wow,2年级下,Wow it is beautiful!,beautiful->3年级下
hand,3年级上,Wash your hands.,wash->5年级上
tongue,3年级上,Show me your tongue.,show->5年级上
morning,3年级上,Good morning teacher.,good->4年级上
afternoon,3年级上,Good afternoon teacher.,good->4年级上
summary,3年级上,Let's read the summary.,read->3年级下
cola,3年级上,I don't drink cola.,drink->5年级下
soon,3年级上,See you soon.,see->4年级下
March,3年级上,Spring starts in March.,starts->5年级下
June,3年级上,Children's Day is in June.,children's->3年级下
September,3年级上,School starts in September.,starts->5年级下
tomorrow,3年级下,See you tomorrow.,see->4年级下
uncle,3年级下,My uncle is a doctor.,doctor->4年级上
walking the dog,3年级下,Dad is walking the dog.,dad->4年级上
play with,3年级下,Don't play with fire.,fire->4年级上
study,3年级下,Dad is in the study.,dad->4年级上
for rent,3年级下,This house is for rent.,house->4年级上
always,4年级上,I always get up early.,early->5年级下
so,4年级上,It is rainy so we stay home.,stay->4年级下
day,4年级上,Have a nice day.,nice->5年级上
by ship,4年级上,They travel by ship.,travel->4年级下
by taxi,4年级上,We go to the hotel by taxi.,hotel->4年级下
by subway,4年级上,We go downtown by subway.,downtown->6年级下
by plane,4年级上,They travel by plane.,travel->4年级下
pen,4年级上,I write with a pen.,write->5年级下
Excuse me,4年级上,Excuse me where is the bank?,bank->4年级下
phone,4年级上,I call Dad on the phone.,call->5年级上
farmer,4年级上,The farmer works on a farm.,farm->5年级上
people,4年级上,Many people live in the city.,city->4年级下
send,4年级下,Send the letter at the post office.,letter->5年级下
before,4年级下,Wash your hands before dinner.,wash->5年级上
Big Ben,4年级下,Big Ben is in London.,london->6年级上
has,5年级上,The elephant has a long trunk.,trunk->6年级上
elephant,5年级上,The elephant has a long trunk.,trunk->6年级上
panda,5年级上,The panda is black and white.,white->6年级上
into,5年级下,The frog jumped into the water.,frog->6年级下
silk,6年级上,This scarf is made of silk.,scarf->6年级下
