MatchKey,DisplayForms,Definitions,OccurrenceCount,Books,CandidateClass,CandidateNoteIDs,CandidateWords,CandidateSenses,AutoDecision,NeedsSenseReview
about,about,prep. 关于;大约 n. 大致;粗枝大叶;不拘小节的人 adj. 在附近的;四处走动的;在起作用的 adv. 大约;周围;到处,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
afraid,afraid,adj. 害怕的;恐怕;担心的,1,3年级下,no-existing-match,,,,new-identity-candidate,yes
after,after,"conj. 在......之后 prep. 在......之后 adj. 以后的 adv. 后来,以后",1,2年级上,no-existing-match,,,,new-identity-candidate,yes
again,again,"adv. 又,此外;再一次;再说;增加 n. (英、保)阿盖恩",1,4年级上,no-existing-match,,,,new-identity-candidate,yes
ago,ago,"adj. 以前的;过去的 adv. 以前,以往",1,6年级上,no-existing-match,,,,new-identity-candidate,yes
air,air,"n. 空气,大气;天空;样子;曲调 vt. 使通风,晾干;夸耀 vi. 通风",1,4年级上,no-existing-match,,,,new-identity-candidate,yes
answer,answer,n. 回答;答案;答辩 vt. 回答;符合 vi. 回答;符合,1,6年级下,no-existing-match,,,,new-identity-candidate,yes
as,as,conj. 因为;随着;虽然;依照;当...时 prep. 如同;当作;以...的身份 adv. 同样地;和...一样的,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
ask,ask,"vt. 问,询问;要求;需要;邀请;讨价 vi. 问,询问;要求",1,5年级上,no-existing-match,,,,new-identity-candidate,yes
baby,baby,"n. 婴儿,婴孩;孩子气的人 adj. 婴儿的;幼小的 vt. 纵容,娇纵;把......当婴儿般对待",1,2年级上,no-existing-match,,,,new-identity-candidate,yes
back,back,n. 后面;背部;靠背;足球等的后卫;书报等的末尾 adj. 后面的;过去的;拖欠的 vt. 支持;后退;背书;下赌注 adv. 以前;向后地;来回地;上溯;回来;回原处 vi. 后退;背靠;倒退,1,2年级下,no-existing-match,,,,new-identity-candidate,yes
bag,bag,"n. 袋;猎获物;(俚)一瓶啤酒 vt. 猎获;把...装入袋中;占据,私吞;使膨大 vi. 松垂",2,1年级上|2年级下,no-existing-match,,,,new-identity-candidate,yes
baseball,baseball,n. 棒球;棒球运动,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
be,be,"vt. 是; 有,存在; 做,成为; 发生",1,3年级下,no-existing-match,,,,new-identity-candidate,yes
beach,beach,n. 海滩;湖滨 vt. 将...拖上岸 vi. 搁浅;定居,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
become,become,vt. 适合;相称 vi. 成为;变得;变成,1,4年级上,no-existing-match,,,,new-identity-candidate,yes
begin,begin,vi. 开始;首先 vt. 开始,1,6年级下,no-existing-match,,,,new-identity-candidate,yes
bell,bell,"n. 铃,钟;钟声,铃声;钟状物 vt. 装钟于,系铃于 vi. 鸣钟;成钟状鼓起",1,3年级上,no-existing-match,,,,new-identity-candidate,yes
beside,beside,prep. 在旁边;与...相比;和...无关,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
bike,bike,n. 自行车;脚踏车 vi. 骑自行车(或摩托车),2,1年级上|2年级下,no-existing-match,,,,new-identity-candidate,yes
born,born,v. 出世(bear的过去分词) adj. 天生的,1,3年级上,no-existing-match,,,,new-identity-candidate,yes
borrow,borrow,vt. 借;借用 vi. 借;借用;从其他语言中引入,1,3年级上,no-existing-match,,,,new-identity-candidate,yes
both,both,conj. 既...且... adj. 两个的;两者的 pron. 双方都;两者都 adv. 并;又;两者皆,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
bottle,bottle,n. 瓶子;一瓶的容量 vt. 控制;把...装入瓶中 vi. (街头艺人演出后)收拢钱币,1,3年级下,no-existing-match,,,,new-identity-candidate,yes
brave,brave,n. 勇士 adj. 勇敢的;华丽的 vt. 勇敢地面对,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
break,break,vi. 打破;折断;弄坏;削弱 vt. (使)破;打破(纪录);(常指好天气)突变;开始 vi. (嗓音)突变;突破;破晓;(价格)突然下跌 n. 破裂;间断;(持续一段时间的状况的)改变;间歇,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
breakfast,breakfast,n. 早餐;早饭 vt. 为...供应早餐 vi. 吃早餐,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
bright,bright,"n. 车头灯光 adj. 明亮的,鲜明的;聪明的;愉快的 adv. 明亮地;光明地;欢快地",1,3年级上,no-existing-match,,,,new-identity-candidate,yes
british,British,n. 英国人 adj. 英国的;英国人的;大不列颠的,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
broke,broke,"v. 打破,断掉(break的过去式) adj. 一文不名的,破产的",1,4年级下,no-existing-match,,,,new-identity-candidate,yes
brown,brown,"n. 褐色,棕色 adj. 棕色的,褐色的;太阳晒黑的 vt. 使变成褐色 vi. 变成褐色",1,4年级上,no-existing-match,,,,new-identity-candidate,yes
build,build,n. 构造;体形;体格 vi. 建筑;建造 vt. 建立;建筑,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
building,building,n. 建筑;建筑物 v. 建筑;建立;增加(build的ing形式),1,4年级下,no-existing-match,,,,new-identity-candidate,yes
bus,bus,n. 公共汽车 乘公共汽车,1,2年级下,no-existing-match,,,,new-identity-candidate,yes
by,by,prep. 通过;被;依据;经由;在附近;在......之前 adv. 通过;经过;附近;[互联网] 白俄罗斯的国家代码顶级域名,1,2年级下,no-existing-match,,,,new-identity-candidate,yes
camera,camera,n. 照相机;摄影机,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
careful,careful,"adj. 仔细的,小心的",1,6年级下,no-existing-match,,,,new-identity-candidate,yes
carry,carry,"n. 运载;[计] 进位;射程 vi. 能达到;被携带;被搬运 vt. 拿,扛;携带;支持;搬运",1,5年级下,no-existing-match,,,,new-identity-candidate,yes
change,change,n. 变化;找回的零钱 vt. 改变;交换 vi. 改变;兑换,1,4年级上,no-existing-match,,,,new-identity-candidate,yes
chess,chess,"n. 国际象棋,西洋棋",1,5年级下,no-existing-match,,,,new-identity-candidate,yes
child,child,"n. 儿童,小孩,孩子;产物;子孙;幼稚的人;弟子",1,3年级下,no-existing-match,,,,new-identity-candidate,yes
chocolate,chocolate,"n. 巧克力,巧克力糖;巧克力色 adj. 巧克力色的;巧克力口味的",1,6年级上,no-existing-match,,,,new-identity-candidate,yes
choose,choose,"vt. 选择,决定 vi. 选择,挑选",1,6年级上,no-existing-match,,,,new-identity-candidate,yes
cinema,cinema,"n. 电影;电影院;电影业,电影制作术",1,4年级下,no-existing-match,,,,new-identity-candidate,yes
circle,circle,"n. 循环,周期;圆;圈子;圆形物 vt. 画圆圈;环绕...移动 vi. 盘旋,旋转;环行",1,3年级下,no-existing-match,,,,new-identity-candidate,yes
clear,clear,n. 清除;空隙 adj. 清楚的;清澈的;晴朗的;无罪的 vt. 通过;清除;使干净;跳过 vi. 放晴;变清澈 adv. 清晰地;完全地,1,6年级下,no-existing-match,,,,new-identity-candidate,yes
climb,climb,n. 爬;攀登 vi. 爬;攀登;上升 vt. 爬;攀登;上升,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
close,close,n. 结束 adj. 紧密的;亲密的;亲近的 vt. 关;结束;使靠近 vi. 关;结束;关闭 adv. 紧密地,1,4年级上,no-existing-match,,,,new-identity-candidate,yes
club,club,"n. 俱乐部,社团;夜总会;棍棒;(扑克牌中的)梅花 adj. 俱乐部的 vt. 用棍棒打;募集 vi. 集资;组成俱乐部",1,6年级下,no-existing-match,,,,new-identity-candidate,yes
