SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
hujiao_start3|g3-upper|r002|hello,hujiao_start3,3年级上,3,上,2,hello,hello,[həˈləʊ],[həˈləʊ],"n. 表示问候, 惊奇或唤起注意时的用语 int. 喂;哈罗",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r003|i,hujiao_start3,3年级上,3,上,3,I,i,[aɪ],[aɪ],n. 碘元素;英语字母I pron. 我,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r004|miss,hujiao_start3,3年级上,3,上,4,Miss,miss,,,"n. 女士,小姐,年轻未婚女子 vt. 错过,想念,缺(勤)",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r005|are,hujiao_start3,3年级上,3,上,5,are,are,[ɑ:(r)],[ər; ɑːr; er],v. 是(be的第二人称单复数现在式) n. 公亩,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r006|fine,hujiao_start3,3年级上,3,上,6,fine,fine,[faɪn],[faɪn],"n. 罚款 adj. 好的;优良的;细小的,精美的;健康的;晴朗的 vt. 罚款;澄清 adv. 很好地;精巧地",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r007|goodbye,hujiao_start3,3年级上,3,上,7,goodbye,goodbye,[ˌɡʊdˈbaɪ],[ˌɡʊdˈbaɪ],int. 再见 放弃 告别,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r008|hi,hujiao_start3,3年级上,3,上,8,hi,hi,[haɪ],[haɪ],int. 嗨!(表示问候或用以唤起注意),沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r009|mr,hujiao_start3,3年级上,3,上,9,Mr,mr,[ˈmɪstə(r)],[ˈmɪstər],abbr. 先生(Mister),沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r010|mrs,hujiao_start3,3年级上,3,上,10,Mrs,mrs,[ˈmɪsɪz],[ˈmɪsɪz],n. 太太;夫人(用于已婚妇女姓名前的尊称),沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r011|thank,hujiao_start3,3年级上,3,上,11,thank,thank,[θæŋk],[θæŋk],n. 感谢 vt. 感谢 int. 谢谢,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r012|you,hujiao_start3,3年级上,3,上,12,you,you,[ju],[juː; jə],pron. 你;你们,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r013|am,hujiao_start3,3年级上,3,上,13,am,am,[əm; æm],[əm; æm],abbr. 调幅 v. 是,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r014|boy,hujiao_start3,3年级上,3,上,14,boy,boy,[bɔɪ],[bɔɪ],n. 男孩;男人,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r015|girl,hujiao_start3,3年级上,3,上,15,girl,girl,[ɡɜːl],[ɡɜːrl],"n. 女孩;姑娘,未婚女子;女职员,女演员;(男人的)女朋友 n. (捷)吉尔",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r016|no,hujiao_start3,3年级上,3,上,16,no,no,[nəʊ],[noʊ],adv. 不 adj. 没有;不是 n. 不;否决票 abbr. 数字(number);元素锘(nobelium)的符号,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r017|not,hujiao_start3,3年级上,3,上,17,not,not,[nɒt],[nɑːt],"adv. 表示否定,不 n. “非”(计算机中逻辑运算的一种)",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r018|yes,hujiao_start3,3年级上,3,上,18,yes,yes,[jes],[jes],"n. 是(表示肯定) adv. 是, 是的",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r019|fat,hujiao_start3,3年级上,3,上,19,fat,fat,[fæt],[fæt],"n. 脂肪,肥肉 adj. 肥的,胖的;油腻的;丰满的 vt. 养肥;在...中加入脂肪 vi. 长肥",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r020|friend,hujiao_start3,3年级上,3,上,20,friend,friend,[frend],[frend],n. 朋友;助手;赞助者,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r021|he,hujiao_start3,3年级上,3,上,21,he,he,[hi; iː; i; hiː],[hi; iː; i; hiː],"n. 男孩,男人;它(雄性动物) pron. 他",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r022|is,hujiao_start3,3年级上,3,上,22,is,is,[ɪz],[ɪz],v. 是(be的三单形式) n. 存在,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r023|my,hujiao_start3,3年级上,3,上,23,my,my,[maɪ],[maɪ],pron. 我的 int. 哎呀(表示惊奇等);喔唷,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r024|she,hujiao_start3,3年级上,3,上,24,she,she,[ʃi],[ʃi; ʃiː],n. 女人;雌性动物 pron. 她(主格);它(用来指雌性动物或国家、船舶、地球、月亮等),沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r025|short,hujiao_start3,3年级上,3,上,25,short,short,[ʃɔːt],[ʃɔːrt],"n. 短;缺乏;短路;短裤 adj. 短的;不足的;矮的,低的 adv. 不足;突然;唐突地",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r026|tall,hujiao_start3,3年级上,3,上,26,tall,tall,[tɔːl],[tɔːl],adj. 高的;长的;过分的;夸大的 adv. 夸大地,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r027|thin,hujiao_start3,3年级上,3,上,27,thin,thin,[θɪn],[θɪn],n. 细小部分 adj. 薄的;瘦的;稀薄的;微弱的 vt. 使瘦;使淡;使稀疏 vi. 变薄;变瘦;变淡 adv. 稀疏地;微弱地,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r028|this,hujiao_start3,3年级上,3,上,28,this,this,[ðɪs],[ðɪs],adj. 这;本;这个;今 pron. 这;这个;这里 adv. 这样地;这么,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r029|beautiful,hujiao_start3,3年级上,3,上,29,beautiful,beautiful,[ˈbjuːtɪf(ə)l],[ˈbjuːtɪf(ə)l],adj. 美丽的 出色地 出色的 迷人的 迷人地,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r030|brother,hujiao_start3,3年级上,3,上,30,brother,brother,[ˈbrʌðə(r)],[ˈbrʌðər],n. 兄弟;同事;战友 int. 我的老兄!,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r031|father,hujiao_start3,3年级上,3,上,31,father,father,[ˈfɑːðə(r)],[ˈfɑːðər],"n. 父亲,爸爸;神父;祖先;前辈 vt. 发明,创立;当...的父亲",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r032|me,hujiao_start3,3年级上,3,上,32,me,me,[mi; miː],[mi; miː],pron. 我(宾格) n. 自我;极端自私的人;自我的一部分,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r033|mother,hujiao_start3,3年级上,3,上,33,mother,mother,[ˈmʌðə(r)],[ˈmʌðər],n. 母亲;大娘;女修道院院长 vt. 生下;养育;像母亲般关怀或照管 adj. 母亲的;出生地的,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r034|sister,hujiao_start3,3年级上,3,上,34,sister,sister,[ˈsɪstə(r)],[ˈsɪstər],n. 姐妹;(称志同道合者)姐妹;修女;护士 adj. 姐妹般的;同类型的,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r035|who,hujiao_start3,3年级上,3,上,35,who,who,[huː],[huː],pron. 谁;什么人,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r036|big,hujiao_start3,3年级上,3,上,36,big,big,[bɪɡ],[bɪɡ],adj. 大的;重要的;量大的 adv. 大量地;顺利;夸大地,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r037|ear,hujiao_start3,3年级上,3,上,37,ear,ear,[ɪə(r)],[ɪr],n. 耳朵;穗;听觉;倾听 vi. (美俚)听见;抽穗,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r038|eye,hujiao_start3,3年级上,3,上,38,eye,eye,[aɪ],[aɪ],"n. 眼睛;视力;眼光;见解,观点 vt. 注视,看",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r039|face,hujiao_start3,3年级上,3,上,39,face,face,[feɪs],[feɪs],n. 脸;表面;面子;面容;外观;威信 vi. 向;朝 vt. 面对;面向;承认;抹盖,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r040|hair,hujiao_start3,3年级上,3,上,40,hair,hair,[heə(r)],[her],n. 头发;毛发;些微 adj. 毛发的;护理毛发的;用毛发制成的 vt. 除去...的毛发 vi. 生长毛发;形成毛状纤维,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r041|long,hujiao_start3,3年级上,3,上,41,long,long,[lɒŋ],[lɔːŋ],"n. 长时间;[语] 长音节;(服装的)长尺寸;长裤 adj. 长的;过长的;做多头的;长时间的;冗长的,长音 vi. 渴望;热望 adv. 长期地;始终",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r042|look,hujiao_start3,3年级上,3,上,42,look,look,[lʊk],[lʊk],vt. 看;期待;注意;面向;看上去像 vi. 看;看起来;注意;面向 n. 看;样子;面容,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r043|mouth,hujiao_start3,3年级上,3,上,43,mouth,mouth,[maʊθ],[maʊθ],"n. 口,嘴;河口 vt. 做作地说,装腔作势地说;喃喃地说出 vi. 装腔作势说话",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r044|nose,hujiao_start3,3年级上,3,上,44,nose,nose,[nəʊz],[noʊz],n. 鼻子;嗅觉;突出的部分;探问 vt. 嗅;用鼻子触 vi. 小心探索着前进;探问,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r045|small,hujiao_start3,3年级上,3,上,45,small,small,[smɔːl],[smɔːl],"n. 小件物品;矮小的人 adj. 少的,小的;微弱的;几乎没有的;不重要的;幼小的 adv. 小小地;卑鄙地",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r046|blackboard,hujiao_start3,3年级上,3,上,46,blackboard,blackboard,[ˈblækbɔːd],[ˈblækbɔːrd],n. 黑板,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r047|clean,hujiao_start3,3年级上,3,上,47,clean,clean,[kliːn],[kliːn],"n. 打扫 adj. 清洁的,干净的;清白的 vt. 使干净 vi. 打扫,清扫 adv. 完全地",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r048|close,hujiao_start3,3年级上,3,上,48,close,close,[kləʊz],[kloʊz; kloʊs],n. 结束 adj. 紧密的;亲密的;亲近的 vt. 关;结束;使靠近 vi. 关;结束;关闭 adv. 紧密地,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r049|door,hujiao_start3,3年级上,3,上,49,door,door,[dɔː(r)],[dɔːr],"n. 门;家,户;门口;通道",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r050|late,hujiao_start3,3年级上,3,上,50,late,late,[leɪt],[leɪt],adj. 晚的;迟的;已故的;最近的 adv. 晚;迟;最近;在晚期,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r051|look at,hujiao_start3,3年级上,3,上,51,look at,look at,,,na. 看;考虑,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r052|open,hujiao_start3,3年级上,3,上,52,open,open,[ˈəʊpən],[ˈoʊpən],adj. 公开的;敞开的;空旷的;坦率的;营业着的 vi. 开始;展现 vt. 公开;打开 n. 公开;空旷;户外,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r053|please,hujiao_start3,3年级上,3,上,53,please,please,[pliːz],[pliːz],"int. 请(礼貌用语) vt. 使喜欢;使高兴,使满意 vi. 讨人喜欢;令人高兴",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r054|the,hujiao_start3,3年级上,3,上,54,the,the,[ðə],[ðə; ði; ðiː],"art. 这;那 adv. 更加(用于比较级,最高级前)",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r055|window,hujiao_start3,3年级上,3,上,55,window,window,[ˈwɪndəʊ],[ˈwɪndoʊ],n. 窗;窗口;窗户,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r056|a,hujiao_start3,3年级上,3,上,56,a,a,[ə],[ə; eɪ],n. 字母A;第一流的;学业成绩达最高标准的评价符号 abbr. [物]安(ampere),沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r057|an,hujiao_start3,3年级上,3,上,57,an,an,[ən],[ən; æn],art. 一(在元音音素前),沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r058|apple,hujiao_start3,3年级上,3,上,58,apple,apple,[ˈæp(ə)l],[ˈæpl],"n. 苹果,苹果树,苹果似的东西;[美俚]炸弹,手榴弹,(棒球的)球;[美俚]人,家伙。",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r059|banana,hujiao_start3,3年级上,3,上,59,banana,banana,[bəˈnɑːnə],[bəˈnænə],n. 香蕉;喜剧演员;大鹰钩鼻,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r060|dad,hujiao_start3,3年级上,3,上,60,dad,dad,[dæd],[dæd],n. 爸爸;爹爹,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r061|good,hujiao_start3,3年级上,3,上,61,good,good,[ɡʊd],[ɡʊd],n. 好处;善行;慷慨的行为 adj. 好的;优良的;愉快的;虔诚的 adv. 好,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r062|here,hujiao_start3,3年级上,3,上,62,here,here,[hɪə(r)],[hɪr],n. 这里 adv. 在这里;此时 int. 嘿!;喂!,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r063|how much,hujiao_start3,3年级上,3,上,63,how much,how much,[haʊ mʌtʃ],[haʊ mʌtʃ],conj. 多少,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r064|it,hujiao_start3,3年级上,3,上,64,it,it,[ɪt],[ɪt],abbr. 信息技术information technology abbr. 意大利Italy;意大利的Italian,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r065|orange,hujiao_start3,3年级上,3,上,65,orange,orange,[ˈɒrɪndʒ],[ˈɔrɪndʒ],adj. 橙色的;橘色的 n. 橙;橙色;桔子,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r066|pear,hujiao_start3,3年级上,3,上,66,pear,pear,[peə(r)],[per],n. [园艺] 梨树;梨子,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r067|they,hujiao_start3,3年级上,3,上,67,they,they,[ðeɪ],[ðeɪ],pron. 他们;它们;她们,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r068|bed,hujiao_start3,3年级上,3,上,68,bed,bed,[bed],[bed],"n. 床;基础;河底, 海底 vt. 使睡觉;安置,嵌入;栽种 vi. 上床;分层",沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r069|book,hujiao_start3,3年级上,3,上,69,book,book,[bʊk],[bʊk],n. 书籍;卷;帐簿;名册;工作簿 vt. 预订;登记,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r070|chair,hujiao_start3,3年级上,3,上,70,chair,chair,[tʃeə(r)],[tʃer],n. 椅子;讲座;(会议的)主席位;大学教授的职位 vt. 担任(会议的)主席;使...入座;使就任要职,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r071|desk,hujiao_start3,3年级上,3,上,71,desk,desk,[desk],[desk],n. 办公桌;服务台;编辑部;(美)讲道台;乐谱架 adj. 书桌的;桌上用的;伏案做的,沪教版三年级起点三年级上.xlsx
hujiao_start3|g3-upper|r072|mum,hujiao_start3,3年级上,3,上,72,mum,mum,[mʌm],[mʌm],adj. 沉默的 n. 妈妈(口语);沉默;菊花 vi. 演哑剧 int. 别说话,沪教版三年级起点三年级上.xlsx
