NoteID,CanonicalWord,Word,PromptHint,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,LearnerLevel,LearningOrder,Sources,SourceBooks,Tags
KV000001,book,book,,[bʊk],[bʊk],书；书本,I read a book before bed.,我睡前读一本书。,4,000632,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released learning::klose::third-party-primary source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::third-party-primary
KV000002,ruler,ruler,,[ˈruːlə(r)],[ˈruːlər],尺子,I use a ruler to draw a line.,我用尺子画一条线。,4,000699,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released learning::klose::third-party-primary source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::third-party-primary
KV000003,pencil,pencil,,[ˈpens(ə)l],[ˈpensl],铅笔,I have a blue pencil in my schoolbag.,我的书包里有一支蓝色铅笔。,4,000653,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released learning::klose::third-party-primary source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::third-party-primary
KV000004,schoolbag,schoolbag,,[ˈskuːlbæɡ],[ˈskuːlˌbæɡ],书包,My books are in my schoolbag.,我的书在书包里。,4,000517,rj_start1|renjiao_start3,rj_start1::1年级上|rj_start1::4年级上|renjiao_start3::2024-revision::6年级上,learner::klose::level::4 learner::klose::released learning::klose::grade5-6 scope::klose::grade5-6-current source::renjiao_start3 source::renjiao_start3::edition::2024-revision source::renjiao_start3::grade::6 source::renjiao_start3::grade::6::上 source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade5-6-current
KV000005,teacher,teacher,,[ˈtiːtʃə(r)],[ˈtiːtʃər],老师,Our teacher is reading an English book.,我们的老师正在读一本英语书。,4,000645,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released learning::klose::third-party-primary source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::third-party-primary
KV000006,I,I,,[aɪ],[aɪ],我,I usually walk to school with Dad.,我通常和爸爸一起走路上学。,4,000776,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released learning::klose::third-party-primary source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::third-party-primary
KV000007,have,have,,[həv],[həv; əv; hæv],有,We have English class on Monday.,我们星期一有英语课。,4,000766,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released learning::klose::third-party-primary source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::third-party-primary
KV000008,a,a,,[ə],[ə; eɪ],一；一个,I saw a bird in the tree.,我看到树上有一只鸟。,4,,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::library
KV000009,an,an,,[ən],[ən; æn],一；一个,She has an orange in her bag.,她的包里有一个橙子。,4,,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::library
KV000010,face,face,,[feɪs],[feɪs],脸；面部,My face is red after PE class.,体育课后我的脸红了。,4,000767,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released learning::klose::third-party-primary source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::third-party-primary
KV000011,ear,ear,,[ɪə(r)],[ɪr],耳朵,My left ear hurts today.,我今天左耳疼。,4,000684,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released learning::klose::third-party-primary source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::third-party-primary
KV000012,eye,eye,,[aɪ],[aɪ],眼睛,Close your eyes for a minute.,闭上眼睛一分钟。,4,000686,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released learning::klose::third-party-primary source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::third-party-primary
KV000013,nose,nose,,[nəʊz],[noʊz],鼻子,My nose is cold in winter.,冬天我的鼻子很冷。,4,000688,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released learning::klose::third-party-primary source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::third-party-primary
KV000014,mouth,mouth,,[maʊθ],[maʊθ],嘴；口,Please open your mouth.,请张开嘴。,4,000651,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released learning::klose::third-party-primary source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::third-party-primary
