MatchKey,DisplayForms,Definitions,Books,Contexts,CurrentDecision,CurrentStatus,FormClass,BaseMatchKey,BaseExistsInThirdParty,ProposedFormDecision,DecisionStatus,Confidence,Rationale,KloseMergeAuthorized
amazing,amazing,adj. 令人惊异的 v. 使吃惊(amaze的ing形式),6年级下,6年级下@r41: [shopping centre / shopping mall / <amazing> / hot pot],new-vocabulary-learning-unit-candidate,rule-reviewed,derived-or-participial-lexical-target,amaze,no,keep-distinct-learning-unit-candidate,model-reviewed,high,adjective target ('amazing' =令人惊异的) is lexicalized for elementary learning; morphology relation alone must not collapse the target learning unit.,no
boring,boring,n. 钻孔 adj. 无聊的;令人厌烦的 v. 钻孔;使厌烦;挖空(bore的ing形式),5年级下,5年级下@r68: [played chess / washed clothes / <boring> / badminton / won],new-vocabulary-learning-unit-candidate,model-reviewed,explicit-form-relation-unreviewed,bore,no,pending-form-review,pending,,Dictionary gloss explicitly states a morphology relation to another base form. This candidate must not mint a stable identity until reviewed.,no
broken,broken,v. 折断;打碎;损坏(break的过去分词) adj. 破碎的;坏掉的,6年级上,6年级上@r100: [hear / pen pal / <broken> / pity / prize],new-vocabulary-learning-unit-candidate,rule-reviewed,derived-or-participial-lexical-target,break,yes,keep-distinct-learning-unit-candidate,model-reviewed,high,adjective/participle lexical target ('broken' = damaged/broken) is plausible in the source neighborhood; morphology relation alone must not collapse the target learning unit.,no
cartoons,cartoons,n. 卡通动画;动漫图书(cartoon的复数) v. 画漫画(cartoon的三单形式),5年级上,5年级上@r57: [cool / fantastic / <cartoons> / news shows / nature shows],new-vocabulary-learning-unit-candidate,rule-reviewed,explicit-form-relation-unreviewed,cartoon,no,pending-form-review,pending,,Dictionary gloss explicitly states a morphology relation to another base form. This candidate must not mint a stable identity until reviewed.,no
crossroads,crossroads,n. 十字路口;交叉路口;聚会的中心地点(crossroad的复数形式),4年级下,4年级下@r12: [turn right / go straight / <crossroads> / neighbourhood / send],new-vocabulary-learning-unit-candidate,rule-reviewed,explicit-form-relation-unreviewed,crossroad,no,pending-form-review,pending,,Dictionary gloss explicitly states a morphology relation to another base form. This candidate must not mint a stable identity until reviewed.,no
danced,danced,v. 跳舞( dance的过去式和过去分词 ); 手舞足蹈; 摇晃; 跳跃,5年级下,5年级下@r59: [climbed a hill / visited grandparents / <danced> / jumped rope / listened to music],new-vocabulary-learning-unit-candidate,rule-reviewed,regular-inflection,dance,yes,reuse-base-learning-unit-candidate,model-reviewed,high,Regular inflection carries the same target lexical sense as the base; preserve the source form as provenance/presentation evidence rather than minting a second lexical identity.,no
dancing,dancing,n. 跳舞;舞蹈 v. 跳舞;摇晃(dance的ing形式),4年级下,4年级下@r58: [skateboarding / singing / <dancing> / doing jigsaw puzzles / making models],new-vocabulary-learning-unit-candidate,rule-reviewed,activity-gerund-or-noun,dance,yes,held-derived-form-identity-policy,model-reviewed,medium,The source teaches this -ing form in an activity/hobby slot. It may be a lexical activity noun rather than a mere inflection; keep held until the corpus form/learning-unit policy decides the boundary.,no
does,does,v. 做;工作;有用(do的第三人称单数形式),2年级上,2年级上@r29: [handsome / new / <does> / bookshop / zoo],new-vocabulary-learning-unit-candidate,rule-reviewed,regular-inflection,do,yes,reuse-base-learning-unit-candidate,model-reviewed,high,Regular inflection carries the same target lexical sense as the base; preserve the source form as provenance/presentation evidence rather than minting a second lexical identity.,no
gloves,gloves,n. [服装] 手套(glove的复数) v. 给...戴手套(glove的三单形式),3年级上,3年级上@r77: [sweater / jacket / <gloves> / trousers / should],new-vocabulary-learning-unit-candidate,rule-reviewed,explicit-form-relation-unreviewed,glove,no,pending-form-review,pending,,Dictionary gloss explicitly states a morphology relation to another base form. This candidate must not mint a stable identity until reviewed.,no
reading,reading,"n. 阅读,朗读;读物;读数 v. 阅读(read的ing形式) adj. 阅读的",4年级下,4年级下@r55: [summer vacation / travel / <reading> / skateboarding / singing],new-vocabulary-learning-unit-candidate,model-reviewed,activity-gerund-or-noun,read,yes,held-derived-form-identity-policy,model-reviewed,medium,The source teaches this -ing form in an activity/hobby slot. It may be a lexical activity noun rather than a mere inflection; keep held until the corpus form/learning-unit policy decides the boundary.,no
