Lemma,FormType,InflectedForm,IPA,Grade,Semester,Unit,Page,SourceEntry,SourceStatus
be,verb_past,was,,6,,,,,observed-mapping-pending-source-trace
go,verb_past,went,,6,,,,,observed-mapping-pending-source-trace
see,verb_past,saw,,6,,,,,observed-mapping-pending-source-trace
eat,verb_past,ate,,6,,,,,observed-mapping-pending-source-trace
take,verb_past,took,,6,,,,,observed-mapping-pending-source-trace
run,verb_past,ran,,6,,,,,observed-mapping-pending-source-trace
read,verb_past,read,/red/,6,,,,,observed-mapping-pending-source-trace
make,verb_past,made,,6,,,,,observed-mapping-pending-source-trace
sing,verb_past,sang,,6,,,,,observed-mapping-pending-source-trace
wear,verb_past,wore,,6,,,,,observed-mapping-pending-source-trace
wake,verb_past,woke,,6,,,,,observed-mapping-pending-source-trace
begin,verb_past,began,,6,,,,,observed-mapping-pending-source-trace
win,verb_past,won,,6,,,,,observed-mapping-pending-source-trace
clean,verb_past,cleaned,,6,,,,,observed-mapping-pending-source-trace
stay,verb_past,stayed,,6,,,,,observed-mapping-pending-source-trace
wash,verb_past,washed,,6,,,,,observed-mapping-pending-source-trace
watch,verb_past,watched,,6,,,,,observed-mapping-pending-source-trace
have,verb_past,had,,6,,,,,observed-mapping-pending-source-trace
sleep,verb_past,slept,,6,,,,,observed-mapping-pending-source-trace
drink,verb_past,drank,,6,,,,,observed-mapping-pending-source-trace
ride,verb_past,rode,,6,,,,,observed-mapping-pending-source-trace
hurt,verb_past,hurt,,6,,,,,observed-mapping-pending-source-trace
buy,verb_past,bought,,6,,,,,observed-mapping-pending-source-trace
fall,verb_past,fell,,6,,,,,observed-mapping-pending-source-trace
can,verb_past,could,,6,,,,,observed-mapping-pending-source-trace
lick,verb_past,licked,,6,,,,,observed-mapping-pending-source-trace
laugh,verb_past,laughed,,6,,,,,observed-mapping-pending-source-trace
think,verb_past,thought,,6,,,,,observed-mapping-pending-source-trace
feel,verb_past,felt,,6,,,,,observed-mapping-pending-source-trace
young,comparative,younger,,6,,,,,observed-mapping-pending-source-trace
old,comparative,older,,6,,,,,observed-mapping-pending-source-trace
tall,comparative,taller,,6,,,,,observed-mapping-pending-source-trace
short,comparative,shorter,,6,,,,,observed-mapping-pending-source-trace
long,comparative,longer,,6,,,,,observed-mapping-pending-source-trace
thin,comparative,thinner,,6,,,,,observed-mapping-pending-source-trace
heavy,comparative,heavier,,6,,,,,observed-mapping-pending-source-trace
big,comparative,bigger,,6,,,,,observed-mapping-pending-source-trace
small,comparative,smaller,,6,,,,,observed-mapping-pending-source-trace
strong,comparative,stronger,,6,,,,,observed-mapping-pending-source-trace
smart,comparative,smarter,,6,,,,,observed-mapping-pending-source-trace
low,comparative,lower,,6,,,,,observed-mapping-pending-source-trace
well,comparative,better,,6,,,,,observed-mapping-pending-source-trace
fast,comparative,faster,,6,,,,,observed-mapping-pending-source-trace
