SourceID,SourceEdition,SourceBook,Grade,Semester,Unit,Order,Expression,Translation,Page,SourceStatus,EvidenceFileID
pending-identification,pending-identification,grade5-upper,5,上,1,1,What's he like?,他什么样？,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,1,2,He's tall and strong.,他又高又壮。,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,1,3,Is he good at football?,他擅长踢足球吗？,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,1,4,"Yes, I think he is.",是的，我想他擅长。,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,1,5,What can you do for the festival?,你能为科学艺术节做什么？,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,1,6,I can make a robot.,我能制作机器人。,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,1,7,"Can you make robots, Sarah?",萨拉，你能制作机器人吗？,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,1,8,"No, I can't.",不，我不能。,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,2,1,"Hi, Mike. You look sad. What's the matter?",嗨，迈克。你看起来不开心。怎么回事？,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,2,2,It's about our school project.,是关于我们学校的项目。,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,2,3,And we have to finish our project by Monday.,并且我们得在星期一之前完成项目。,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,2,4,So you don't agree with each other?,所以你俩意见不一致？,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,2,5,Why not do both?,为什么不两个活动都做呢？,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,2,6,It's important to listen to each other.,听取彼此的想法很重要。,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,2,7,"Yes, Miss White. I need to talk to Mike.",是的，怀特老师。我需要和迈克谈谈。,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,3,1,"What's your favourite day at school, John?",你在学校最喜欢哪一天，约翰？,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,3,2,What do you have on Wednesdays?,星期三你有什么课？,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,3,3,"I have Chinese, maths, music and PE.",我有语文课、数学课、音乐课和体育课。,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,3,4,"What do you usually do at the weekend, children?",孩子们，周末你们通常做什么？,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,3,5,I often play football. Sometimes I play Chinese chess with my father.,我经常踢足球。有时我和爸爸下象棋。,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
