NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001000,Labour is important.,劳动很重要。,model-curated,grade5-6-learner-content-v1
KV001001,Labour Day is in May.,劳动节在五月。,model-curated,grade5-6-learner-content-v1
KV001002,This is our national flag.,这是我们的国旗。,model-curated,grade5-6-learner-content-v1
KV001003,Can you answer this riddle?,你能猜出这个谜语吗？,model-curated,grade5-6-learner-content-v1
KV001004,I act as a doctor.,我扮演一名医生。,model-curated,grade5-6-learner-content-v1
KV001005,We act out the story.,我们把这个故事表演出来。,model-curated,grade5-6-learner-content-v1
KV001006,Please RSVP by Friday.,请在星期五前回复。,model-curated,grade5-6-learner-content-v1
KV001007,Finish it by five.,请在五点前完成它。,model-curated,grade5-6-learner-content-v1
KV001008,Today is the fourth day.,今天是第四天。,model-curated,grade5-6-learner-content-v1
KV001009,Today is the twentieth day.,今天是第二十天。,model-curated,grade5-6-learner-content-v1
KV001010,Today is the twenty-first day.,今天是第二十一天。,model-curated,grade5-6-learner-content-v1
KV001011,Today is the twenty-third day.,今天是第二十三天。,model-curated,grade5-6-learner-content-v1
KV001012,Today is the thirtieth day.,今天是第三十天。,model-curated,grade5-6-learner-content-v1
KV001013,Where is the other shoe?,另一只鞋在哪里？,model-curated,grade5-6-learner-content-v1
KV001014,We have an art show at school.,我们学校有一个艺术展。,model-curated,grade5-6-learner-content-v1
KV001015,This festival is fun.,这个节日很有趣。,model-curated,grade5-6-learner-content-v1
KV001016,The kitten is small.,这只小猫很小。,model-curated,grade5-6-learner-content-v1
KV001017,I write in my diary.,我写日记。,model-curated,grade5-6-learner-content-v1
KV001018,He is still at school.,他仍然在学校。,model-curated,grade5-6-learner-content-v1
KV001019,I hear a loud noise.,我听到一声很响的声音。,model-curated,grade5-6-learner-content-v1
KV001020,The cat has soft fur.,这只猫有柔软的毛。,model-curated,grade5-6-learner-content-v1
KV001021,The door is open.,门开着。,model-curated,grade5-6-learner-content-v1
KV001022,This book is yours.,这本书是你的。,model-curated,grade5-6-learner-content-v1
KV001023,The red bag is hers.,这个红色的包是她的。,model-curated,grade5-6-learner-content-v1
KV001024,These bikes are theirs.,这些自行车是他们的。,model-curated,grade5-6-learner-content-v1
KV001025,This classroom is ours.,这间教室是我们的。,model-curated,grade5-6-learner-content-v1
KV001026,Each child has a book.,每个孩子都有一本书。,model-curated,grade5-6-learner-content-v1
KV001027,We help each other.,我们互相帮助。,model-curated,grade5-6-learner-content-v1
KV001028,It looks like a cat.,它看起来像一只猫。,model-curated,grade5-6-learner-content-v1
KV001031,Keep the door open.,让门保持开着。,model-curated,grade5-6-learner-content-v1
KV001032,Please keep to the right.,请靠右行走。,model-curated,grade5-6-learner-content-v1
KV001033,Please keep your desk clean.,请保持你的课桌干净。,model-curated,grade5-6-learner-content-v1
KV001034,Please talk quietly here.,请在这里小声讲话。,model-curated,grade5-6-learner-content-v1
KV001035,It is my turn.,轮到我了。,model-curated,grade5-6-learner-content-v1
KV001036,We take turns to read.,我们轮流读。,model-curated,grade5-6-learner-content-v1
KV001037,Pandas eat bamboo.,熊猫吃竹子。,model-curated,grade5-6-learner-content-v1
KV001038,The dog moves its tail.,这只狗摇动它的尾巴。,model-curated,grade5-6-learner-content-v1
KV001039,Show me your picture.,把你的图片给我看。,model-curated,grade5-6-learner-content-v1
KV001040,Do you need anything?,你需要什么东西吗？,model-curated,grade5-6-learner-content-v1
KV001041,The art exhibition is at school.,艺术展在学校举行。,model-curated,grade5-6-learner-content-v1
KV001042,Let me have a look.,让我看一看。,model-curated,grade5-6-learner-content-v1
KV001043,I like sushi.,我喜欢寿司。,model-curated,grade5-6-learner-content-v1
KV001044,She is a Canadian student.,她是一名加拿大学生。,model-curated,grade5-6-learner-content-v1
KV001045,This is a Spanish song.,这是一首西班牙歌曲。,model-curated,grade5-6-learner-content-v1
KV001046,We climb the hill.,我们爬山坡。,model-curated,grade5-6-learner-content-v1
KV001047,The school is one kilometre away.,学校离这里一公里。,model-curated,grade5-6-learner-content-v1
KV001048,The gingerbread house is small.,这座姜饼屋很小。,model-curated,grade5-6-learner-content-v1
KV001049,One thousand is a big number.,一千是一个很大的数。,model-curated,grade5-6-learner-content-v1
