#separator:Comma
#html:false
#notetype:Klose Vocabulary
#deck:Klose-English::Vocabulary
#tags column:12
#columns:NoteID,CanonicalWord,Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,LearnerLevel,Sources,SourceBooks,Tags
KV000001,book,book,[bʊk],[bʊk],书；书本,I read a book before bed.,我睡前读一本书。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000002,ruler,ruler,[ˈruːlə(r)],[ˈruːlər],尺子,I use a ruler to draw a line.,我用尺子画一条线。,4,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-review
KV000003,pencil,pencil,[ˈpens(ə)l],[ˈpensl],铅笔,I have a blue pencil in my schoolbag.,我的书包里有一支蓝色铅笔。,4,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-review
KV000004,schoolbag,schoolbag,[ˈskuːlbæɡ],[ˈskuːlˌbæɡ],书包,My books are in my schoolbag.,我的书在书包里。,4,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-review
KV000005,teacher,teacher,[ˈtiːtʃə(r)],[ˈtiːtʃər],老师,Our teacher is reading an English book.,我们的老师正在读一本英语书。,4,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-review
KV000006,I,I,[aɪ],[aɪ],我,I usually walk to school with Dad.,我通常和爸爸一起走路上学。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000007,have,have,[həv],[həv; əv; hæv],有,We have English class on Monday.,我们星期一有英语课。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000008,a,a,[ə],[ə; eɪ],一；一个,I saw a bird in the tree.,我看到树上有一只鸟。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000009,an,an,[ən],[ən; æn],一；一个,She has an orange in her bag.,她的包里有一个橙子。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000010,face,face,[feɪs],[feɪs],脸；面部,My face is red after PE class.,体育课后我的脸红了。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
KV000011,ear,ear,[ɪə(r)],[ɪr],耳朵,My left ear hurts today.,我今天左耳疼。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
KV000012,eye,eye,[aɪ],[aɪ],眼睛,Close your eyes for a minute.,闭上眼睛一分钟。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
KV000013,nose,nose,[nəʊz],[noʊz],鼻子,My nose is cold in winter.,冬天我的鼻子很冷。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
KV000014,mouth,mouth,[maʊθ],[maʊθ],嘴；口,Please open your mouth.,请张开嘴。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
KV000015,this,this,[ðɪs],[ðɪs],这；这个,This book is more interesting than that one.,这本书比那本更有趣。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000016,is,is,[ɪz],[ɪz],是,My classroom is on the second floor.,我的教室在二楼。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000017,my,my,[maɪ],[maɪ],我的,My sister and I go to school by bus.,我和妹妹坐公交车上学。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
KV000018,dog,dog,[dɒɡ],[dɔːɡ],狗,The dog is playing with a ball outside.,那只狗正在外面玩球。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
KV000019,bird,bird,[bɜːd],[bɜːrd],鸟,A small bird is sitting in the tree.,一只小鸟正停在树上。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上|rj_start1::6年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 source::rj_start1::grade::6 source::rj_start1::grade::6::上 stage::lower-grade-backfill
KV000020,tiger,tiger,[ˈtaɪɡə(r)],[ˈtaɪɡər],老虎,We saw a tiger at the zoo last Sunday.,上星期日我们在动物园看见了一只老虎。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
KV000021,monkey,monkey,[ˈmʌŋki],[ˈmʌŋki],猴子,The monkey climbed up the tree quickly.,那只猴子很快爬上了树。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
KV000022,cat,cat,[kæt],[kæt],猫,My cat sleeps under the chair every afternoon.,我的猫每天下午都睡在椅子下面。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
KV000023,what,what,[wɒt],[wʌt],什么,What is this?,这是什么？,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000024,it,it,[ɪt],[ɪt],它,"I found a pencil, and it is yours.",我找到一支铅笔，它是你的。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000025,one,one,[wʌn],[wʌn],一；一个,There is one apple left on the plate.,盘子里还剩一个苹果。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000026,two,two,[tuː],[tuː],二；两个,We have two English classes today.,我们今天有两节英语课。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000027,three,three,[θriː],[θriː],三；三个,Three students are reading in the library.,三个学生正在图书馆读书。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000028,four,four,[fɔː(r)],[fɔːr],四；四个,Our classroom has four big windows.,我们的教室有四扇大窗户。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000029,five,five,[faɪv],[faɪv],五；五个,The bus leaves at five o'clock.,公交车五点出发。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000030,six,six,[sɪks],[sɪks],六；六个,I get up at six on school days.,上学日我六点起床。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000031,seven,seven,[ˈsev(ə)n],[ˈsev(ə)n],七；七个,There are seven days in a week.,一周有七天。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000032,eight,eight,[eɪt],[eɪt],八；八个,My first class is at eight.,我的第一节课八点开始。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000033,nine,nine,[naɪn],[naɪn],九；九个,I go to bed before nine.,我九点前上床睡觉。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000034,ten,ten,[ten],[ten],十；十个,Ten students joined the school club.,十名学生参加了学校社团。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000035,how,how,[haʊ],[haʊ],怎样；多少,How many books?,有多少本书？,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000036,many,many,[ˈmeni],[ˈmeni],许多；多少（how many）,How many apples?,有多少个苹果？,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000037,are,are,[ɑ:(r)],[ər; ɑːr; er],是,There are two books.,有两本书。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000038,there,there,[ðeə(r)],[ðer],那里；有（there be）,There are three cats.,有三只猫。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000039,black,black,[blæk],[blæk],黑色；黑色的,My black schoolbag is under the desk.,我的黑色书包在课桌下面。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000040,yellow,yellow,[ˈjeləʊ],[ˈjeloʊ],黄色；黄色的,The yellow ruler is next to my pencil.,黄色尺子在我的铅笔旁边。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000041,blue,blue,[bluː],[bluː],蓝色；蓝色的,I put the blue book in my schoolbag.,我把蓝色的书放进书包里。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000042,red,red,[red],[red],红色；红色的,The red apple is on my desk.,红苹果在我的课桌上。,4,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-review
KV000043,green,green,[ɡriːn],[ɡriːn],绿色；绿色的,My green pencil is in the box.,我的绿色铅笔在盒子里。,4,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-review
KV000044,colour,colour,[ˈkʌlə(r)],[ˈkʌlər],颜色,What colour is it?,它是什么颜色？,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000045,apple,apple,[ˈæp(ə)l],[ˈæpl],苹果,I usually eat an apple after lunch.,我通常午饭后吃一个苹果。,4,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-review
KV000046,pear,pear,[peə(r)],[per],梨,Dad bought some pears at the market.,爸爸在市场买了一些梨。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000047,banana,banana,[bəˈnɑːnə],[bəˈnænə],香蕉,I put a banana in my lunch box.,我在午餐盒里放了一根香蕉。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000048,orange,orange,[ˈɒrɪndʒ],[ˈɔrɪndʒ],橙子；橙色,We shared an orange after PE class.,体育课后我们分吃了一个橙子。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000049,do,do,[duː; də; du; dəʊ],[duː; də; du; doʊ],助动词（用于疑问句）,Do you like apples?,你喜欢苹果吗？,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000050,you,you,[ju],[juː; jə],你；你们,Do you like cats?,你喜欢猫吗？,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000051,like,like,[laɪk],[laɪk],喜欢,I like reading books on rainy days.,我喜欢在下雨天读书。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
KV000052,yes,yes,[jes],[jes],是的；对,Yes I do.,是的，我喜欢。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
