NoteID,OriginType,CanonicalWord,SenseLabel,MeaningPrimary,ExampleSentence,ExampleTranslation,PromptHint,British,American,AdmissionStage,LearningOrder,ContentFingerprint,PresentationStatus,PresentationSource
KV002135,new-third-party-stable,mix,混合；搅拌,混合；搅拌,Mix the flour and water together.,把面粉和水混合在一起。,,[mɪks],[mɪks],stage::third-party-primary,002213,7196d6e516977e6ec8decdf1170b2c705c021126f753ed3ae920e0281b2d5645,model-curated-pending-review,third-party-learner-content-v1
KV002136,new-third-party-stable,mobile,手机；移动电话,手机；移动电话,Please turn off your mobile in class.,上课时请关掉手机。,,[ˈməʊbaɪl],[ˈmoʊbl],stage::third-party-primary,001638,0d748651272d79849a88541cfb4f7ff72aa48e3cc9a56368a9aca916fdfd5070,model-curated-pending-review,third-party-learner-content-v1
KV002137,new-third-party-stable,mobile phone,手机；移动电话,手机；移动电话,My mobile phone is in my bag.,我的手机在包里。,,,,stage::third-party-primary,001214,d5fad8c94795116cb2366597f95a154a522d38847cc991c534bcff1b8433d038,model-curated-pending-review,third-party-learner-content-v1
KV002138,new-third-party-stable,model,模型,模型,We made a model of the solar system.,我们做了一个太阳系模型。,,[ˈmɒd(ə)l],[ˈmɑːdl],stage::third-party-primary,001097,6678197b18313df28ca80aa9a7a866de6e762a794193819089d4cf9c9fb2a601,model-curated-pending-review,third-party-learner-content-v1
KV002139,new-third-party-stable,model car,汽车模型；模型车,汽车模型；模型车,He has a small red model car.,他有一辆红色的小汽车模型。,,,,stage::third-party-primary,002629,8c304df98bf5c37d72fa04999dab6997bc55f5eddd4ee975f9d7ee784cb67c79,model-curated-pending-review,third-party-learner-content-v1
KV002140,new-third-party-stable,model house,房屋模型；模型房屋,房屋模型；模型房屋,We built a model house from cardboard.,我们用硬纸板做了一个房屋模型。,,,,stage::third-party-primary,002630,1b8e1ee4c1061636857cdd9a81ebd03f0ec11f2454d99ad8ae29a39da30dc117,model-curated-pending-review,third-party-learner-content-v1
KV002141,new-third-party-stable,model plane,模型飞机,模型飞机,My model plane can fly a short distance.,我的模型飞机能飞一小段距离。,,,,stage::third-party-primary,001479,f106d5f8a790eb60291786fe54a7db7846207756544d411749b6271a8d5e986e,model-curated-pending-review,third-party-learner-content-v1
KV002142,new-third-party-stable,modern,现代的,现代的,This is a modern hospital.,这是一家现代化医院。,,[ˈmɒdn],[ˈmɑːdərn],stage::third-party-primary,001394,3bbc91c3e9a817fa6c95cb7b4a4de1e15c4bd22932f9d72ee77cbda7a1922970,model-curated-pending-review,third-party-learner-content-v1
KV002143,new-third-party-stable,mom,妈妈,妈妈,My mom makes breakfast every morning.,我妈妈每天早上做早餐。,,[mɒm],[mɑːm],stage::third-party-primary,001037,8a638d1e9be0f550f2e6d93b8f2acd2ffa2cc4ad36b5a83788eee3c2a98d7798,model-curated-pending-review,third-party-learner-content-v1
KV002144,new-third-party-stable,moment,片刻；瞬间,片刻；瞬间,Wait here for a moment.,在这里等一会儿。,,[ˈməʊmənt],[ˈmoʊmənt],stage::third-party-primary,002214,f7241012421506ddb866c5962e8aa200dffe67374795cda03d7f4db51ffef99c,model-curated-pending-review,third-party-learner-content-v1
KV002145,new-third-party-stable,Monkey King,孙悟空；美猴王,孙悟空；美猴王,The Monkey King can change into many things.,孙悟空能变成很多东西。,,,,stage::third-party-primary,002631,e55c33f6839a03d19dd2a46980885d3460930f6b03ddf467bbf5bca64e290367,model-curated-pending-review,third-party-learner-content-v1
KV002146,new-third-party-stable,monster,怪物,怪物,The children drew a friendly monster.,孩子们画了一个友善的怪物。,,[ˈmɒnstə(r)],[ˈmɑːnstər],stage::third-party-primary,001177,b672ac1499d64f2fdfadd19fdc42cc0bff618905d5005aedcbd2f3ef4dffe762,model-curated-pending-review,third-party-learner-content-v1
KV002147,new-third-party-stable,moon cake,月饼,月饼,I ate a moon cake with my family.,我和家人一起吃了一个月饼。,,,,stage::third-party-primary,001317,b958b28ce14abbbf9f01a193559dbde3f2cc85168181fb86e3f06e6cc1923a52,model-curated-pending-review,third-party-learner-content-v1
KV002148,new-third-party-stable,mooncake,月饼,月饼,This mooncake has a sweet filling.,这个月饼有甜馅。,,['mu:nkeɪk],[ˈmuːnkeɪk],stage::third-party-primary,001178,2766ccc68df5d40c8ac88e51be06b2ecfe21752968a7397049dd0871ac8655c6,model-curated-pending-review,third-party-learner-content-v1
KV002149,new-third-party-stable,more than,超过；多于,超过；多于,More than twenty students joined the club.,有二十多名学生加入了社团。,,[mɔː ðæn],[mɔr ðæn],stage::third-party-primary,001801,44c1626e2ad6de4563b859abcda529ea8ffc9deb2e4d8cfad2ff12ffac4c3ca6,model-curated-pending-review,third-party-learner-content-v1
KV002150,new-third-party-stable,morning exercises,早操；晨练,早操；晨练,We do morning exercises before class.,我们上课前做早操。,,[ˈmɔ:nɪŋ ˈeksəsaɪzɪz],[mɔrnɪŋ ɛksɚˌsaɪzɪz],stage::third-party-primary,002632,345a6b6a6816fac351e16973295ae4150bedcdb2aa6d67c1773bf271e9927299,model-curated-pending-review,third-party-learner-content-v1
KV002151,new-third-party-stable,Moscow,莫斯科,莫斯科,Moscow is the capital of Russia.,莫斯科是俄罗斯的首都。,,[ˈmɒskəʊ],[ˈmɑːskaʊ],stage::third-party-primary,002216,513f50adb44eeacaf138cd0072526e574c372ff6746d9b15059bc044b57ea8c5,model-curated-pending-review,third-party-learner-content-v1
KV002152,new-third-party-stable,most,最多的；大多数的,最多的；大多数的,Most students walk to school.,大多数学生步行上学。,,[məʊst],[moʊst],stage::third-party-primary,001067,971867ac4e241221a046905e62c51f6a62f170a697c5c3e16ea07c3f8278aec9,model-curated-pending-review,third-party-learner-content-v1
KV002153,new-third-party-stable,motorbike,摩托车,摩托车,He rides a motorbike to work.,他骑摩托车去上班。,,[ˈməʊtəbaɪk],[ˈmoʊtərbaɪk],stage::third-party-primary,002217,d60020d8ad177e3190718241d0db7ae6b1b212bde8579e5831a9c265b988aa93,model-curated-pending-review,third-party-learner-content-v1
KV002154,new-third-party-stable,motorcycle,摩托车,摩托车,The motorcycle stopped at the red light.,摩托车在红灯前停下了。,,[ˈməʊtəsaɪkl],[ˈmoʊtərsaɪkl],stage::third-party-primary,002218,8692ebf93913c7f9e16565c7e7c174287201cd1e61a5b8146f561b8c05af6c61,model-curated-pending-review,third-party-learner-content-v1
KV002155,new-third-party-stable,Mount Taishan,泰山,泰山,We climbed Mount Taishan during our trip.,旅行时我们爬了泰山。,,,,stage::third-party-primary,002634,712717a30581ae76abe6a84a0ade38e17d6ef0603952700962750e1c3736c88d,model-curated-pending-review,third-party-learner-content-v1
KV002156,new-third-party-stable,mountain climbing,登山；爬山,登山；爬山,Mountain climbing can be hard work.,登山可能很辛苦。,,,,stage::third-party-primary,002635,33d291f12e417f98ae8a7947648d998698af322eeb72dabb1a9068ecbe6458d7,model-curated-pending-review,third-party-learner-content-v1
KV002157,new-third-party-stable,movie,电影,电影,We watched a movie after dinner.,晚饭后我们看了一部电影。,,[ˈmuːvi],[ˈmuːvi],stage::third-party-primary,001639,9365f5773d02394b0d47df3308a5c5f9de2628827e1c66ff7ce9791ac0351fde,model-curated-pending-review,third-party-learner-content-v1
KV002158,new-third-party-stable,movie theater,电影院,电影院,We met outside the movie theater.,我们在电影院外面见面。,,,,stage::third-party-primary,002636,58be443609f9c40115bf8d4d376e0a06bc7761db3a56cbe59d4938d181c5a68a,model-curated-pending-review,third-party-learner-content-v1
KV002159,new-third-party-stable,Mr,先生,先生,Mr Brown is our new teacher.,布朗先生是我们的新老师。,,[ˈmɪstə(r)],[ˈmɪstər],stage::third-party-primary,000837,eda4e0bd816a9d766c6e19fa1e6acb1d6d1b02b807f528207e4fc2ebaa8046c8,model-curated-pending-review,third-party-learner-content-v1
KV002160,new-third-party-stable,much,许多；很多,许多；很多,There is too much sugar in this drink.,这杯饮料里糖太多了。,,[mʌtʃ],[mʌtʃ],stage::third-party-primary,000937,9d2320c3568a31d3bb82e692d826ca222a482daa1d7bfc04df3a754937dcd957,model-curated-pending-review,third-party-learner-content-v1
KV002161,new-third-party-stable,mud,泥；泥巴,泥；泥巴,There is mud on my shoes.,我的鞋上有泥。,,[mʌd],[mʌd],stage::third-party-primary,001640,f7aae9245c9485613b0190fe0141230a01106f4eaecdb3454626bf00a6b8da99,model-curated-pending-review,third-party-learner-content-v1
KV002162,new-third-party-stable,mum,妈妈,妈妈,Mum is making dinner now.,妈妈现在正在做晚饭。,,[mʌm],[mʌm],stage::third-party-primary,000911,c115f35303a39c7e8274e34057888745369f484b32433b8f01e90b77f4d5c726,model-curated-pending-review,third-party-learner-content-v1
KV002163,new-third-party-stable,Munich,慕尼黑,慕尼黑,Munich is a city in Germany.,慕尼黑是德国的一座城市。,,[ˈmjuːnɪk],[ˈmjuːnɪk],stage::third-party-primary,002219,424c8b03bc54c23fb87335928e3742fdb95bb83354d1c66d9338951c7acf5169,model-curated-pending-review,third-party-learner-content-v1
KV002164,new-third-party-stable,mushroom,蘑菇,蘑菇,I found a mushroom under the tree.,我在树下发现了一朵蘑菇。,,[ˈmʌʃrʊm; ˈmʌʃruːm],[ˈmʌʃrʊm; ˈmʌʃruːm],stage::third-party-primary,002220,d2bbaf91d333e75015c7000428783ce6dc573b44475045864e2879fc6f191b36,model-curated-pending-review,third-party-learner-content-v1
KV002165,new-third-party-stable,mushrooms,蘑菇,蘑菇,We added mushrooms to the soup.,我们在汤里加了蘑菇。,,[ˈmʌʃrʊmz],[ˈmʌʃrʊmz],stage::third-party-primary,001641,c4570a1bfe9013791b11e5173b51bb48e34c08ff3fe71b239fa12a955d3beb5a,model-curated-pending-review,third-party-learner-content-v1
KV002166,new-third-party-stable,music class,音乐课,音乐课,We sing songs in music class.,我们在音乐课上唱歌。,,,,stage::third-party-primary,002637,17b8e71066b63c110a9aa6719e58a32223f726f6e6ea13664248e1ae80ddc541,model-curated-pending-review,third-party-learner-content-v1
KV002167,new-third-party-stable,music room,音乐教室；音乐室,音乐教室；音乐室,The piano is in the music room.,钢琴在音乐教室里。,,,,stage::third-party-primary,001802,baeb126a75a991fc09445707bc80e54bbe2cf80f2c8ea73df959aae42b8ca259,model-curated-pending-review,third-party-learner-content-v1
KV002168,new-third-party-stable,musician,音乐家,音乐家,The musician played the violin beautifully.,音乐家优美地演奏了小提琴。,,[mjuˈzɪʃn],[mjuˈzɪʃn],stage::third-party-primary,002221,84fa7e49a25914e141226944e6f6b7e058a93ce5c4dea95763c2076fa2cdfaf9,model-curated-pending-review,third-party-learner-content-v1
