Lemma,FormType,InflectedForm,IPA,Grade,Semester,Unit,Page,SourceEntry,SourceStatus,EvidenceFileID
tooth,noun_plural,teeth,/ti:θ/,5,上,4,44,tooth,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
leaf,noun_plural,leaves,/li:vz/,5,下,2,19,leaf,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
climb,present_participle,climbing,,5,下,5,52,climbing,observed-from-klose-textbook,file_000000009f948230995475af40a37df1
eat,present_participle,eating,,5,下,5,52,eating,observed-from-klose-textbook,file_000000009f948230995475af40a37df1
play,present_participle,playing,,5,下,5,52,playing,observed-from-klose-textbook,file_000000009f948230995475af40a37df1
jump,present_participle,jumping,,5,下,5,52,jumping,observed-from-klose-textbook,file_000000009f948230995475af40a37df1
drink,present_participle,drinking,,5,下,5,52,drinking,observed-from-klose-textbook,file_000000009f948230995475af40a37df1
sleep,present_participle,sleeping,,5,下,5,52,sleeping,observed-from-klose-textbook,file_000000009f948230995475af40a37df1
be,verb_past,was,,6,上,1,4,was,observed-from-klose-textbook,file_000000009cdc81fdbb3d97a81dc23f8f
go,verb_past,went,,6,上,1,6,go,observed-from-klose-textbook,file_000000009cdc81fdbb3d97a81dc23f8f
see,verb_past,saw,,6,上,1,6,see,observed-from-klose-textbook,file_000000009cdc81fdbb3d97a81dc23f8f
eat,verb_past,ate,,6,上,1,7,eat,observed-from-klose-textbook,file_000000009cdc81fdbb3d97a81dc23f8f
take,verb_past,took,,6,上,1,7,take,observed-from-klose-textbook,file_000000009cdc81fdbb3d97a81dc23f8f
run,verb_past,ran,,6,上,2,18,run,observed-from-klose-textbook,file_00000000022481fdb6484399c1bf9da3
read,verb_past,read,/red/,6,上,2,19,read,observed-from-klose-textbook,file_00000000022481fdb6484399c1bf9da3
make,verb_past,made,,6,上,2,19,make,observed-from-klose-textbook,file_00000000022481fdb6484399c1bf9da3
sing,verb_past,sang,,6,上,2,19,sing,observed-from-klose-textbook,file_00000000022481fdb6484399c1bf9da3
wear,verb_past,wore,,6,上,2,19,wear,observed-from-klose-textbook,file_00000000022481fdb6484399c1bf9da3
wake,verb_past,woke,,6,上,2,20,wake,observed-from-klose-textbook,file_00000000022481fdb6484399c1bf9da3
begin,verb_past,began,,6,上,2,20,begin,observed-from-klose-textbook,file_00000000022481fdb6484399c1bf9da3
win,verb_past,won,,6,上,2,20,win,observed-from-klose-textbook,file_00000000022481fdb6484399c1bf9da3
young,comparative,younger,,6,下,1,5,younger,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
old,comparative,older,,6,下,1,5,older,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
tall,comparative,taller,,6,下,1,5,taller,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
short,comparative,shorter,,6,下,1,5,shorter,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
long,comparative,longer,,6,下,1,5,longer,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
thin,comparative,thinner,,6,下,1,7,thinner,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
heavy,comparative,heavier,,6,下,1,7,heavier,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
big,comparative,bigger,,6,下,1,7,bigger,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
small,comparative,smaller,,6,下,1,7,smaller,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
strong,comparative,stronger,,6,下,1,7,stronger,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
low,comparative,lower,,6,下,1,8,lower,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
smart,comparative,smarter,,6,下,1,8,smarter,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
well,comparative,better,,6,下,2,16,better,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
fast,comparative,faster,,6,下,2,16,faster,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
clean,verb_past,cleaned,,6,下,2,15,cleaned,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
stay,verb_past,stayed,,6,下,2,15,stayed,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
wash,verb_past,washed,,6,下,2,15,washed,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
watch,verb_past,watched,,6,下,2,15,watched,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
have,verb_past,had,,6,下,2,17,had,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
sleep,verb_past,slept,,6,下,2,17,slept,observed-from-klose-textbook,file_00000000eb1081fdb892f5448727b477
read,verb_past,read,,6,下,2,17,read,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
see,verb_past,saw,,6,下,2,17,saw,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
drink,verb_past,drank,,6,下,2,14,drank,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
fix,verb_past,fixed,,6,下,2,18,fixed,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
go,verb_past,went,,6,下,3,25,went,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
ride,verb_past,rode,,6,下,3,25,rode,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
hurt,verb_past,hurt,,6,下,3,25,hurt,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
eat,verb_past,ate,,6,下,3,27,ate,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
take,verb_past,took,,6,下,3,27,took,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
buy,verb_past,bought,,6,下,3,27,bought,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
fall,verb_past,fell,,6,下,3,24,fell,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
can,verb_past,could,,6,下,3,24,could,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
lick,verb_past,licked,,6,下,3,28,licked,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
laugh,verb_past,laughed,,6,下,3,28,laughed,observed-from-klose-textbook,file_000000004dd881fd84578ea606204052
think,verb_past,thought,,6,下,4,38,thought,observed-from-klose-textbook,file_000000009a4c81fdae35a6b997c2a762
feel,verb_past,felt,,6,下,4,38,felt,observed-from-klose-textbook,file_000000009a4c81fdae35a6b997c2a762
wake,verb_past,woke,,6,下,4,38,woke,observed-from-klose-textbook,file_000000009a4c81fdae35a6b997c2a762
