MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,Contexts,RiskSignals,CandidateType,CandidateRoute,ProposedObjectDecision,ResolutionStatus,Confidence,TargetReference,ResolutionBasis,Rationale,KloseMergeAuthorized
10th,10th,无,5年级下,1,5年级下@r33: [5th / tenth / <10th> / twelfth / 12th],missing-or-empty-gloss|numeric-ordinal-form,ordinal-format-alias-review,identity-alias-review,canonical-form-alias-candidate,rule-reviewed,high,tenth,numeric-ordinal-alias,Numeric ordinal and written ordinal represent the same ordinal concept; keep one identity candidate and preserve the numeric form as source/presentation evidence.,no
12th,12th,无,5年级下,1,5年级下@r35: [10th / twelfth / <12th> / twenty-fifth / 25th],missing-or-empty-gloss|numeric-ordinal-form,ordinal-format-alias-review,identity-alias-review,canonical-form-alias-candidate,rule-reviewed,high,twelfth,numeric-ordinal-alias,Numeric ordinal and written ordinal represent the same ordinal concept; keep one identity candidate and preserve the numeric form as source/presentation evidence.,no
15th,15th,无,5年级下,1,5年级下@r94: [learned to swim / fifteenth / <15th> / started to buy things / started to study English],missing-or-empty-gloss|numeric-ordinal-form,ordinal-format-alias-review,identity-alias-review,canonical-form-alias-candidate,rule-reviewed,high,fifteenth,numeric-ordinal-alias,Numeric ordinal and written ordinal represent the same ordinal concept; keep one identity candidate and preserve the numeric form as source/presentation evidence.,no
25th,25th,无,5年级下,1,5年级下@r37: [12th / twenty-fifth / <25th> / plant / make a poster],missing-or-empty-gloss|numeric-ordinal-form,ordinal-format-alias-review,identity-alias-review,canonical-form-alias-candidate,rule-reviewed,high,twenty-fifth,numeric-ordinal-alias,Numeric ordinal and written ordinal represent the same ordinal concept; keep one identity candidate and preserve the numeric form as source/presentation evidence.,no
5th,5th,n. 第五(fifth),5年级下,1,5年级下@r31: [birthday / fifth / <5th> / tenth / 10th],numeric-ordinal-form,ordinal-format-alias-review,identity-alias-review,canonical-form-alias-candidate,rule-reviewed,high,fifth,numeric-ordinal-alias,Numeric ordinal and written ordinal represent the same ordinal concept; keep one identity candidate and preserve the numeric form as source/presentation evidence.,no
a box of crayons,a box of crayons,无,5年级上,1,5年级上@r45: [a pair of scissors / pencil box / <a box of crayons> / please / only],missing-or-empty-gloss|multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
a lot,a lot,n. 许多 adv. 常,5年级上,1,5年级上@r53: [love / how much / <a lot> / wonderful / cool],multi-pos-gloss|multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
a lot of,a lot of,det. 许多,5年级下,1,5年级下@r15: [headache / toothache / <a lot of> / sleepy / subject],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
a pair of scissors,a pair of scissors,一把剪刀;一副剪刀;一双剪刀,5年级上,1,5年级上@r43: [exercise book / pencil sharpener / <a pair of scissors> / pencil box / a box of crayons],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
across from,across from,na. 在...的正对面,4年级下,1,4年级下@r2: [<across from> / next to / between],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
