CandidateID,Scope,NewNoteID,OtherNoteID,NewWord,NewMatchKey,NewSense,NewOriginSurface,OtherWord,OtherMatchKey,OtherSense,OtherCreatedSource,Signals,RiskScore,ReviewStatus,Decision,MergeIntoNoteID,Rationale
G56D0001,new-vs-existing,KV001029,KV000193,eating lunch,eating lunch,（正在）吃午饭,eat lunch,eat lunch,eat lunch,吃午饭,rj_start1,allocation-origin-surface-match|morphology-equivalent|phrase-determiner-or-inflection-variant,100,pending,,,
G56D0002,new-vs-existing,KV001171,KV000500,went camping,went camping,（尤指在假日）野营,go camping,go camping,go camping,去露营,rj_start1,allocation-origin-surface-match|morphology-equivalent|phrase-determiner-or-inflection-variant,100,pending,,,
G56D0003,new-vs-existing,KV001173,KV000359,went fishing,went fishing,去钓鱼,go fishing,go fishing,go fishing,去钓鱼,rj_start1,allocation-origin-surface-match|morphology-equivalent|phrase-determiner-or-inflection-variant,100,pending,,,
G56D0004,new-vs-existing,KV000967,KV000729,worry,worry,担心；担忧；发愁,worry,worried,worried,担心的,rj_start1,morphology-equivalent,92,pending,,,
G56D0005,new-vs-existing,KV001022,KV000098,yours,yours,你（们）的,yours,your,your,你的；你们的,rj_start1,morphology-equivalent,92,pending,,,
G56D0006,new-vs-existing,KV001023,KV000117,hers,hers,她的,hers,her,her,她的,rj_start1,morphology-equivalent,92,pending,,,
G56D0007,new-vs-existing,KV001024,KV000368,theirs,theirs,他们的；她们的；它们的,theirs,their,their,他们的；她们的；它们的,rj_start1,morphology-equivalent,92,pending,,,
G56D0008,new-vs-existing,KV001025,KV000300,ours,ours,我们的,ours,our,our,我们的,rj_start1,morphology-equivalent,92,pending,,,
G56D0009,new-vs-existing,KV001075,KV000488,sing,sing,（过去式 sang）唱（歌）；演唱,sing,singing,singing,唱歌,rj_start1,morphology-equivalent,92,pending,,,
G56D0010,new-vs-existing,KV001084,KV000732,exciting,exciting,令人激动的,exciting,excited,excited,兴奋的；激动的,rj_start1,morphology-equivalent,92,pending,,,
G56D0011,new-vs-existing,KV001143,KV000344,run,run,（使）运转,run,running,running,跑步,rj_start1,morphology-equivalent,92,pending,,,
G56D0012,new-vs-existing,KV000974,KV000326,clean my room,clean my room,打扫我的房间,clean my room,cleaning the room,cleaning the room,正在打扫房间,rj_start1,phrase-determiner-or-inflection-variant,90,pending,,,
G56D0013,new-vs-existing,KV000974,KV000572,clean my room,clean my room,打扫我的房间,clean my room,clean the room,clean the room,打扫房间,rj_start1,phrase-determiner-or-inflection-variant,90,pending,,,
G56D0014,new-vs-existing,KV001030,KV000307,reading a book,reading a book,（正在）看书,read a book,read books,read books,读书；看书,rj_start1,phrase-determiner-or-inflection-variant,90,pending,,,
G56D0015,new-vs-existing,KV001063,KV000678,Terracotta Warriors,terracotta warriors,兵马俑,terracotta warriors,the Terracotta Army,the terracotta army,兵马俑,rj_start1,proper-name-same-gloss-overlap,80,pending,,,
G56D0016,new-vs-existing,KV000913,KV000471,star,star,歌唱（或表演）明星,star,star,star,星星,rj_start1,same-surface,78,pending,,,
G56D0017,new-vs-existing,KV000938,KV000839,then,then,那么；因此；既然如此,then,then,then,然后；那时,rj_start1,same-surface,78,pending,,,
G56D0018,new-vs-existing,KV000977,KV000872,take,take,学习；上（课）,take,take,take,买下,rj_start1,same-surface,78,pending,,,
G56D0019,new-vs-existing,KV000985,KV000813,play,play,戏剧；剧本,play,play,play,玩耍,rj_start1,same-surface,78,pending,,,
G56D0020,new-vs-existing,KV000993,KV000811,best,best,最；最高程度地,best,best,best,最好的,rj_start1,same-surface,78,pending,,,
G56D0021,new-vs-existing,KV000995,KV000365,paint,paint,用颜料绘画,paint,paint,paint,油漆；给……刷漆,rj_start1,same-surface,78,pending,,,
G56D0022,new-vs-new,KV001014,KV000937,show,show,展览,show,show,show,（电视或广播）节目,klose-grade5-6-current,same-surface,78,pending,,,
G56D0023,new-vs-existing,KV001028,KV000051,like,like,像……那样,like,like,like,喜欢,rj_start1,same-surface,78,pending,,,
G56D0024,new-vs-new,KV001039,KV000937,show,show,给人看,show,show,show,（电视或广播）节目,klose-grade5-6-current,same-surface,78,pending,,,
G56D0025,new-vs-new,KV001039,KV001014,show,show,给人看,show,show,show,展览,klose-grade5-6-current,same-surface,78,pending,,,
G56D0026,new-vs-existing,KV001055,KV000872,take,take,（过去式 took）（某个动作；和名词连用代替某个动词）,take,take,take,买下,rj_start1,same-surface,78,pending,,,
G56D0027,new-vs-new,KV001055,KV000977,take,take,（过去式 took）（某个动作；和名词连用代替某个动词）,take,take,take,学习；上（课）,klose-grade5-6-current,same-surface,78,pending,,,
G56D0028,new-vs-existing,KV001067,KV000095,dress,dress,穿衣服,dress,dress,dress,连衣裙,rj_start1,same-surface,78,pending,,,
G56D0029,new-vs-existing,KV001085,KV000176,cold,cold,感冒,cold,cold,cold,寒冷的,rj_start1,same-surface,78,pending,,,
G56D0030,new-vs-existing,KV001095,KV000270,may,may,也许；可能,may,May,may,五月,rj_start1,same-surface,78,pending,,,
G56D0031,new-vs-existing,KV001134,KV000188,time,time,次；回,time,time,time,时间；时刻,rj_start1,same-surface,78,pending,,,
G56D0032,new-vs-existing,KV001141,KV000062,light,light,照亮,light,light,light,灯,rj_start1,same-surface,78,pending,,,
G56D0033,new-vs-existing,KV001142,KV000175,cool,cool,（使）变凉；冷却,cool,cool,cool,凉爽的,rj_start1,same-surface,78,pending,,,
G56D0034,new-vs-existing,KV001143,KV000334,run,run,（使）运转,run,run,run,跑；奔跑,rj_start1,same-surface,78,pending,,,
G56D0035,new-vs-existing,KV001158,KV000781,top,top,（位置、级别或程度）最高的,top,top,top,顶部；顶端,rj_start1,same-surface,78,pending,,,
G56D0036,new-vs-existing,KV001172,KV000080,fish,fish,钓鱼；捕鱼,fish,fish,fish,鱼；鱼肉,rj_start1,same-surface,78,pending,,,
G56D0037,new-vs-new,KV001193,KV000963,trip,trip,绊倒,trip,trip,trip,（尤指短程往返的）旅行，旅游，出行,klose-grade5-6-current,same-surface,78,pending,,,
G56D0038,new-vs-existing,KV001194,KV000476,dream,dream,梦,dream,dream,dream,梦想,rj_start1,same-surface,78,pending,,,
