NoteID,ExampleSentence,ExampleTranslation
KV000346,We go roller skating on the weekend.,我们周末去轮滑。
KV000350,This film is more interesting than that one.,这部电影比那部更有趣。
KV000359,Dad and I go fishing on Sunday morning.,星期日早上爸爸和我去钓鱼。
KV000360,We go to the cinema on the weekend.,我们周末去电影院看电影。
KV000365,They paint the door blue.,他们把门刷成蓝色。
KV000367,My shoes are dirty after playing football.,踢完足球后我的鞋脏了。
KV000372,It is rainy so I stay at home.,下雨了，所以我待在家里。
KV000374,I usually go to school by bus.,我通常坐公交车上学。
KV000377,We travel by ship in summer.,我们夏天乘船旅行。
KV000378,My family goes to the park by car.,我们一家坐汽车去公园。
KV000379,We go to the station by taxi.,我们坐出租车去车站。
KV000383,We go to the museum by subway.,我们坐地铁去博物馆。
KV000384,We travel by plane in summer.,我们夏天乘飞机旅行。
KV000385,We go to the city by train.,我们乘火车去这座城市。
KV000395,I enjoy reading in the evening.,我喜欢晚上阅读。
KV000396,My blue pen is next to the ruler.,我的蓝色钢笔在尺子旁边。
KV000407,"Excuse me, where is the gate?",请问，大门在哪里？
KV000408,The phone is on the desk next to my book.,电话在课桌上，紧挨着我的书。
KV000410,I had a hamburger and some juice for lunch.,我午饭吃了一个汉堡，还喝了些果汁。
KV000424,My uncle is a cook at a restaurant.,我叔叔是一家餐馆的厨师。
KV000426,The bus driver stops at the red light.,公交车司机在红灯前停车。
KV000429,The farmer works hard every day.,农民每天辛勤工作。
KV000435,Many people are waiting at the station.,许多人正在车站等候。
KV000444,We send birthday cards at the post office.,我们在邮局寄生日贺卡。
KV000452,I send a birthday card to my cousin.,我给表兄弟姐妹寄一张生日贺卡。
KV000453,I get a birthday present from my friend.,我收到朋友送的生日礼物。
KV000454,I need some money to buy the book.,我需要一些钱来买这本书。
KV000483,The Great Wall is in China.,长城在中国。
KV000484,We often travel during the summer vacation.,我们暑假经常去旅行。
KV000512,The koala is eating in a tree.,考拉正在树上吃东西。
KV000513,Maple leaves turn red in autumn.,枫叶在秋天变红。
