MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,StageAClass,SeedMatchKeys,SeedDisplayForms,SeedDefinitions,NeedsSenseReview
10th,10th,无,5年级下,1,new-surface-candidate,,,,yes
12th,12th,无,5年级下,1,new-surface-candidate,,,,yes
15th,15th,无,5年级下,1,new-surface-candidate,,,,yes
25th,25th,无,5年级下,1,new-surface-candidate,,,,yes
5th,5th,n. 第五(fifth),5年级下,1,new-surface-candidate,,,,yes
a box of crayons,a box of crayons,无,5年级上,1,new-surface-candidate,,,,yes
a lot,a lot,n. 许多 adv. 常,5年级上,1,new-surface-candidate,,,,yes
a lot of,a lot of,det. 许多,5年级下,1,new-surface-candidate,,,,yes
a pair of scissors,a pair of scissors,一把剪刀;一副剪刀;一双剪刀,5年级上,1,new-surface-candidate,,,,yes
across from,across from,na. 在...的正对面,4年级下,1,new-surface-candidate,,,,yes
active,active,n. 主动语态;积极分子 adj. 积极的;活跃的;主动的;有效的;现役的,5年级上,1,new-surface-candidate,,,,yes
advice,advice,n. 建议;忠告;劝告;通知,5年级下,1,new-surface-candidate,,,,yes
africa,Africa,n. 非洲,6年级上,1,new-surface-candidate,,,,yes
after school,after school,na. 放学后,3年级下,1,new-surface-candidate,,,,yes
age,age,"n. 年龄;时代;寿命,使用年限;阶段 vt. 使成熟;使变老,使上年纪 vi. 成熟;变老",3年级上,1,new-surface-candidate,,,,yes
airport,airport,n. 机场;航空站,6年级下,1,new-surface-candidate,,,,yes
all over,all over,adj. 满 n. 全花织物,5年级下,1,new-surface-candidate,,,,yes
always,always,"adv. 永远,一直;总是;常常",4年级上|5年级下,2,new-surface-candidate,,,,yes
amazing,amazing,adj. 令人惊异的 v. 使吃惊(amaze的ing形式),6年级下,1,new-surface-candidate,,,,yes
american,American,"n. 美国人,美洲人;美国英语 adj. 美国的,美洲的;地道美国式的",6年级上,1,new-surface-candidate,,,,yes
arrive,arrive,vi. 到达;成功;达成;出生,6年级下,1,new-surface-candidate,,,,yes
art gallery,art gallery,n. 美术馆;艺术展览馆,6年级下,1,new-surface-candidate,,,,yes
artist,artist,n. 艺术家;美术家(尤指画家);大师,6年级上,1,new-surface-candidate,,,,yes
asia,Asia,n. 亚洲,6年级上,1,new-surface-candidate,,,,yes
at least,at least,na. 至少,6年级下,1,new-surface-candidate,,,,yes
ate ice-cream,ate ice-cream,无,5年级下,1,new-surface-candidate,,,,yes
australia,Australia,"n. 澳大利亚,澳洲",4年级下,1,new-surface-candidate,,,,yes
badminton,badminton,n. 羽毛球,5年级下,1,new-surface-candidate,,,,yes
bank,bank,n. 银行;岸;浅滩;储库 vt. 将...存入银行;倾斜转弯 vi. 堆积;倾斜转弯,4年级下,1,new-surface-candidate,,,,yes
bark,bark,n. 树皮;深青棕色;毛皮;皮肤;狗叫 vt. 狗叫;尖叫;剥皮,5年级上,1,new-surface-candidate,,,,yes
be afraid of,be afraid of,na. 怕,6年级上,1,new-surface-candidate,,,,yes
be back,be back,na. 回家;回来,3年级下,1,new-surface-candidate,,,,yes
be careful!,Be careful!,小心;当心;注意,4年级上,1,new-surface-candidate,,,,yes
be good at,be good at,v. 善于,4年级上,1,new-surface-candidate,,,,yes
beaver,beaver,n. 海狸;海狸皮毛,6年级下,1,new-surface-candidate,,,,yes
because,because,conj. 因为,6年级上,1,new-surface-candidate,,,,yes
bedroom,bedroom,n. 卧室 adj. 两性关系的;城郊住宅区的,3年级下,1,new-surface-candidate,,,,yes
big ben,Big Ben,"n. 英国伦敦议会大厦顶的大钟, 美国得州西南部的国立大本德公园(Big Bend National Park)",4年级下,1,new-surface-candidate,,,,yes
bite,bite,n. 咬;一口;咬伤;刺痛 abbr. 机内测试设备(Built-In Test Equipment) vt. 咬;刺痛 vi. 咬;刺痛,3年级上,1,new-surface-candidate,,,,yes
blind,blind,"n. 掩饰,借口;百叶窗 adj. 盲目的;瞎的 vt. 使失明;使失去理智 adv. 盲目地;看不见地",6年级上,1,new-surface-candidate,,,,yes
bookshop,bookshop,n. 书店,2年级上|4年级下,2,new-surface-candidate,,,,yes
boring,boring,n. 钻孔 adj. 无聊的;令人厌烦的 v. 钻孔;使厌烦;挖空(bore的ing形式),5年级下,1,new-surface-candidate,,,,yes
bought some gifts,bought some gifts,无,5年级下,1,new-surface-candidate,,,,yes
broken,broken,v. 折断;打碎;损坏(break的过去分词) adj. 破碎的;坏掉的,6年级上,1,new-surface-candidate,,,,yes
bus driver,bus driver,na. (公共汽车)驾驶员;〈俚〉轰炸机驾驶员,4年级上,1,new-surface-candidate,,,,yes
butterfly,butterfly,n. 蝴蝶;蝶泳;举止轻浮的人;追求享乐的人,5年级上,1,new-surface-candidate,,,,yes
buy toys,buy toys,无,4年级下,1,new-surface-candidate,,,,yes
by bike,by bike,骑自行车;骑车;骑单车,4年级上,1,new-surface-candidate,,,,yes
by boat,by boat,na. 乘船,4年级上,1,new-surface-candidate,,,,yes
by bus,by bus,na. 乘公共汽车,4年级上,1,new-surface-candidate,,,,yes
by car,by car,na. 乘电车;乘汽车,4年级上,1,new-surface-candidate,,,,yes
by plane,by plane,adv. 乘飞机,4年级上,1,new-surface-candidate,,,,yes
by school bus,by school bus,无,4年级上,1,new-surface-candidate,,,,yes
by ship,by ship,乘船;乘轮船;坐轮船,4年级上,1,new-surface-candidate,,,,yes
by subway,by subway,乘地铁;坐地铁;乘坐地铁,4年级上,1,new-surface-candidate,,,,yes
by taxi,by taxi,乘出租车;坐出租车;打的,4年级上,1,new-surface-candidate,,,,yes
by train,by train,na. 坐火车,4年级上,1,new-surface-candidate,,,,yes
campfire,campfire,n. 营火;营火会,4年级下,1,new-surface-candidate,,,,yes
can't,can't,abbr. 不能(can not),2年级下,1,new-surface-candidate,,,,yes
candy,candy,"n. 糖果(等于sweets);冰糖(等于sugar candy,rock candy);毒品 adj. 新潮的(服饰);甜言蜜语的 vt. 用糖煮;使结晶为砂糖;美化 vi. 糖煮;成为结晶",5年级下,1,new-surface-candidate,,,,yes
careless,careless,adj. 粗心的;无忧无虑的;淡漠的,5年级上,1,new-surface-candidate,,,,yes
cartoons,cartoons,n. 卡通动画;动漫图书(cartoon的复数) v. 画漫画(cartoon的三单形式),5年级上,1,new-surface-candidate,,,,yes
