NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001100,The service is good.,服务很好。,model-curated,grade5-6-learner-content-v1
KV001101,I need a haircut.,我需要理发。,model-curated,grade5-6-learner-content-v1
KV001102,We look at it with a microscope.,我们用显微镜观察它。,model-curated,grade5-6-learner-content-v1
KV001103,You are very lucky.,你很幸运。,model-curated,grade5-6-learner-content-v1
KV001104,I eat half of the apple.,我吃了半个苹果。,model-curated,grade5-6-learner-content-v1
KV001105,I save up for a bike.,我攒钱买自行车。,model-curated,grade5-6-learner-content-v1
KV001106,The shop has a big sale.,这家商店正在大减价。,model-curated,grade5-6-learner-content-v1
KV001107,I have a train ticket.,我有一张火车票。,model-curated,grade5-6-learner-content-v1
KV001108,She can manage the team.,她能管理这个团队。,model-curated,grade5-6-learner-content-v1
KV001109,They sell fruit here.,他们在这里卖水果。,model-curated,grade5-6-learner-content-v1
KV001110,The water is in a jar.,水在罐子里。,model-curated,grade5-6-learner-content-v1
KV001111,Earth is a planet.,地球是一颗行星。,model-curated,grade5-6-learner-content-v1
KV001112,The sky is blue.,天空是蓝色的。,model-curated,grade5-6-learner-content-v1
KV001113,It is warm in the daytime.,白天很暖和。,model-curated,grade5-6-learner-content-v1
KV001114,There is a cloud.,有一朵云。,model-curated,grade5-6-learner-content-v1
KV001115,The Moon goes around Earth.,月球围绕地球运行。,model-curated,grade5-6-learner-content-v1
KV001116,People want to travel in space.,人们想去太空旅行。,model-curated,grade5-6-learner-content-v1
KV001117,The rocket goes into outer space.,火箭飞入外太空。,model-curated,grade5-6-learner-content-v1
KV001118,This is a space station.,这是一座空间站。,model-curated,grade5-6-learner-content-v1
KV001119,The ocean is very big.,海洋非常大。,model-curated,grade5-6-learner-content-v1
KV001120,The child plays with a marble.,这个孩子玩玻璃弹子。,model-curated,grade5-6-learner-content-v1
KV001121,The satellite goes around Earth.,人造卫星围绕地球运行。,model-curated,grade5-6-learner-content-v1
