NoteID,ExampleSentence,ExampleTranslation
KV000003,I have a blue pencil in my schoolbag.,我的书包里有一支蓝色铅笔。
KV000005,Our teacher is reading an English book.,我们的老师正在读一本英语书。
KV000010,My face is red after PE class.,体育课后我的脸红了。
KV000013,My nose is cold in winter.,冬天我的鼻子很冷。
KV000014,Please open your mouth.,请张开嘴。
KV000017,My sister and I go to school by bus.,我和妹妹坐公交车上学。
KV000032,My first class is at eight.,我的第一节课八点开始。
KV000088,I have milk for breakfast every morning.,我每天早饭都喝牛奶。
KV000095,My sister wore a yellow dress to the party.,我妹妹穿着一条黄色连衣裙去参加聚会。
KV000172,We make snowmen in winter with our friends.,冬天我们和朋友们一起堆雪人。
KV000186,There are fourteen books on the desk.,桌子上有十四本书。
KV000189,We play football during playtime.,游戏时间我们踢足球。
KV000205,We have PE class on Friday afternoon.,我们星期五下午有体育课。
KV000207,I have English homework to do today.,我今天有英语作业要做。
KV000226,Too much ice-cream is bad for your teeth.,吃太多冰淇淋对牙齿不好。
KV000232,This is a short summary of our class.,这是我们课堂内容的简短总结。
KV000238,I put a tomato in my lunch box.,我在午餐盒里放了一个西红柿。
KV000240,Milk and eggs are on my shopping list.,牛奶和鸡蛋在我的购物清单上。
KV000253,My sister likes to dance to music.,我妹妹喜欢跟着音乐跳舞。
KV000286,I listen to music after school every day.,我每天放学后听音乐。
KV000304,I draw pictures after school with my friends.,我放学后和朋友们一起画画。
KV000312,My family often has dinner at home.,我们一家经常在家吃晚饭。
KV000336,My bedroom has a bed and a desk.,我的卧室里有一张床和一张书桌。
