Unit,Order,Expression,Translation,SourceStatus
1,1,"Hurry up! Don't be late for class!","快点！上课别迟到！",observed-from-klose-textbook
1,2,"I'm ready. Let's go!","我准备好了。我们走吧！",observed-from-klose-textbook
1,3,"Who's on duty today?","今天谁值日？",observed-from-klose-textbook
1,4,"I can put back the desks and chairs.","我可以把桌椅放回原位。",observed-from-klose-textbook
1,5,"Excuse me?","对不起，请再说一次可以吗？",observed-from-klose-textbook
2,1,"Mum, can I watch TV?","妈妈，我能看电视吗？",observed-from-klose-textbook
2,2,"No. You have to do your homework first.","不行。你得先做作业。",observed-from-klose-textbook
2,3,"Shh. Don't be so loud!","嘘。别这么大声！",observed-from-klose-textbook
2,4,"Be careful, Jack. Don't touch hot things.","杰克，要小心。别碰烫的东西。",observed-from-klose-textbook
3,1,"What time is it?","几点了？",observed-from-klose-textbook
3,2,"It's 5 o'clock.","现在五点了。",observed-from-klose-textbook
3,3,"Time to go home, kids.","孩子们，该回家了。",observed-from-klose-textbook
3,4,"It's time for dinner.","该吃晚饭了。",observed-from-klose-textbook
3,5,"It's time to get up.","该起床了。",observed-from-klose-textbook
3,6,"Have a nice day!","祝你一天愉快！",observed-from-klose-textbook
4,1,"Can I buy a new pair?","我能买条新的（裤子）吗？",observed-from-klose-textbook
4,2,"Sure. Let's go to the clothes shop.","当然。我们去服装店吧。",observed-from-klose-textbook
4,3,"You already have too many shorts. Let's buy trousers.","你已经有很多短裤了。我们买长裤吧。",observed-from-klose-textbook
4,4,"Can I help you?","要帮忙吗？",observed-from-klose-textbook
4,5,"Yes. I like this pink dress.","嗯。我喜欢这件粉色的长裙。",observed-from-klose-textbook
4,6,"Let's take it.","我们买下它吧。",observed-from-klose-textbook
5,1,"What animals do you have on the farm?","您的农场上都养了哪些动物？",observed-from-klose-textbook
5,2,"I have a lot of animals.","我养了很多动物。",observed-from-klose-textbook
5,3,"What are these?","这些是什么？",observed-from-klose-textbook
5,4,"They're tomatoes.","这些是西红柿。",observed-from-klose-textbook
5,5,"How fresh!","真新鲜啊！",observed-from-klose-textbook
5,6,"Can you please pass me the vegetables?","能否请你把蔬菜递给我？",observed-from-klose-textbook
5,7,"Mike, Amy, would you like a knife and fork?","迈克、埃米，你们需要餐刀和餐叉吗？",observed-from-klose-textbook
5,8,"No, thank you, Mr Wang. I can use chopsticks.","不用，谢谢您，王先生。我会用筷子。",observed-from-klose-textbook
5,9,"Don't waste food, please.","请不要浪费食物。",observed-from-klose-textbook
6,1,"Let's feed the chickens.","我们喂鸡吧。",observed-from-klose-textbook
