SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
guangdong_start3|g3-upper|r002|at,guangdong_start3,3年级上,3,上,2,at,at,[ət],[ət; æt],prep. 在(表示存在或出现的地点、场所、位置、空间);以(某种价格、速度等);向;达;因为;朝;忙于 n. 阿特(老挝货币基本单位att);[化]砹(极不稳定放射性元素) abbr. 密封的(airtight);气温(air temperature),广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r003|home,guangdong_start3,3年级上,3,上,3,home,home,[həʊm],[hoʊm],"n. 家,住宅;产地;家乡;避难所 adj. 国内的,家庭的;有效的 vt. 归巢,回家 adv. 在家,回家;深入地",广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r004|hello,guangdong_start3,3年级上,3,上,4,hello,hello,[həˈləʊ],[həˈləʊ],"n. 表示问候, 惊奇或唤起注意时的用语 int. 喂;哈罗",广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r005|hi,guangdong_start3,3年级上,3,上,5,hi,hi,[haɪ],[haɪ],int. 嗨!(表示问候或用以唤起注意),广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r006|i,guangdong_start3,3年级上,3,上,6,I,i,[aɪ],[aɪ],n. 碘元素;英语字母I pron. 我,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r007|am,guangdong_start3,3年级上,3,上,7,am,am,[əm; æm],[əm; æm],abbr. 调幅 v. 是,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r008|what,guangdong_start3,3年级上,3,上,8,what,what,[wɒt],[wʌt],"pron. 什么;多么;多少 adv. 到什么程度,在哪一方面 adj. 什么;多么;何等 int. 什么;多么",广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r009|is,guangdong_start3,3年级上,3,上,9,is,is,[ɪz],[ɪz],v. 是(be的三单形式) n. 存在,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r010|your,guangdong_start3,3年级上,3,上,10,your,your,[jɔː(r); jə(r)],[jʊr; jər],"pron. 你的,你们的",广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r011|name,guangdong_start3,3年级上,3,上,11,name,name,[neɪm],[neɪm],"n. 名称,名字;姓名;名誉 vt. 命名,任命;指定;称呼;提名;叫出 adj. 姓名的;据以取名的",广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r012|nice,guangdong_start3,3年级上,3,上,12,nice,nice,[naɪs],[naɪs],adj. 精密的;美好的;细微的;和蔼的,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r013|meet,guangdong_start3,3年级上,3,上,13,meet,meet,[miːt],[miːt],vt. 满足;遇见;对付 vi. 相遇;接触 n. 集会 adj. 合适的;适宜的,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r014|you,guangdong_start3,3年级上,3,上,14,you,you,[ju],[juː; jə],pron. 你;你们,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r015|goodbye,guangdong_start3,3年级上,3,上,15,goodbye,goodbye,[ˌɡʊdˈbaɪ],[ˌɡʊdˈbaɪ],int. 再见 放弃 告别,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r016|bye,guangdong_start3,3年级上,3,上,16,bye,bye,[baɪ],[baɪ],n. 轮空;次要的东西 int. 再见 adj. 次要的,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r017|in,guangdong_start3,3年级上,3,上,17,in,in,[ɪn],[ɪn],prep. 按照(表示方式);从事于;在...之内 n. 执政者;门路;知情者 adj. 在里面的;时髦的 adv. 进入;当选;(服装,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r018|the,guangdong_start3,3年级上,3,上,18,the,the,[ðə],[ðə; ði; ðiː],"art. 这;那 adv. 更加(用于比较级,最高级前)",广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r019|classroom,guangdong_start3,3年级上,3,上,19,classroom,classroom,[ˈklɑːsruːm],[ˈklæsruːm; ˈklæsrʊm],n. 教室,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r020|this,guangdong_start3,3年级上,3,上,20,this,this,[ðɪs],[ðɪs],adj. 这;本;这个;今 pron. 这;这个;这里 adv. 这样地;这么,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r021|it,guangdong_start3,3年级上,3,上,21,it,it,[ɪt],[ɪt],abbr. 信息技术information technology abbr. 意大利Italy;意大利的Italian,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r022|a,guangdong_start3,3年级上,3,上,22,a,a,[ə],[ə; eɪ],n. 字母A;第一流的;学业成绩达最高标准的评价符号 abbr. [物]安(ampere),广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r023|book,guangdong_start3,3年级上,3,上,23,book,book,[bʊk],[bʊk],n. 书籍;卷;帐簿;名册;工作簿 vt. 预订;登记,广东版三年级起点三年级上.xlsx
guangdong_start3|g3-upper|r024|pencil,guangdong_start3,3年级上,3,上,24,pencil,pencil,[ˈpens(ə)l],[ˈpensl],n. 铅笔;笔状物 vt. 用铅笔写;用眉笔涂 vi. 成铅笔状,广东版三年级起点三年级上.xlsx
