NoteID,Word,UnassessedVocabulary,SupportStatus,AdmissionIsMastery
KV000001,book,bed read,unassessed,false
KV000002,ruler,draw line use,unassessed,false
KV000003,pencil,blue schoolbag,unassessed,false
KV000004,schoolbag,books,unassessed,false
KV000005,teacher,book english reading,unassessed,false
KV000006,I,dad school usually walk,unassessed,false
KV000007,have,class english monday,unassessed,false
KV000008,a,bird saw tree,unassessed,false
KV000009,an,bag orange,unassessed,false
KV000010,face,class pe red,unassessed,false
KV000011,ear,hurts left today,unassessed,false
KV000012,eye,close minute,unassessed,false
KV000013,nose,cold winter,unassessed,false
KV000014,mouth,open please,unassessed,false
KV000015,this,book interesting one,unassessed,false
KV000016,is,classroom floor second,unassessed,false
KV000017,my,bus go school sister,unassessed,false
KV000018,dog,ball outside playing,unassessed,false
KV000019,bird,sitting small tree,unassessed,false
KV000020,tiger,last saw sunday zoo,unassessed,false
KV000021,monkey,climbed quickly tree up,unassessed,false
KV000022,cat,afternoon chair sleeps,unassessed,false
KV000024,it,found pencil yours,unassessed,false
KV000025,one,apple left plate,unassessed,false
KV000026,two,classes english today,unassessed,false
KV000027,three,library reading students,unassessed,false
KV000028,four,big classroom windows,unassessed,false
KV000029,five,bus leaves o'clock,unassessed,false
KV000030,six,days get school up,unassessed,false
KV000031,seven,days week,unassessed,false
KV000032,eight,class first,unassessed,false
KV000033,nine,bed go,unassessed,false
KV000034,ten,club joined school students,unassessed,false
KV000035,how,books,unassessed,false
KV000036,many,apples,unassessed,false
KV000037,are,books two,unassessed,false
KV000038,there,cats three,unassessed,false
KV000039,black,desk schoolbag,unassessed,false
KV000040,yellow,next pencil ruler,unassessed,false
KV000041,blue,book put schoolbag,unassessed,false
KV000042,red,apple desk,unassessed,false
KV000043,green,box pencil,unassessed,false
KV000045,apple,eat lunch usually,unassessed,false
KV000046,pear,bought dad market,unassessed,false
KV000047,banana,box lunch put,unassessed,false
KV000048,orange,class pe shared,unassessed,false
KV000049,do,apples like,unassessed,false
KV000050,you,cats like,unassessed,false
KV000051,like,books days rainy reading,unassessed,false
KV000054,chair,schoolbag,unassessed,false
KV000055,desk,books class put,unassessed,false
KV000056,blackboard,english words,unassessed,false
KV000057,on,book desk english,unassessed,false
KV000058,under,cat chair sleeping,unassessed,false
KV000059,in,box pencils three,unassessed,false
KV000060,where,book desk put,unassessed,false
KV000061,the,book reading teacher,unassessed,false
KV000062,light,leave off please turn,unassessed,false
KV000063,bed,book read school,unassessed,false
KV000064,door,class close please,unassessed,false
KV000065,box,keep pencils,unassessed,false
KV000066,near,park school small,unassessed,false
KV000067,behind,cat door hiding,unassessed,false
KV000068,plane,beijing last summer went,unassessed,false
KV000069,ball,children outside playing,unassessed,false
