NoteID,CanonicalWord,Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,LearnerLevel,Sources,SourceBooks,Tags
KV000344,running,running,[ˈrʌnɪŋ],[ˈrʌnɪŋ],跑步,I like running after school.,我喜欢放学后跑步。,4,rj_start1,rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-new
KV000345,basketball,basketball,[ˈbɑːskɪtbɔːl],[ˈbæskɪtbɔːl],篮球,I play basketball after school.,我放学后打篮球。,4,rj_start1,rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-new
KV000346,roller skating,roller skating,,,轮滑；滑旱冰,We go roller skating on the weekend.,我们周末去轮滑。,4,rj_start1,rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-new
KV000347,jumping rope,jumping rope,,,跳绳,She is good at jumping rope.,她擅长跳绳。,4,rj_start1,rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-new
KV000348,ping-pong,ping-pong,[ˈpɪŋ pɒŋ],[ˈpɪŋ pɑːŋ],乒乓球,We play ping-pong after school.,我们放学后打乒乓球。,4,rj_start1,rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-new
KV000349,What about ...?,What about ...?,,,……怎么样？,What about basketball?,篮球怎么样？,4,rj_start1,rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-new
KV000350,interesting,interesting,[ˈɪntrəstɪŋ],[ˈɪntrəstɪŋ; ˈɪntrestɪŋ],有趣的,This film is more interesting than that one.,这部电影比那部更有趣。,4,rj_start1,rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-new
KV000351,often,often,[ˈɒf(ə)n],[ˈɔːf(ə)n],经常；常常,I often play basketball.,我经常打篮球。,4,rj_start1,rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-new
KV000352,be good at,be good at,,,擅长,He is good at swimming.,他擅长游泳。,4,rj_start1,rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-new
KV000353,late,late,[leɪt],[leɪt],迟到的；晚的,Don't be late for school.,上学不要迟到。,4,rj_start1,rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-new
