Unit,Order,Starred,Entry,Meaning,Page,SourceStatus
1,1,yes,sorry,对不起,4,observed-from-klose-textbook
1,2,no,hurry up,快点；赶快,4,observed-from-klose-textbook
1,3,yes,late,迟到；迟发生,4,observed-from-klose-textbook
1,4,yes,class,课；课程；班；班级,4,observed-from-klose-textbook
1,5,no,ready,准备好,4,observed-from-klose-textbook
1,6,no,rule,规则；规章,5,observed-from-klose-textbook
1,7,yes,classroom,教室,5,observed-from-klose-textbook
1,8,no,turn off,关掉,5,observed-from-klose-textbook
1,9,yes,light,灯；光,5,observed-from-klose-textbook
1,10,yes,blackboard,黑板,7,observed-from-klose-textbook
1,11,yes,desk,书桌；办公桌,7,observed-from-klose-textbook
1,12,yes,chair,椅子,7,observed-from-klose-textbook
1,13,yes,tidy,整洁的；整齐的；使整洁；整理,7,observed-from-klose-textbook
1,14,yes,music,音乐,8,observed-from-klose-textbook
1,15,yes,door,门,8,observed-from-klose-textbook
1,16,yes,window,窗,8,observed-from-klose-textbook
1,17,yes,fan,风扇,8,observed-from-klose-textbook
1,18,yes,when,当……时；什么时候,9,observed-from-klose-textbook
1,19,no,understand,懂；理解,9,observed-from-klose-textbook
1,20,yes,wall,墙；壁,9,observed-from-klose-textbook
1,21,no,newspaper,报纸,9,observed-from-klose-textbook
1,22,no,hand out,分发,9,observed-from-klose-textbook
1,23,no,workbook,练习册；作业本,9,observed-from-klose-textbook
2,1,yes,watch,看,16,observed-from-klose-textbook
2,2,yes,TV,电视,16,observed-from-klose-textbook
2,3,no,homework,家庭作业,16,observed-from-klose-textbook
2,4,no,first,首先；首次；第一,16,observed-from-klose-textbook
2,5,no,wet,湿的；未干的,16,observed-from-klose-textbook
2,6,yes,run,跑；奔跑,16,observed-from-klose-textbook
2,7,no,living room,客厅；起居室,16,observed-from-klose-textbook
2,8,yes,safe,安全的,16,observed-from-klose-textbook
2,9,yes,word,言语；单词；字,17,observed-from-klose-textbook
2,10,yes,wash,洗,17,observed-from-klose-textbook
2,11,yes,helpful,有帮助的；有用的,17,observed-from-klose-textbook
2,12,no,loud,说话太大声的；吵闹的,19,observed-from-klose-textbook
2,13,yes,sleep,睡觉,19,observed-from-klose-textbook
2,14,no,bedroom,卧室,19,observed-from-klose-textbook
2,15,yes,kitchen,厨房,19,observed-from-klose-textbook
2,16,yes,study,书房,20,observed-from-klose-textbook
2,17,no,bathroom,浴室；洗手间,20,observed-from-klose-textbook
2,18,yes,think,想；思考,21,observed-from-klose-textbook
2,19,yes,work,（花费时间和精力）做（某事）；工作,21,observed-from-klose-textbook
2,20,yes,hard,努力地；费力地,21,observed-from-klose-textbook
2,21,no,follow,听从；遵循，听从（忠告、指示等）,21,observed-from-klose-textbook
2,22,yes,feel,觉得；感到,21,observed-from-klose-textbook
3,1,yes,over,结束（的）,28,observed-from-klose-textbook
3,2,yes,kid,小孩,28,observed-from-klose-textbook
3,3,yes,dinner,（中午或晚上吃的）正餐,29,observed-from-klose-textbook
3,4,yes,art,美术；艺术,29,observed-from-klose-textbook
3,5,yes,lunch,午餐,29,observed-from-klose-textbook
3,6,yes,maths,数学,29,observed-from-klose-textbook
3,7,no,get up,起床,31,observed-from-klose-textbook
3,8,no,go to school,上学,31,observed-from-klose-textbook
3,9,no,go home,回家,32,observed-from-klose-textbook
3,10,no,go to bed,上床睡觉,32,observed-from-klose-textbook
3,11,yes,want,想要,33,observed-from-klose-textbook
3,12,yes,clock,时钟,33,observed-from-klose-textbook
