SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
cambridge_join_start3|g3-upper|r002|and,cambridge_join_start3,3年级上,3,上,2,and,and,[ənd],[ənd; ən; n; ænd],"conj. 和,与;就;而且;但是;然后",JOIN版剑桥小学英语三年级上册.xlsx
cambridge_join_start3|g3-upper|r003|are,cambridge_join_start3,3年级上,3,上,3,are,are,[ɑ:(r)],[ər; ɑːr; er],v. 是(be的第二人称单复数现在式) n. 公亩,JOIN版剑桥小学英语三年级上册.xlsx
cambridge_join_start3|g3-upper|r004|begin,cambridge_join_start3,3年级上,3,上,4,begin,begin,[bɪˈɡɪn],[bɪˈɡɪn],vi. 开始;首先 vt. 开始,JOIN版剑桥小学英语三年级上册.xlsx
cambridge_join_start3|g3-upper|r005|child,cambridge_join_start3,3年级上,3,上,5,child,child,[tʃaɪld],[tʃaɪld],"n. 儿童,小孩,孩子;产物;子孙;幼稚的人;弟子",JOIN版剑桥小学英语三年级上册.xlsx
cambridge_join_start3|g3-upper|r006|children,cambridge_join_start3,3年级上,3,上,6,children,children,[ˈtʃɪldrən],[ˈtʃɪldrən],n. 孩子们(child的复数),JOIN版剑桥小学英语三年级上册.xlsx
cambridge_join_start3|g3-upper|r007|colour,cambridge_join_start3,3年级上,3,上,7,colour,colour,[ˈkʌlə(r)],[ˈkʌlər],"n. 颜色;风格;气色,面色;外貌 vt. 把...涂颜色,粉饰;歪曲;使脸红 vi. 变色",JOIN版剑桥小学英语三年级上册.xlsx
cambridge_join_start3|g3-upper|r008|come,cambridge_join_start3,3年级上,3,上,8,come,come,[kʌm],[kʌm],vi. 来;开始;出现;发生;变成;到达 vt. 做;假装;将满(...岁) int. 嗨!,JOIN版剑桥小学英语三年级上册.xlsx
cambridge_join_start3|g3-upper|r009|come on,cambridge_join_start3,3年级上,3,上,9,come on,come on,,,"na. (演员)出台;进行(很好);(暴风雨等)起;(病,苦痛等)加深",JOIN版剑桥小学英语三年级上册.xlsx
cambridge_join_start3|g3-upper|r010|draw,cambridge_join_start3,3年级上,3,上,10,draw,draw,[drɔː],[drɔː],n. 平局;抽签 vi. 拉;拖 vt. 画;拉;吸引,JOIN版剑桥小学英语三年级上册.xlsx
cambridge_join_start3|g3-upper|r011|easy,cambridge_join_start3,3年级上,3,上,11,easy,easy,[ˈiːzi],[ˈiːzi],"adj. 容易的;舒适的 vt. 发出停划命令 adv. 不费力地,从容地 vi. 停止划桨",JOIN版剑桥小学英语三年级上册.xlsx
