NoteID,ReviewLane,RiskReasons,CanonicalWord,SenseLabel,MeaningPrimary,ExampleSentence,ExampleTranslation,PresentationStatus,PresentationSource
KV000096,released-invalidated,,socks,袜子,,I can't find my blue socks this morning.,今天早上我找不到我的蓝色袜子。,grade4-reviewed,klose:grade4_full_review_a
KV000142,released-invalidated,,Father Christmas,圣诞老人,,Father Christmas puts presents under the tree.,圣诞老人把礼物放在树下。,grade4-reviewed,klose:grade4_full_review_a
KV000146,released-invalidated,,New Year,新年,,Happy New Year!,新年快乐！,migrated-curated,rj_start1:curation
KV000153,released-invalidated,,play football,踢足球,,I play football after school.,我放学后踢足球。,migrated-curated,rj_start1:curation
KV000154,released-invalidated,long-example,fly a kite,放风筝,,We often fly a kite in the park on windy days.,有风的日子我们经常在公园放风筝。,grade4-reviewed,klose:grade4_full_review_b
KV000155,released-invalidated,,ride a bike,骑自行车,,I often ride a bike in the park after school.,我放学后经常在公园骑自行车。,grade4-reviewed,klose:grade4_overrides
KV000156,released-invalidated,,make a model plane,做飞机模型,,I make a model plane with my friend after school.,放学后我和朋友一起做飞机模型。,grade4-reviewed,klose:grade4_full_review_b
KV000174,released-invalidated,,warm,暖和的,,The weather gets warm in spring.,春天天气变暖。,grade4-reviewed,klose:grade4_overrides
KV000198,released-invalidated,,every day,每天,,I read English for ten minutes every day.,我每天读十分钟英语。,grade4-reviewed,klose:grade4_full_review_b
KV000240,released-invalidated,,shopping list,购物清单,,Milk and eggs are on my shopping list.,牛奶和鸡蛋在我的购物清单上。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000256,released-invalidated,,shoes,鞋,,My shoes are dirty after playing football.,踢完足球后我的鞋脏了。,grade4-reviewed,klose:grade4_full_review_b
KV000259,released-invalidated,,gloves,手套,,I wear gloves when it is cold.,天气冷的时候我戴手套。,grade4-reviewed,klose:grade4_full_review_b
KV000265,released-invalidated,,look forward to,期待；盼望,,I look forward to my birthday.,我期待我的生日。,migrated-curated,rj_start1:curation
KV000289,released-invalidated,,computer class,计算机课,,We use computers in computer class.,我们在计算机课上使用电脑。,grade4-reviewed,klose:grade4_full_review_b
KV000302,released-invalidated,,after school,放学后,,I play sports after school.,我放学后做运动。,migrated-curated,rj_start1:curation
KV000304,released-invalidated,,draw pictures,画画,,I draw pictures after school with my friends.,我放学后和朋友们一起画画。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000306,released-invalidated,,sing songs,唱歌,,We sing English songs in music class.,我们在音乐课上唱英文歌。,grade4-reviewed,klose:grade4_full_review_b
KV000311,released-invalidated,,be back,回来,,I will be back soon.,我很快回来。,migrated-curated,rj_start1:curation
KV000331,released-invalidated,,in one hour,一小时后,,I will be back in one hour.,我一小时后回来。,migrated-curated,rj_start1:curation
KV000332,released-invalidated,,everyone,每个人；大家,,Everyone in our class likes the new book.,我们班每个人都喜欢这本新书。,grade4-reviewed,klose:grade4_full_review_b
KV000333,released-invalidated,,children,孩子们,,The children are playing football in the park.,孩子们正在公园里踢足球。,grade4-reviewed,klose:grade4_full_review_b
KV000339,released-invalidated,,dining room,餐厅；饭厅,,We eat dinner in the dining room.,我们在餐厅吃晚饭。,migrated-curated,rj_start1:curation
KV000342,released-invalidated,,for rent,出租,,This room is for rent.,这个房间出租。,migrated-curated,rj_start1:curation
KV000346,released-invalidated,,roller skating,轮滑；滑旱冰,,We go roller skating on the weekend.,我们周末去轮滑。,grade4-reviewed,klose:grade4_full_review_c
KV000352,released-invalidated,,be good at,擅长,,He is good at swimming.,他擅长游泳。,migrated-curated,rj_start1:curation
KV000354,released-invalidated,,visit one's grandparents,看望祖父母或外祖父母,,I visit my grandparents on Sunday.,我星期日去看望祖父母。,migrated-curated,rj_start1:curation
KV000355,released-invalidated,,go to a drawing club,参加绘画俱乐部,,I go to a drawing club.,我参加绘画俱乐部。,migrated-curated,rj_start1:curation
KV000356,released-invalidated,,climb a hill,爬山；爬小山,,We climb a hill on Sunday.,我们星期日爬山。,migrated-curated,rj_start1:curation
KV000357,released-invalidated,,pick fruit,摘水果,,We pick fruit in autumn.,我们秋天摘水果。,migrated-curated,rj_start1:curation
KV000358,released-invalidated,,play computer games,玩电脑游戏,,I play computer games on Saturday.,我星期六玩电脑游戏。,migrated-curated,rj_start1:curation
KV000360,released-invalidated,,go to the cinema,去电影院；看电影,,We go to the cinema on the weekend.,我们周末去电影院看电影。,grade4-reviewed,klose:grade4_full_review_c
KV000361,released-invalidated,,on the weekend,在周末,,I play sports on the weekend.,我周末做运动。,migrated-curated,rj_start1:curation
KV000375,released-invalidated,,by bus,乘公交车,,I go to school by bus.,我乘公交车上学。,migrated-curated,rj_start1:curation
KV000376,released-invalidated,,by boat,乘小船；乘船,,We go there by boat.,我们乘小船去那里。,migrated-curated,rj_start1:curation
KV000377,released-invalidated,,by ship,乘轮船；乘船,,We travel by ship in summer.,我们夏天乘船旅行。,grade4-reviewed,klose:grade4_full_review_c
KV000378,released-invalidated,,by car,乘汽车,,My family goes to the park by car.,我们一家坐汽车去公园。,grade4-reviewed,klose:grade4_full_review_c
KV000379,released-invalidated,,by taxi,乘出租车,,We go to the station by taxi.,我们坐出租车去车站。,grade4-reviewed,klose:grade4_full_review_c
KV000380,released-invalidated,,by bike,骑自行车,,I go to school by bike.,我骑自行车上学。,migrated-curated,rj_start1:curation
KV000381,released-invalidated,,on foot,步行,,I go to school on foot.,我步行上学。,migrated-curated,rj_start1:curation
KV000382,released-invalidated,,by school bus,乘校车,,She goes to school by school bus.,她乘校车上学。,migrated-curated,rj_start1:curation
KV000383,released-invalidated,,by subway,乘地铁,,We go to the museum by subway.,我们坐地铁去博物馆。,grade4-reviewed,klose:grade4_full_review_c
KV000384,released-invalidated,,by plane,乘飞机,,We travel by plane in summer.,我们夏天乘飞机旅行。,grade4-reviewed,klose:grade4_full_review_c
KV000385,released-invalidated,,by train,乘火车,,We go to the city by train.,我们乘火车去这座城市。,grade4-reviewed,klose:grade4_full_review_c
KV000401,released-invalidated,,glue stick,胶棒,,I need a glue stick.,我需要一支胶棒。,migrated-curated,rj_start1:curation
KV000406,released-invalidated,,Information Centre,信息中心,,Let's ask at the Information Centre.,我们去信息中心问问。,migrated-curated,rj_start1:curation
KV000414,released-invalidated,,play with fire,玩火,,Don't play with fire.,不要玩火。,migrated-curated,rj_start1:curation
KV000416,released-invalidated,,run down the stairs,跑下楼梯,,Don't run down the stairs.,不要跑下楼梯。,migrated-curated,rj_start1:curation
KV000418,released-invalidated,,wait for,等待,,Wait for the green light.,等绿灯。,migrated-curated,rj_start1:curation
KV000422,released-invalidated,,safety rule,安全规则,,Follow the safety rules.,遵守安全规则。,migrated-curated,rj_start1:curation
KV000426,released-invalidated,,bus driver,公交车司机,,The bus driver stops at the red light.,公交车司机在红灯前停车。,grade4-reviewed,klose:grade4_full_review_c
KV000428,released-invalidated,,taxi driver,出租车司机,,My father is a taxi driver.,我爸爸是出租车司机。,migrated-curated,rj_start1:curation
KV000431,released-invalidated,,in the future,将来；未来,,I want to be a doctor in the future.,我将来想当医生。,migrated-curated,rj_start1:curation
KV000440,released-invalidated,,across from,在……对面,,The bank is across from the hotel.,银行在酒店对面。,migrated-curated,rj_start1:curation
KV000441,released-invalidated,,next to,紧挨着；在……旁边,,The post office is next to the bank.,邮局在银行旁边。,migrated-curated,rj_start1:curation
KV000448,released-invalidated,,turn right,向右转,,Turn right at the bank.,在银行那里向右转。,migrated-curated,rj_start1:curation
KV000449,released-invalidated,,go straight,直走,,Go straight and turn left.,直走然后左转。,migrated-curated,rj_start1:curation
KV000455,released-invalidated,,get to,到达,,How can I get to the bank?,我怎样到银行？,migrated-curated,rj_start1:curation
KV000460,released-invalidated,,sports centre,体育中心,,We play basketball at the sports centre.,我们在体育中心打篮球。,migrated-curated,rj_start1:curation
KV000463,released-invalidated,,buy toys,买玩具,,We buy toys at the shop.,我们在商店买玩具。,migrated-curated,rj_start1:curation
KV000464,released-invalidated,,see a film,看电影,,We see a film at the cinema.,我们在电影院看电影。,migrated-curated,rj_start1:curation
KV000465,released-invalidated,,go boating,去划船,,We go boating on the lake.,我们在湖上划船。,migrated-curated,rj_start1:curation
KV000474,released-invalidated,,take photos,拍照,,We take photos at the Great Wall.,我们在长城拍照。,migrated-curated,rj_start1:curation
KV000479,released-invalidated,,eat seafood,吃海鲜,,We eat seafood by the sea.,我们在海边吃海鲜。,migrated-curated,rj_start1:curation
KV000480,released-invalidated,,visit the Mogao Caves,参观莫高窟,,We visit the Mogao Caves.,我们参观莫高窟。,migrated-curated,rj_start1:curation
KV000481,released-invalidated,,West Lake,西湖,,West Lake is beautiful.,西湖很美。,migrated-curated,rj_start1:curation
KV000482,released-invalidated,,row a boat,划船,,We row a boat on West Lake.,我们在西湖划船。,migrated-curated,rj_start1:curation
KV000484,released-invalidated,,summer vacation,暑假,,We often travel during the summer vacation.,我们暑假经常去旅行。,grade4-reviewed,klose:grade4_full_review_c
