NoteID,Word,British,American,MeaningPrimary,FactStatus,FactSource
KV000803,office worker,[ˈɒfɪs ˌwɜːkə(r)],[ˈɑːfɪs ˌwɜːrkər],公司职员,model-curated,klose-actual-grade4
KV000804,factory worker,[ˈfæktəri ˌwɜːkə(r)],[ˈfæktəri ˌwɜːrkər],工厂工人,model-curated,klose-actual-grade4
KV000805,cook,[kʊk],[kʊk],烹饪；煮,model-curated,klose-actual-grade4
KV000806,clean,[kliːn],[kliːn],打扫；干净的,model-curated,klose-actual-grade4
KV000807,look after,[lʊk ˈɑːftə(r)],[lʊk ˈæftər],照顾,model-curated,klose-actual-grade4
KV000808,sweep,[swiːp],[swiːp],扫,model-curated,klose-actual-grade4
KV000809,strong,[strɒŋ],[strɔːŋ],强壮的,model-curated,klose-actual-grade4
KV000810,kind,[kaɪnd],[kaɪnd],友好的,model-curated,klose-actual-grade4
KV000811,best,[best],[best],最好的,model-curated,klose-actual-grade4
KV000812,read,[riːd],[riːd],阅读,model-curated,klose-actual-grade4
KV000813,play,[pleɪ],[pleɪ],玩耍,model-curated,klose-actual-grade4
KV000814,game,[ɡeɪm],[ɡeɪm],游戏,model-curated,klose-actual-grade4
KV000815,football,[ˈfʊtbɔːl],[ˈfʊtbɔːl],足球运动,model-curated,klose-actual-grade4
KV000816,over,[ˈəʊvə(r)],[ˈoʊvər],在……的远端（或对面）,model-curated,klose-actual-grade4
KV000817,bus stop,[ˈbʌs stɒp],[ˈbʌs stɑːp],公共汽车站,model-curated,klose-actual-grade4
KV000818,sport,[spɔːt],[spɔːrt],体育运动,model-curated,klose-actual-grade4
KV000819,walk,[wɔːk],[wɔːk],散步；行走,model-curated,klose-actual-grade4
KV000820,community,[kəˈmjuːnəti],[kəˈmjuːnəti],社区,model-curated,klose-actual-grade4
KV000821,photo,[ˈfəʊtəʊ],[ˈfoʊtoʊ],照片,model-curated,klose-actual-grade4
KV000822,firefighter,[ˈfaɪəˌfaɪtə(r)],[ˈfaɪərˌfaɪtər],消防队员,model-curated,klose-actual-grade4
KV000823,driver,[ˈdraɪvə(r)],[ˈdraɪvər],司机,model-curated,klose-actual-grade4
KV000824,cleaner,[ˈkliːnə(r)],[ˈkliːnər],清洁工,model-curated,klose-actual-grade4
KV000825,delivery worker,[dɪˈlɪvəri ˌwɜːkə(r)],[dɪˈlɪvəri ˌwɜːrkər],快递员,model-curated,klose-actual-grade4
KV000826,now,[naʊ],[naʊ],现在,model-curated,klose-actual-grade4
KV000827,tell,[tel],[tel],讲述；告诉,model-curated,klose-actual-grade4
KV000828,Ms,[mɪz],[mɪz],女士,model-curated,klose-actual-grade4
KV000829,rain,[reɪn],[reɪn],下雨；雨,model-curated,klose-actual-grade4
