DecisionKey,ProvisionalIdentityKey,StageACheckpointFingerprint,CandidateFingerprint,Action,ExistingNoteID,ProposedCanonicalWord,ProposedMatchKey,ProposedSense,Status,Confidence,MutationAuthorized,DecisionBasis,Rationale
reconcile:foot,candidate:foot,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,bad067c3bacc837cacd9764ec5d132c00e0dee3e9e48fdc882c1a2a92050c3c3,reuse-existing,KV000221,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party foot learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:football,candidate:football,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,eb87071842914e642f52be499c35199947b15019de48b5f6527ec54d273b610c,reuse-existing,KV000815,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party football learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:for,candidate:for,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,e8eeddef5585b4629a29d3ec34387710ba0799d1d4441075694ef938c9e15f42,reuse-existing,KV000150,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party for learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:for rent,candidate:for rent,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,a12f172ea827c2b5e5c9c24132328da0d3b4699e20b826d48fb7414c9096be57,reuse-existing,KV000342,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party for rent learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:fork,candidate:fork,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,058c7a4747bdac8ae49633194c63448a8c2f9fb0bad5c7f6b87f739601ba0478,reuse-existing,KV000891,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party fork learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:friendly,candidate:friendly,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,fd934fc1361e7f4ee00572a7bbdd0577a21cc8a298448c95490d7ea6b420bffc,reuse-existing,KV000523,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party friendly learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:fun,candidate:fun,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,602e4d915d05cd7faf4340a0f72840773e3bad2a5dd85626956a3df6be9b697d,held,,,,,held,high,no,current-klose-boundary-broader-or-mixed,"Third-party fun is noun-like 乐趣；有趣的事, while the current Klose sense mixes 乐趣 and 有趣; keep held rather than silently collapse noun/adjectival boundaries."
reconcile:game,candidate:game,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,83e9bcc87c83b3e922ddcb4b501915cd5a0a42cb7175c391e989523819e104d7,held,,,,,held,high,no,third-party-sense-broader-than-current,"Third-party game covers 游戏；比赛 while KV000814 is currently 游戏; keep held because 比赛 may require a distinct learner sense."
reconcile:garden,candidate:garden,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,f19b4c2e64f53957cfa0e211687b1606d048179fa1a37362697c84b63ccfcc6d,reuse-existing,KV000386,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party garden learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:gate,candidate:gate,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,5932e892483ae76250604badc84a9a291bfb36a8e55cc9de04da967b99cb1cf1,reuse-existing,KV000388,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party gate learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
