ProvisionalIdentityKey,OccurrenceKeys,OccurrenceCount,GradeSemesters,Units,Pages,Entry,Meaning,MatchKey,SourceMeaningVariants,SourceSurfaceMultiplicity,CandidateClass,ExistingNoteCount,ExistingCandidates,VariantCandidates,MorphologyLemma,MorphologyFormType,ReviewStatus,Decision,DecisionNoteID,Rationale
G56V0001,grade5-lower-u03-o014|a few,1,5下,5下-U3,5下-p24,a few,一些,a few,1,no,no-exact-match,0,,,,,pending,,,
G56V0002,grade5-lower-u01-o019|a.m.,1,5下,5下-U1,5下-p5,a.m.,午前；上午,a.m.,1,no,no-exact-match,0,,,,,pending,,,
G56V0003,grade5-lower-u03-o032|act,1,5下,5下-U3,5下-p29,act,扮演,act,1,no,no-exact-match,0,,,,,pending,,,
G56V0004,grade5-lower-u03-o033|act out,1,5下,5下-U3,5下-p29,act out,表演出来,act out,1,no,no-exact-match,0,,,,,pending,,,
G56V0005,grade6-lower-u04-o014|active,1,6下,6下-U4,6下-p36,active,积极的；活跃的,active,1,no,exact-single,1,KV000525::active::活跃的；积极的,,,,pending,,,
G56V0006,grade6-upper-u03-o018|add,1,6上,6上-U3,6上-p32,add,补充说；增加,add,1,no,no-exact-match,0,,,,,pending,,,
G56V0007,grade5-upper-u02-o012|afraid,1,5上,5上-U2,5上-p19,afraid,担心；害怕,afraid,1,no,no-exact-match,0,,,,,pending,,,
G56V0008,grade5-lower-u01-o014|after,1,5下,5下-U1,5下-p4,after,在（时间）后,after,1,no,no-exact-match,0,,,,,pending,,,
G56V0009,grade6-lower-u04-o004|ago,1,6下,6下-U4,6下-p35,ago,以前,ago,1,no,no-exact-match,0,,,,,pending,,,
G56V0010,grade5-upper-u02-o005|agree,1,5上,5上-U2,5上-p16,agree,同意；赞成,agree,1,no,no-exact-match,0,,,,,pending,,,
G56V0011,grade6-upper-u06-o018|air conditioner,1,6上,6上-U6,6上-p67,air conditioner,空调机,air conditioner,1,no,no-exact-match,0,,,,,pending,,,
G56V0012,grade6-upper-u01-o019|airport,1,6上,6上-U1,6上-p8,airport,机场,airport,1,no,exact-single,1,KV000767::airport::机场,,,,pending,,,
G56V0013,grade6-upper-u05-o015|alien,1,6上,6上-U5,6上-p54,alien,外星生物,alien,1,no,no-exact-match,0,,,,,pending,,,
G56V0014,grade5-lower-u02-o019|all,1,5下,5下-U2,5下-p19,all,全；完全,all,1,no,exact-single,1,KV000528::all::全部；所有,,,,pending,,,
G56V0015,grade5-lower-u01-o026|also,1,5下,5下-U1,5下-p7,also,还；也,also,1,no,exact-single,1,KV000561::also::也；还,,,,pending,,,
G56V0016,grade5-lower-u01-o033|always,1,5下,5下-U1,5下-p9,always,总是；一直,always,1,no,exact-single,1,KV000363::always::总是,,,,pending,,,
G56V0017,grade5-lower-u03-o027|american,1,5下,5下-U3,5下-p28,American,美国的,american,1,no,exact-single,1,KV000745::American::美国的；美国人,,,,pending,,,
G56V0018,grade5-upper-u02-o011|angry,1,5上,5上-U2,5上-p17,angry,愤怒的；生气的,angry,1,no,exact-single,1,KV000730::angry::生气的,,,,pending,,,
G56V0019,grade6-upper-u03-o012|another,1,6上,6上-U3,6上-p32,another,另一个；不同的（人或事物）,another,1,no,no-exact-match,0,,,,,pending,,,
G56V0020,grade5-upper-u03-o016|answer,1,5上,5上-U3,5上-p33,answer,答复；回答,answer,1,no,no-exact-match,0,,,,,pending,,,
G56V0021,grade5-lower-u06-o015|anything,1,5下,5下-U6,5下-p61,anything,任何事物,anything,1,no,no-exact-match,0,,,,,pending,,,
G56V0022,grade5-lower-u03-o004|april,1,5下,5下-U3,5下-p25,April,四月,april,1,no,exact-single,1,KV000269::April::四月,,,,pending,,,
G56V0023,grade6-upper-u02-o006|as,1,6上,6上-U2,6上-p18,as,作为,as,1,no,no-exact-match,0,,,,,pending,,,
G56V0024,grade5-upper-u02-o014|ask,1,5上,5上-U2,5上-p20,ask,问；询问,ask,1,no,no-exact-match,0,,,,,pending,,,
G56V0025,grade6-upper-u05-o020|astronaut,1,6上,6上-U5,6上-p55,astronaut,航天员；宇航员,astronaut,1,no,no-exact-match,0,,,,,pending,,,
G56V0026,grade6-lower-u03-o008|ate,1,6下,6下-U3,6下-p27,ate,（eat 的过去式）吃,ate,1,no,morphology-only,0,,,eat,verb_past,pending,,,
G56V0027,grade5-lower-u03-o008|august,1,5下,5下-U3,5下-p28,August,八月,august,1,no,exact-single,1,KV000273::August::八月,,,,pending,,,
G56V0028,grade5-upper-u01-o018|australia,1,5上,5上-U1,5上-p4,Australia,澳大利亚,australia,1,no,exact-single,1,KV000508::Australia::澳大利亚,,,,pending,,,
G56V0029,grade5-lower-u02-o003|autumn,1,5下,5下-U2,5下-p15,autumn,秋天,autumn,1,no,exact-single,1,KV000171::autumn::秋天,,,,pending,,,
G56V0030,grade6-lower-u04-o008|badminton,1,6下,6下-U4,6下-p37,badminton,羽毛球运动,badminton,1,no,exact-single,1,KV000641::badminton::羽毛球,,,,pending,,,
G56V0031,grade6-upper-u01-o016|bamboo,1,6上,6上-U1,6上-p8,bamboo,竹；竹子,bamboo,2,yes,no-exact-match,0,,,,,pending,,,
G56V0032,grade5-lower-u06-o012|bamboo,1,5下,5下-U6,5下-p58,bamboo,竹子,bamboo,2,yes,no-exact-match,0,,,,,pending,,,
G56V0033,grade6-lower-u03-o020|basket,1,6下,6下-U3,6下-p28,basket,篮；筐,basket,1,no,no-exact-match,0,,,,,pending,,,
G56V0034,grade6-lower-u03-o019|beach,1,6下,6下-U3,6下-p26,beach,海滩；沙滩,beach,1,no,no-exact-match,0,,,,,pending,,,
G56V0035,grade5-upper-u03-o005|because || grade5-lower-u02-o017|because,2,5上|5下,5上-U3|5下-U2,5上-p28|5下-p17,because,因为,because,1,no,exact-single,1,KV000737::because::因为,,,,pending,,,
G56V0036,grade6-lower-u01-o021|become,1,6下,6下-U1,6下-p8,become,开始变得；变成,become,1,no,no-exact-match,0,,,,,pending,,,
G56V0037,grade5-upper-u05-o002|beef,1,5上,5上-U5,5上-p52,beef,牛肉,beef,1,no,no-exact-match,0,,,,,pending,,,
G56V0038,grade5-upper-u06-o021|before || grade6-lower-u02-o012|before,2,5上|6下,5上-U6|6下-U2,5上-p69|6下-p17,before,在……之前,before,1,no,exact-single,1,KV000456::before::在……之前,,,,pending,,,
G56V0039,grade6-upper-u02-o021|begin,1,6上,6上-U2,6上-p20,begin,（过去式 began）开始,begin,1,no,no-exact-match,0,,,,,pending,,,
G56V0040,grade5-lower-u02-o014|best,1,5下,5下-U2,5下-p14,best,最；最高程度地,best,1,no,exact-single,1,KV000811::best::最好的,,,,pending,,,
G56V0041,grade6-lower-u02-o016|better,1,6下,6下-U2,6下-p16,better,（well 的比较级）更好的,better,2,yes,morphology-only,0,,,well,comparative,pending,,,
G56V0042,grade6-upper-u03-o020|better,1,6上,6上-U3,6上-p32,better,舒服些的；（病势）好转的,better,2,yes,no-exact-match,0,,,,,pending,,,
G56V0043,grade6-lower-u01-o008|bigger,1,6下,6下-U1,6下-p7,bigger,（big 的比较级）更大的,bigger,1,no,morphology-only,0,,,big,comparative,pending,,,
G56V0044,grade6-upper-u02-o010|book fair,1,6上,6上-U2,6上-p18,book fair,书市,book fair,1,no,no-exact-match,0,,,,,pending,,,
