NoteID,CanonicalWord,SenseLabel,LookupKeys,Reason,Evidence
KV000940,take care of,爱护；照顾,take care of,no-exact-ipa-in-repo,
KV000952,stem,（花草的）茎；（花或叶的）梗，柄,stem,no-exact-ipa-in-repo,
KV000970,flood,洪水；水灾,flood,no-exact-ipa-in-repo,
KV000972,go hiking,徒步旅行,go hiking,no-exact-ipa-in-repo,
KV000973,do morning exercises,做早操,do morning exercises,no-exact-ipa-in-repo,
KV000975,go for a walk,散步,go for a walk,no-exact-ipa-in-repo,
KV000976,go shopping,去买东西；购物,go shopping,no-exact-ipa-in-repo,
KV000978,take a dancing class,上舞蹈课,take a dancing class,no-exact-ipa-in-repo,
KV000989,go swimming,去游泳,go swimming,no-exact-ipa-in-repo,
KV000991,go on a picnic,去野餐,go on a picnic,no-exact-ipa-in-repo,
KV000992,pick apples,摘苹果,pick apples,no-exact-ipa-in-repo,
KV000997,a few,一些,a few,no-exact-ipa-in-repo,
KV000998,sports meet,运动会,sports meet,no-exact-ipa-in-repo,
KV001001,Labour Day,劳动节,labour day,no-exact-ipa-in-repo,
KV001003,riddle,谜；谜语,riddle,no-exact-ipa-in-repo,
KV001005,act out,表演出来,act out,no-exact-ipa-in-repo,
KV001011,twenty-third (23rd),第二十三（的）,twenty-third (23rd)|twenty-third,no-exact-ipa-in-repo,
KV001027,each other,相互,each other,no-exact-ipa-in-repo,
KV001032,keep to the right,靠右,keep to the right,no-exact-ipa-in-repo,
KV001033,keep your desk clean,保持你的课桌干净,keep your desk clean,no-exact-ipa-in-repo,
KV001034,talk quietly,小声讲话,talk quietly,no-exact-ipa-in-repo,
KV001036,take turns,按顺序来,take turns,no-exact-ipa-in-repo,
KV001042,have a look,看一看,have a look,no-exact-ipa-in-repo,
KV001048,gingerbread house,姜饼屋,gingerbread house,no-exact-ipa-in-repo,
KV001056,view,景色,view,no-exact-ipa-in-repo,
KV001057,inspiring,鼓舞人心的,inspiring,no-exact-ipa-in-repo,
KV001058,pumpkin,南瓜,pumpkin,no-exact-ipa-in-repo,
KV001059,New Zealand,新西兰,new zealand,no-exact-ipa-in-repo,
KV001060,Hong Kong-Zhuhai-Macao Bridge,港珠澳大桥,hong kong-zhuhai-macao bridge,no-exact-ipa-in-repo,
KV001062,Eiffel Tower,埃菲尔铁塔,eiffel tower,no-exact-ipa-in-repo,
KV001063,Terracotta Warriors,兵马俑,terracotta warriors,no-exact-ipa-in-repo,
KV001064,Jinggangshan Revolution Museum,井冈山革命博物馆,jinggangshan revolution museum,no-exact-ipa-in-repo,
KV001065,the Red Army,红军,the red army,no-exact-ipa-in-repo,
KV001066,paste,粘贴,paste,no-exact-ipa-in-repo,
KV001068,gala,演出；庆典,gala,no-exact-ipa-in-repo,
KV001069,count down,倒计时,count down,no-exact-ipa-in-repo,
KV001070,marathon,马拉松赛跑,marathon,no-exact-ipa-in-repo,
KV001073,book fair,书市,book fair,no-exact-ipa-in-repo,
KV001080,judge,裁判,judge,no-exact-ipa-in-repo,
KV001086,runny nose,流鼻涕,runny nose,no-exact-ipa-in-repo,
KV001091,stay up,熬夜,stay up,no-exact-ipa-in-repo,
KV001098,pocket money,零花钱,pocket money,no-exact-ipa-in-repo,
KV001099,goods,商品,goods,no-exact-ipa-in-repo,
KV001100,service,服务,service,no-exact-ipa-in-repo,
KV001101,haircut,理发；发型,haircut,no-exact-ipa-in-repo,
KV001102,microscope,显微镜,microscope,no-exact-ipa-in-repo,
KV001105,save up,攒钱,save up,no-exact-ipa-in-repo,
KV001108,manage,管理,manage,no-exact-ipa-in-repo,
KV001110,jar,罐子,jar,no-exact-ipa-in-repo,
KV001113,daytime,白天,daytime,no-exact-ipa-in-repo,
KV001117,outer space,外太空,outer space,no-exact-ipa-in-repo,
KV001118,space station,空间站,space station,no-exact-ipa-in-repo,
KV001120,marble,（玻璃）弹子,marble,no-exact-ipa-in-repo,
KV001121,satellite,人造卫星,satellite,no-exact-ipa-in-repo,
KV001122,soil,土壤,soil,no-exact-ipa-in-repo,
KV001123,alien,外星生物,alien,no-exact-ipa-in-repo,
KV001124,rover,探测器,rover,no-exact-ipa-in-repo,
KV001125,telescope,望远镜,telescope,no-exact-ipa-in-repo,
KV001131,toothpaste,牙膏,toothpaste,no-exact-ipa-in-repo,
KV001133,sunset,日落,sunset,no-exact-ipa-in-repo,
KV001135,Mars,火星,mars,no-exact-ipa-in-repo,
KV001136,power,能；能量,power,no-exact-ipa-in-repo,
KV001137,electricity,电,electricity,no-exact-ipa-in-repo,
KV001138,solar,太阳的,solar,no-exact-ipa-in-repo,
KV001144,resource,资源,resource,no-exact-ipa-in-repo,
KV001145,run out,用完,run out,no-exact-ipa-in-repo,
KV001149,unplug,拔掉……的电源插头,unplug,no-exact-ipa-in-repo,
KV001150,difference,差别；不同（之处）,difference,no-exact-ipa-in-repo,
KV001151,reduce,减少,reduce,no-exact-ipa-in-repo,
KV001152,air conditioner,空调机,air conditioner,no-exact-ipa-in-repo,
KV001167,had a cold,感冒,had a cold,no-exact-ipa-in-repo,
KV001174,took pictures,照相,took pictures,no-exact-ipa-in-repo,
KV001178,Turpan,吐鲁番,turpan,no-exact-ipa-in-repo,
KV001187,go cycling,去骑自行车,go cycling,no-exact-ipa-in-repo,
KV001189,look up,（在词典中或通过电脑）查阅,look up,no-exact-ipa-in-repo,
