ProvisionalIdentityKey,CanonicalMatchKey,LookupMatchKey,DisplayWord,ThirdPartyTargetSense,SourceMatchKeys,SourceOccurrenceCount,LearnerAdmitted,KloseCandidateClass,KloseCandidateCount,KloseCandidateNoteIDs,KloseCandidateSenses,PremergeStatus,MergeAuthorized
candidate:100-meter race,100-meter race,100-meter race,100-meter race,100米赛跑,100-meter race,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:20th,20th,20th,20th,第二十；20日,20th,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:21st,21st,21st,21st,第二十一；21日,21st,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:22nd,22nd,22nd,22nd,第二十二；22日,22nd,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:23rd,23rd,23rd,23rd,第二十三；23日,23rd,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:2nd,2nd,2nd,2nd,第二；2日,2nd,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:30th,30th,30th,30th,第三十；30日,30th,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:31st,31st,31st,31st,第三十一；31日,31st,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:3rd,3rd,3rd,3rd,第三；3日,3rd,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:4th,4th,4th,4th,第四；4日,4th,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:a,a,a,a,一个；一（用于辅音音素前）,a,19,no,exact-single,1,KV000008,一；一个,pending-sense-confirmation,no
candidate:a bit,a bit,a bit,a bit,有点儿；稍微,a bit,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:a box of crayons,a box of crayons,a box of crayons,a box of crayons,一盒蜡笔,a box of crayons,1,yes,exact-single,1,KV000559,一盒蜡笔,pending-sense-confirmation,no
candidate:a few,a few,a few,a few,几个；少数几个,a few,7,yes,exact-single,1,KV000997,一些,pending-sense-confirmation,no
candidate:a knife and fork,a knife and fork,a knife and fork,a knife and fork,一副刀叉,a knife and fork,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:a liter of milk,a liter of milk,a liter of milk,a liter of milk,一升牛奶,a liter of milk,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:a little,a little,a little,a little,一点；少量,a little,8,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:a long time ago,a long time ago,a long time ago,a long time ago,很久以前,a long time ago,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:a lot,a lot,a lot,a lot,很；非常,a lot,9,yes,exact-single,1,KV000565,很多；非常,pending-sense-confirmation,no
candidate:a lot of,a lot of,a lot of,a lot of,许多；大量,a lot of,11,yes,exact-single,1,KV000588,许多；大量,pending-sense-confirmation,no
candidate:a pair of,a pair of,a pair of,a pair of,一双；一对,a pair of,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:a pair of scissors,a pair of scissors,a pair of scissors,a pair of scissors,一把剪刀；一副剪刀,a pair of scissors,1,yes,exact-single,1,KV000557,一把剪刀,pending-sense-confirmation,no
candidate:a piece of,a piece of,a piece of,a piece of,一块；一片；一件,a piece of,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:a.m.,a.m.,a.m.,a.m.,上午；午前,a.m.,3,yes,exact-single,1,KV000981,午前；上午,pending-sense-confirmation,no
candidate:ability,ability,ability,ability,能力；才能,ability,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:able,able,able,able,能,able,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:aboard,aboard,aboard,aboard,在船上；在飞机上；在火车上,aboard,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:about,about,about,about,关于；有关,about,18,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:above,above,above,above,在……上面；在……之上,above,2,yes,no-existing-match,0,,,pending-new-identity-review,no
