NoteID,CanonicalWord,Word,PromptHint,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,LearnerLevel,LearningOrder,Sources,SourceBooks,Tags
KV000099,father,father,,[ˈfɑːðə(r)],[ˈfɑːðər],爸爸；父亲,My father usually drives me to school.,我爸爸通常开车送我上学。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
KV000100,mother,mother,,[ˈmʌðə(r)],[ˈmʌðər],妈妈；母亲,My mother likes reading after dinner.,我妈妈喜欢晚饭后读书。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000101,brother,brother,,[ˈbrʌðə(r)],[ˈbrʌðər],兄弟；哥哥；弟弟,My brother and I play basketball after school.,我和哥哥（弟弟）放学后打篮球。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000102,sister,sister,,[ˈsɪstə(r)],[ˈsɪstər],姐妹；姐姐；妹妹,My sister is drawing a picture in her room.,我姐姐（妹妹）正在房间里画画。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000103,grandmother,grandmother,,[ˈɡrænmʌðə(r)],[ˈɡrænmʌðər],奶奶；外婆,My grandmother reads with me before bed.,我奶奶（外婆）睡前和我一起读书。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000104,grandfather,grandfather,,[ˈɡrænfɑːðə(r)],[ˈɡrænfɑːðər],爷爷；外公,My grandfather walks in the park every morning.,我爷爷（外公）每天早上在公园散步。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000105,who,who,,[huː],[huː],谁,Who is the boy standing by the door?,站在门边的那个男孩是谁？,4,,rj_start1,rj_start1::2年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 stage::library
KV000106,he,he,,[hi; iː; i; hiː],[hi; iː; i; hiː],他,He usually goes to school by bus.,他通常坐公交车上学。,4,,rj_start1,rj_start1::2年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 stage::library
KV000107,she,she,,[ʃi],[ʃi; ʃiː],她,She likes reading books after school.,她喜欢放学后读书。,4,,rj_start1,rj_start1::2年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 stage::library
KV000108,classmate,classmate,,[ˈklɑːsmeɪt],[ˈklæsmeɪt],同班同学,My classmate and I play basketball after school.,我和同班同学放学后打篮球。,4,,rj_start1,rj_start1::2年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 stage::library
