Word,MeaningPrimary,ExampleSentence,ExampleTranslation
play football,踢足球,I play football after school.,我放学后踢足球。
fly a kite,放风筝,I fly a kite in spring.,我春天放风筝。
ride a bike,骑自行车,I can ride a bike.,我会骑自行车。
make a model plane,做飞机模型,I can make a model plane.,我会做飞机模型。
swim,游泳,I can swim.,我会游泳。
make a snowman,堆雪人,Let's make a snowman.,我们来堆雪人吧。
can't,不能；不会,I can't swim.,我不会游泳。
rainy,下雨的；多雨的,It is rainy today.,今天下雨。
cloudy,多云的,It is cloudy today.,今天多云。
snowy,下雪的；多雪的,It is snowy today.,今天下雪。
windy,有风的；多风的,It is windy today.,今天有风。
sunny,晴朗的；阳光充足的,It is sunny today.,今天晴朗。
umbrella,雨伞,I have an umbrella.,我有一把雨伞。
weather,天气,How is the weather?,天气怎么样？
wow,哇；呀,Wow it is beautiful!,哇，真漂亮！
let's,让我们,Let's go to the park.,我们去公园吧。
spring,春天,I like spring.,我喜欢春天。
summer,夏天,I like summer.,我喜欢夏天。
autumn,秋天,I like autumn.,我喜欢秋天。
winter,冬天,I like winter.,我喜欢冬天。
hot,热的,It is hot in summer.,夏天很热。
warm,暖和的,It is warm in spring.,春天很暖和。
cool,凉爽的,It is cool in autumn.,秋天很凉爽。
cold,寒冷的,It is cold in winter.,冬天很冷。
favourite,最喜欢的,Spring is my favourite season.,春天是我最喜欢的季节。
season,季节,What is your favourite season?,你最喜欢哪个季节？
eleven,十一；十一个,I have eleven books.,我有十一本书。
twelve,十二；十二个,I have twelve books.,我有十二本书。
twenty,二十,I have twenty pencils.,我有二十支铅笔。
thirty,三十,There are thirty books.,有三十本书。
forty,四十,There are forty pencils.,有四十支铅笔。
fifty,五十,There are fifty books.,有五十本书。
thirteen,十三；十三个,I have thirteen books.,我有十三本书。
fourteen,十四；十四个,I have fourteen pencils.,我有十四支铅笔。
fifteen,十五；十五个,I have fifteen books.,我有十五本书。
time,时间；时刻,What time is it?,几点了？
playtime,游戏时间；课间活动时间,It is playtime.,到游戏时间了。
get up,起床,I get up at seven.,我七点起床。
eat breakfast,吃早饭,I eat breakfast at seven.,我七点吃早饭。
go to school,去上学,I go to school at eight.,我八点去上学。
eat lunch,吃午饭,I eat lunch at twelve.,我十二点吃午饭。
go home,回家,I go home at five.,我五点回家。
eat dinner,吃晚饭,I eat dinner at six.,我六点吃晚饭。
go to bed,上床睡觉,I go to bed at nine.,我九点上床睡觉。
when,什么时候,When do you get up?,你什么时候起床？
every day,每天,I go to school every day.,我每天去上学。
at,在……时刻,I get up at seven.,我七点起床。
Sunday,星期日,Today is Sunday.,今天是星期日。
Monday,星期一,Today is Monday.,今天是星期一。
Tuesday,星期二,Today is Tuesday.,今天是星期二。
Wednesday,星期三,Today is Wednesday.,今天是星期三。
Thursday,星期四,Today is Thursday.,今天是星期四。
Friday,星期五,Today is Friday.,今天是星期五。
Saturday,星期六,Today is Saturday.,今天是星期六。
today,今天,It is sunny today.,今天是晴天。
