SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
luke_54_start3|g3-upper|r001|hello,luke_54_start3,3年级上,3,上,1,hello,hello,,,"n. 表示问候, 惊奇或唤起注意时的用语 int. 喂;哈罗",鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r002|i,luke_54_start3,3年级上,3,上,2,I,i,,,n. 碘元素;英语字母I pron. 我,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r003|i'm,luke_54_start3,3年级上,3,上,3,I'm,i'm,,,abbr. 我是(缩写),鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r004|i am,luke_54_start3,3年级上,3,上,4,I am,i am,,,我是;这就是我;唯我是问,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r005|hi,luke_54_start3,3年级上,3,上,5,hi,hi,,,int. 嗨!(表示问候或用以唤起注意),鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r006|good,luke_54_start3,3年级上,3,上,6,good,good,,,n. 好处;善行;慷慨的行为 adj. 好的;优良的;愉快的;虔诚的 adv. 好,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r007|morning,luke_54_start3,3年级上,3,上,7,morning,morning,,,n. 早晨;黎明;初期,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r008|how,luke_54_start3,3年级上,3,上,8,how,how,,,adv. 如何;多少;多么 n. 方法;方式 conj. 如何,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r009|are,luke_54_start3,3年级上,3,上,9,are,are,,,v. 是(be的第二人称单复数现在式) n. 公亩,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r010|you,luke_54_start3,3年级上,3,上,10,you,you,,,pron. 你;你们,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r011|fine,luke_54_start3,3年级上,3,上,11,fine,fine,,,"n. 罚款 adj. 好的;优良的;细小的,精美的;健康的;晴朗的 vt. 罚款;澄清 adv. 很好地;精巧地",鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r012|thank,luke_54_start3,3年级上,3,上,12,thank,thank,,,n. 感谢 vt. 感谢 int. 谢谢,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r013|and,luke_54_start3,3年级上,3,上,13,and,and,,,"conj. 和,与;就;而且;但是;然后",鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r014|goodbye,luke_54_start3,3年级上,3,上,14,goodbye,goodbye,,,int. 再见 放弃 告别,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r015|bye,luke_54_start3,3年级上,3,上,15,bye,bye,,,n. 轮空;次要的东西 int. 再见 adj. 次要的,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r016|afternoon,luke_54_start3,3年级上,3,上,16,afternoon,afternoon,,,"n. 午后,下午",鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r017|miss,luke_54_start3,3年级上,3,上,17,Miss,miss,,,"n. 女士,小姐,年轻未婚女子 vt. 错过,想念,缺(勤)",鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r018|nice,luke_54_start3,3年级上,3,上,18,nice,nice,,,adj. 精密的;美好的;细微的;和蔼的,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r019|meet,luke_54_start3,3年级上,3,上,19,meet,meet,,,vt. 满足;遇见;对付 vi. 相遇;接触 n. 集会 adj. 合适的;适宜的,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r020|too,luke_54_start3,3年级上,3,上,20,too,too,,,adv. 太;也;很;还;非常;过度,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r021|mr,luke_54_start3,3年级上,3,上,21,Mr,mr,,,abbr. 先生(Mister),鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r022|this,luke_54_start3,3年级上,3,上,22,this,this,,,adj. 这;本;这个;今 pron. 这;这个;这里 adv. 这样地;这么,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r023|is,luke_54_start3,3年级上,3,上,23,is,is,,,v. 是(be的三单形式) n. 存在,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r024|what,luke_54_start3,3年级上,3,上,24,what,what,,,"pron. 什么;多么;多少 adv. 到什么程度,在哪一方面 adj. 什么;多么;何等 int. 什么;多么",鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r025|what's,luke_54_start3,3年级上,3,上,25,what's,what's,,,...是什么(等于what is);...有什么(等于what has),鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r026|what is,luke_54_start3,3年级上,3,上,26,what is,what is,,,[计] whatis命令,鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r027|your,luke_54_start3,3年级上,3,上,27,your,your,,,"pron. 你的,你们的",鲁科版五四学制三年级上册.xlsx
luke_54_start3|g3-upper|r028|name,luke_54_start3,3年级上,3,上,28,name,name,,,"n. 名称,名字;姓名;名誉 vt. 命名,任命;指定;称呼;提名;叫出 adj. 姓名的;据以取名的",鲁科版五四学制三年级上册.xlsx
