NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV000553,It is lovely.,它很可爱。,model-curated,grade5-6-reuse-review-v1
KV000566,It is wonderful.,它很精彩。,model-curated,grade5-6-reuse-review-v1
KV000693,This is a forest.,这是一片森林。,model-curated,grade5-6-reuse-review-v1
KV000719,It is one metre long.,它有一米长。,model-curated,grade5-6-reuse-review-v1
KV000735,The race is on Sunday.,比赛在星期日举行。,model-curated,grade5-6-reuse-review-v1
KV000737,I am here because you are here.,因为你在这里，所以我也在这里。,model-curated,grade5-6-reuse-review-v1
KV000744,She is a writer.,她是一位作家。,model-curated,grade5-6-reuse-review-v1
KV000745,She is American.,她是美国人。,model-curated,grade5-6-reuse-review-v1
KV000767,The airport is big.,这个机场很大。,model-curated,grade5-6-reuse-review-v1
KV000770,We meet at school.,我们在学校见面。,model-curated,grade5-6-reuse-review-v1
KV000784,I want less rice.,我想要少一点米饭。,model-curated,grade5-6-reuse-review-v1
