NoteID,ExampleSentence,ExampleTranslation
KV000803,My mum is an office worker.,我妈妈是一名公司职员。
KV000804,My dad is a factory worker.,我爸爸是一名工厂工人。
KV000805,I can cook dinner for my family.,我会为家人做晚饭。
KV000806,I clean my room every week.,我每周打扫我的房间。
KV000807,I look after my little brother.,我照顾我的弟弟。
KV000808,I sweep the floor after dinner.,晚饭后我扫地。
KV000809,My brother is strong.,我哥哥很强壮。
KV000810,Our new teacher is very kind.,我们的新老师很友好。
KV000811,She is my best friend.,她是我最好的朋友。
KV000812,I read books after school.,我放学后读书。
KV000813,The children play in the park.,孩子们在公园里玩。
KV000814,This game is fun.,这个游戏很有趣。
KV000815,We play football after school.,我们放学后踢足球。
KV000816,The park is over there.,公园在那边。
KV000817,The bus stop is near our school.,公共汽车站在我们学校附近。
KV000818,Football is my favourite sport.,足球是我最喜欢的运动。
KV000819,I walk to school every day.,我每天步行去上学。
KV000820,There is a park in our community.,我们的社区里有一个公园。
KV000821,This is a photo of my family.,这是一张我的全家福。
KV000822,A firefighter helps people.,消防队员帮助人们。
KV000823,My uncle is a driver.,我叔叔是一名司机。
KV000824,She is a cleaner at our school.,她是我们学校的一名清洁工。
KV000825,The delivery worker is at the door.,快递员在门口。
KV000826,I am doing my homework now.,我现在正在做家庭作业。
KV000827,Please tell me your name.,请告诉我你的名字。
KV000828,Ms Li is our teacher.,李女士是我们的老师。
KV000829,There is a lot of rain today.,今天雨很多。
KV000830,The shop is closed today.,这家商店今天关门。
KV000831,Birds can fly.,鸟会飞。
KV000832,My kite is red.,我的风筝是红色的。
KV000833,We make a snowman in winter.,我们冬天堆雪人。
KV000834,Whose book is this?,这是谁的书？
KV000835,This book is mine.,这本书是我的。
KV000836,Which book do you like?,你喜欢哪一本书？
KV000837,Our family gets together on Sunday.,我们一家星期日聚会。
KV000838,This leaf is red.,这片叶子是红色的。
KV000839,I do my homework and then I play.,我先做家庭作业，然后玩。
KV000840,Hurry up! We are late.,快点！我们迟到了。
KV000841,I am ready for school.,我准备好去上学了。
KV000842,This is a school rule.,这是一条校规。
KV000843,Please turn off the light.,请把灯关掉。
KV000844,My desk is tidy.,我的书桌很整洁。
KV000845,Please open the window.,请打开窗户。
KV000846,I understand this word.,我理解这个单词。
KV000847,There is a picture on the wall.,墙上有一幅画。
KV000848,My grandpa reads the newspaper.,我爷爷看报纸。
KV000849,Please hand out the books.,请把书分发下去。
KV000850,Open your workbook please.,请打开你的练习册。
KV000851,I watch TV after school.,我放学后看电视。
KV000852,We watch TV in the living room.,我们在客厅看电视。
KV000853,I do my homework after school.,我放学后做家庭作业。
KV000854,I know this word.,我认识这个单词。
KV000855,I wash my hands before dinner.,我晚饭前洗手。
KV000856,The music is too loud.,音乐声音太大了。
KV000857,I sleep in my bedroom.,我在我的卧室睡觉。
KV000858,I think this book is good.,我觉得这本书很好。
KV000859,My parents work hard.,我的父母努力工作。
KV000860,She works hard every day.,她每天都努力学习和做事。
KV000861,Please follow this rule.,请遵守这条规则。
KV000862,I feel tired today.,我今天觉得很累。
KV000863,Class is over.,下课了。
KV000864,That kid is my friend.,那个小孩是我的朋友。
KV000865,We have dinner at six.,我们六点吃晚饭。
KV000866,I have lunch at school.,我在学校吃午餐。
KV000867,Wait a minute please.,请等一分钟。
KV000868,This pair of shoes is new.,这双鞋是新的。
KV000869,These clothes are mine.,这些衣服是我的。
KV000870,Those are my shoes.,那些是我的鞋。
KV000871,This jacket is too expensive.,这件夹克太贵了。
KV000872,I will take this jacket.,我要买这件夹克。
KV000873,These shoes are cheap.,这些鞋很便宜。
KV000874,This hat is too big.,这顶帽子太大了。
KV000875,I wear sunglasses in summer.,我夏天戴太阳镜。
KV000876,The water is free.,这水是免费的。
KV000877,This T-shirt is too large for me.,这件T恤衫对我来说太大了。
KV000878,What size do you wear?,你穿多大尺码？
KV000879,I have a shopping list.,我有一张购物清单。
KV000880,Can I try on this coat?,我可以试穿这件外套吗？
KV000881,Do you have any red shirts?,你有红色的衬衫吗？
KV000882,There is a mouse in the kitchen.,厨房里有一只老鼠。
KV000883,This carrot is for the rabbit.,这根胡萝卜是给兔子的。
KV000884,I like green beans.,我喜欢吃四季豆。
KV000885,There is a can on the table.,桌上有一个金属罐。
KV000886,I have a box of crayons.,我有一盒蜡笔。
KV000887,I feed the sheep every day.,我每天喂羊。
KV000888,Please pass me the bowl.,请把碗递给我。
KV000889,We pick apples from the tree.,我们从树上摘苹果。
KV000890,They milk the cow every morning.,他们每天早晨给奶牛挤奶。
KV000891,I eat with a fork.,我用餐叉吃饭。
KV000892,Do not waste food.,不要浪费食物。
KV000893,This food is delicious.,这些食物很美味。
KV000894,We clear the table after dinner.,我们晚饭后收拾餐桌。
KV000895,I set the table before dinner.,我晚饭前摆放餐具。
KV000896,The rice is in the bowl.,米饭在碗里。
KV000897,This spoon is on the table.,这把勺子在桌上。
KV000898,She can do it herself.,她可以自己做这件事。
KV000899,I like vegetable salad.,我喜欢蔬菜沙拉。
