SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
jiaoke_eec_start3|g3-upper|r002|what,jiaoke_eec_start3,3年级上,3,上,2,what,what,[wɒt],[wʌt],"pron. 什么;多么;多少 adv. 到什么程度,在哪一方面 adj. 什么;多么;何等 int. 什么;多么",教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r003|be,jiaoke_eec_start3,3年级上,3,上,3,be,be,[bi],[bi; biː],"vt. 是; 有,存在; 做,成为; 发生",教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r004|am,jiaoke_eec_start3,3年级上,3,上,4,am,am,[əm; æm],[əm; æm],abbr. 调幅 v. 是,教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r005|is,jiaoke_eec_start3,3年级上,3,上,5,is,is,[ɪz],[ɪz],v. 是(be的三单形式) n. 存在,教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r006|are,jiaoke_eec_start3,3年级上,3,上,6,are,are,[ɑ:(r)],[ər; ɑːr; er],v. 是(be的第二人称单复数现在式) n. 公亩,教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r007|your,jiaoke_eec_start3,3年级上,3,上,7,your,your,[jɔː(r); jə(r)],[jʊr; jər],"pron. 你的,你们的",教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r008|name,jiaoke_eec_start3,3年级上,3,上,8,name,name,[neɪm],[neɪm],"n. 名称,名字;姓名;名誉 vt. 命名,任命;指定;称呼;提名;叫出 adj. 姓名的;据以取名的",教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r009|hi,jiaoke_eec_start3,3年级上,3,上,9,hi,hi,[haɪ],[haɪ],int. 嗨!(表示问候或用以唤起注意),教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r010|my,jiaoke_eec_start3,3年级上,3,上,10,my,my,[maɪ],[maɪ],pron. 我的 int. 哎呀(表示惊奇等);喔唷,教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r011|hello,jiaoke_eec_start3,3年级上,3,上,11,hello,hello,[həˈləʊ],[həˈləʊ],"n. 表示问候, 惊奇或唤起注意时的用语 int. 喂;哈罗",教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r012|i,jiaoke_eec_start3,3年级上,3,上,12,I,i,[aɪ],[aɪ],n. 碘元素;英语字母I pron. 我,教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r013|come,jiaoke_eec_start3,3年级上,3,上,13,come,come,[kʌm],[kʌm],vi. 来;开始;出现;发生;变成;到达 vt. 做;假装;将满(...岁) int. 嗨!,教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r014|here,jiaoke_eec_start3,3年级上,3,上,14,here,here,[hɪə(r)],[hɪr],n. 这里 adv. 在这里;此时 int. 嘿!;喂!,教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r015|come here,jiaoke_eec_start3,3年级上,3,上,15,come here,come here,,,过来;来这里;到这儿来,教科版EEC三年级起点三年级上.xlsx
jiaoke_eec_start3|g3-upper|r016|ok,jiaoke_eec_start3,3年级上,3,上,16,OK,ok,[əʊˈkeɪ],[ˌoʊ'keɪ],adj. 好的;不错的 adv. 行;很好 int. 好;可以 vt. 对...表示同意 n. 同意,教科版EEC三年级起点三年级上.xlsx
