MatchKey,DisplayForms,Definitions,BeijingContexts,RenjiaoContexts,RiskSignals,ReviewStatus,ProposedDecision,ProposedSense,Rationale
all,all,n. 全部 adj. 全部的 adv. 全然地;越发 pron. 全部,6年级下@r58:[nose / careful / <all> / ill / begin],5年级上@r13:[talk / party / <all> / but / sometimes],multi-pos-gloss,pending,,,
also,also,conj. 并且;另外 adv. 也;而且;同样,6年级下@r41:[paper / save / <also> / tired / thirsty],5年级上@r48:[please / only / <also> / saleswoman / great],multi-pos-gloss,pending,,,
apple,apple,"n. 苹果,苹果树,苹果似的东西;[美俚]炸弹,手榴弹,(棒球的)球;[美俚]人,家伙。",1年级下@r20:[orange / jam / <apple> / juice / peach] || 3年级下@r36:[best / great / <apple> / drink / may],1年级上@r46:[green / colour / <apple> / pear / banana] || 4年级上@r61:[enjoy / park / <apple> / pen / knife],multiple-occurrences,pending,,,
are,are,v. 是(be的第二人称单复数现在式) n. 公亩,2年级上@r10:[go / on / <are> / in / a],1年级上@r38:[how / many / <are> / there / black],multi-pos-gloss,pending,,,
arm,arm,n. 手臂;武器;袖子;装备;部门 vt. 武装;备战 vi. 武装起来,2年级上@r65:[short / me / <arm> / leg / body],3年级上@r16:[head / hair / <arm> / hand / leg],multi-pos-gloss,pending,,,
around,around,prep. 四处;在...周围 adv. 大约;到处;在附近,6年级上@r29:[hill / west / <around> / many / ride],6年级上@r17:[famous / temple / <around> / the Yangtze River / foggy],multi-pos-gloss,pending,,,
art,art,n. 艺术;美术;艺术品 v. 是(be的变体) adj. 艺术的;艺术品的,5年级上@r11:[subject / draw / <art> / science / sheep],3年级下@r8:[music / maths / <art> / computer class / we],multi-pos-gloss,pending,,,
at,at,prep. 在(表示存在或出现的地点、场所、位置、空间);以(某种价格、速度等);向;达;因为;朝;忙于 n. 阿特(老挝货币基本单位att);[化]砹(极不稳定放射性元素) abbr. 密封的(airtight);气温(air temperature),2年级上@r75:[cake / look / <at> / tree / big],2年级下@r48:[when / every day / <at> / Sunday / Monday],multi-pos-gloss,pending,,,
august,August,n. 八月(简写为Aug) adj. 威严的;令人敬畏的,3年级上@r46:[every / April / <August> / born / May],3年级上@r97:[June / July / <August> / September / October],multi-pos-gloss,pending,,,
autumn,autumn,"n. 秋天;成熟期;渐衰期,凋落期 adj. 秋天的,秋季的",5年级上@r28:[join / wash / <autumn> / family / fruit],2年级下@r20:[spring / summer / <autumn> / winter / hot],multi-pos-gloss,pending,,,
bad,bad,"n. 坏事;坏人 adj. 坏的;严重的;劣质的 adv. 很,非常;坏地;邪恶地",4年级上@r20:[bring / school / <bad> / cold / drink],3年级上@r24:[hurt / help / <bad> / bite / tongue],multi-pos-gloss,pending,,,
ball,ball,n. 球;舞会 vt. 捏成球形 vi. 成团块,1年级下@r11:[yard / wall / <ball> / van / oil] || 3年级上@r83:[know / Chinese / <ball> / gold / gift],1年级下@r17:[behind / plane / <ball> / doll / train] || 4年级下@r25:[school / supermarket / <ball> / city / street],multi-pos-gloss|multiple-occurrences,pending,,,
banana,banana,n. 香蕉;喜剧演员;大鹰钩鼻,1年级下@r15:[oil / net / <banana> / ice cream / ice] || 3年级下@r28:[wonderful / any / <banana> / before / sweet],1年级上@r48:[apple / pear / <banana> / orange / do],multiple-occurrences,pending,,,
bear,bear,"n. 熊 vt. 结果实,开花(正式) vt. 忍受;承受;具有;支撑",5年级上@r14:[science / sheep / <bear> / minute / put],1年级下@r21:[train / car / <bear> / can / sure],multi-pos-gloss,pending,,,
bed,bed,"n. 床;基础;河底, 海底 vt. 使睡觉;安置,嵌入;栽种 vi. 上床;分层",1年级上@r25:[knee / foot / <bed> / box / pen] || 2年级下@r35:[room / love / <bed> / big / chair],1年级下@r11:[the / light / <bed> / door / box] || 3年级下@r83:[sofa / light / <bed> / door / box],multi-pos-gloss|multiple-occurrences,pending,,,
before,before,"prep. 在...之前,先于 conj. 在...以前;在...之前 adv. 以前;在前",3年级下@r29:[any / banana / <before> / sweet / potato],4年级下@r18:[money / get to / <before> / leave / toy] || 5年级下@r9:[tired / drink / <before> / dirty / always],multi-pos-gloss|multiple-occurrences,pending,,,
behind,behind,prep. 落后于;支持;晚于 n. 屁股 adv. 在后地;在原处,6年级下@r68:[classroom / club / <behind> / stand / welcome],1年级下@r15:[box / near / <behind> / plane / ball],multi-pos-gloss,pending,,,
between,between,prep. 在...之间 adv. 在中间,6年级下@r71:[stand / welcome / <between>],4年级下@r4:[across from / next to / <between> / restaurant / post office],multi-pos-gloss,pending,,,
big,big,adj. 大的;重要的;量大的 adv. 大量地;顺利;夸大地,2年级上@r77:[at / tree / <big> / new / year] || 2年级下@r36:[love / bed / <big> / chair / sit],2年级上@r22:[her / or / <big> / tall / pretty] || 3年级上@r70:[monkey / tiger / <big> / short / cap],multi-pos-gloss|multiple-occurrences,pending,,,
bird,bird,n. 鸟;家伙;羽毛球 vt. 向...喝倒彩;起哄 vi. 猎鸟;观察研究野鸟,1年级上@r34:[skirt / wood / <bird> / bee / deer] || 3年级下@r11:[favourite / turn / <bird> / hear / out],1年级上@r20:[my / dog / <bird> / tiger / monkey] || 3年级上@r66:[cat / dog / <bird> / fish / monkey] || 6年级上@r42:[president / reptile / <bird> / fish / mammal],multi-pos-gloss|multiple-occurrences,pending,,,
birthday,birthday,"n. 生日,诞辰;诞生的日子",5年级下@r52:[study / cap / <birthday> / teach / engineer],3年级上@r102:[November / December / <birthday> / first / party] || 5年级下@r29:[National Day / Christmas Day / <birthday> / fifth / 5th],multiple-occurrences,pending,,,
black,black,n. 黑色;黑人;黑颜料 adj. 黑色的;黑人的;邪恶的 vt. 使变黑;把鞋油等涂在...上;把(眼眶)打成青肿 vi. 变黑,3年级下@r19:[from / square / <black> / shape / round],1年级上@r40:[are / there / <black> / yellow / blue],multi-pos-gloss,pending,,,
blackboard,blackboard,n. 黑板,3年级上@r74:[ruler / forty / <blackboard> / seventy / eighty],1年级下@r4:[chair / desk / <blackboard> / on / under] || 3年级下@r25:[chair / desk / <blackboard> / after school / play sports],multiple-occurrences,pending,,,
blue,blue,"adj. 蓝色的;沮丧的,忧郁的;下流的 n. 蓝色;[复数](美国海、陆、空三军穿的)蓝色制服;蓝颜料;[the blue(s)][用作单数或复数]布鲁斯(歌曲)(一种伤感的美国黑人民歌 vi. 变成蓝色,呈蓝色 vt. 把...染成蓝色;使成蓝色;给...用上蓝剂;用上蓝剂于",2年级下@r72:[they / sky / <blue> / green / white],1年级上@r42:[black / yellow / <blue> / red / green],multi-pos-gloss,pending,,,
boat,boat,n. 小船;轮船 vi. 划船,1年级上@r7:[lake / house / <boat> / key / car] || 4年级下@r43:[country / about / <boat> / sound / safe],2年级上@r41:[tree / flower / <boat> / lake / hill],multi-pos-gloss|multiple-occurrences,pending,,,
body,body,n. 身体;主体;大量;团体;主要部分 vt. 赋以形体,2年级上@r67:[arm / leg / <body> / small / hand],3年级上@r13:[age / dear / <body> / head / hair],multi-pos-gloss,pending,,,
book,book,n. 书籍;卷;帐簿;名册;工作簿 vt. 预订;登记,1年级上@r28:[box / pen / <book> / coat / UFO] || 4年级上@r5:[glad / why / <book> / sad / surprised],1年级上@r2:[<book> / ruler / pencil],multi-pos-gloss|multiple-occurrences,pending,,,
box,box,"n. 箱,盒子;包厢;一拳 vt. 拳击;装...入盒中;打耳光 vi. 拳击",1年级上@r26:[foot / bed / <box> / pen / book] || 3年级下@r53:[look / mother / <box> / drive / parent],1年级下@r13:[bed / door / <box> / near / behind] || 3年级下@r85:[bed / door / <box>],multi-pos-gloss|multiple-occurrences,pending,,,
bread,bread,n. 面包;生计 vt. 在...上洒面包屑,2年级下@r17:[dad / for / <bread> / milk / egg],3年级上@r36:[mouth / ear / <bread> / cake / fruit],multi-pos-gloss,pending,,,
brother,brother,n. 兄弟;同事;战友 int. 我的老兄!,5年级上@r18:[put / must / <brother> / pass / finish],2年级上@r4:[father / mother / <brother> / sister / grandmother] || 3年级下@r59:[father / mother / <brother> / sister / cooking dinner],multi-pos-gloss|multiple-occurrences,pending,,,
busy,busy,adj. 忙碌的;热闹的;正被占用的 vt. 使忙于,5年级上@r69:[early / breakfast / <busy> / dinner],4年级下@r34:[see a film / go boating / <busy> / station / place],multi-pos-gloss,pending,,,
but,but,"conj. 但是;而是;然而 adv. 仅仅,只 prep. 除...以外",6年级上@r15:[young / neck / <but> / football / match],5年级上@r14:[party / all / <but> / sometimes / bark],multi-pos-gloss,pending,,,
buy,buy,"n. 购买,买卖;所购的物品 vi. 买,采购 vt. 购买;获得;贿赂",4年级上@r41:[shoe / how much / <buy> / shop / sell],3年级上@r46:[shopping list / cola / <buy> / rice / noodles],multi-pos-gloss,pending,,,
cake,cake,n. 蛋糕;块状物;利益总额 vt. 使结块 vi. 结成块状,1年级上@r16:[uniform / bag / <cake> / dish / cup] || 2年级上@r73:[old / eight / <cake> / look / at],3年级上@r37:[ear / bread / <cake> / fruit / ice-cream],multi-pos-gloss|multiple-occurrences,pending,,,
call,call,n. 电话;呼叫;要求;访问 vi. 呼叫;拜访;叫牌 vt. 呼叫;称呼;召集,2年级下@r44:[bathroom / want / <call> / mum / phone],5年级上@r67:[tidy the desk / sweep the floor / <call>],multi-pos-gloss,pending,,,
can,can,aux. 能; 能够; 可以; 可能 n. 罐头; (用金属或塑料制作的)容器; (马口铁或其他金属制作的)食品罐头 vt. 将...装入密封罐中保存,3年级上@r61:[cool / rainy / <can> / windy / cloudy],1年级下@r22:[car / bear / <can> / sure / sorry],multi-pos-gloss,pending,,,
cap,cap,n. 盖;帽子 vt. 覆盖;胜过;给...戴帽;加盖于 vi. 脱帽致意,1年级下@r2:[<cap> / head / hair] || 5年级下@r51:[should / study / <cap> / birthday / teach],3年级上@r72:[big / short / <cap> / coat / shoes],multi-pos-gloss|multiple-occurrences,pending,,,
car,car,n. 汽车;车厢,1年级上@r9:[boat / key / <car> / gate / kite] || 2年级下@r63:[bus / by / <car> / work / she],1年级下@r20:[doll / train / <car> / bear / can],multiple-occurrences,pending,,,
card,card,n. 卡片;纸牌;明信片 vt. 记于卡片上,3年级上@r18:[seventh / teacher / <card> / tenth / eighth],2年级上@r47:[Father Christmas / Christmas tree / <card> / present / New Year],multi-pos-gloss,pending,,,
cat,cat,"n. 猫,猫科动物",1年级上@r37:[bee / deer / <cat> / dog / fish] || 2年级上@r49:[four / baby / <cat> / thin / dog],1年级上@r23:[tiger / monkey / <cat> / what / it] || 3年级上@r64:[tail / dance / <cat> / dog / bird],multiple-occurrences,pending,,,
chair,chair,n. 椅子;讲座;(会议的)主席位;大学教授的职位 vt. 担任(会议的)主席;使...入座;使就任要职,2年级下@r37:[bed / big / <chair> / sit / kitchen],1年级下@r2:[<chair> / desk / blackboard] || 3年级下@r23:[our / they / <chair> / desk / blackboard],multi-pos-gloss|multiple-occurrences,pending,,,
chicken,chicken,"n. 鸡肉;小鸡;胆小鬼,懦夫 adj. 鸡肉的;胆怯的;幼小的",4年级上@r52:[sorry / pie / <chicken> / hamburger / change],1年级下@r29:[vegetable / fish / <chicken> / egg / hungry] || 3年级上@r51:[vegetables / fish / <chicken> / egg / duck] || 3年级上@r54:[egg / duck / <chicken> / rabbit / pet],multi-pos-gloss|multiple-occurrences,pending,,,
china,China,"n. 中国 n. china,瓷器 adj. 中国的;中国制造的 adj. china,瓷制的",4年级下@r36:[left / miss / <China> / labour / wall],4年级下@r80:[the UK / the USA / <China> / koala / maple leaves],multi-pos-gloss,pending,,,
chinese,Chinese,"n. 中文,汉语;中国人 adj. 中国的,中国人的;中国话的",3年级上@r82:[Christmas / know / <Chinese> / ball / gold],3年级下@r2:[<Chinese> / English / science],multi-pos-gloss,pending,,,
city,city,"n. 城市,都市 adj. 城市的;都会的",5年级上@r45:[clock / river / <city> / afternoon / map],4年级下@r26:[supermarket / ball / <city> / street / sports centre],multi-pos-gloss,pending,,,
class,class,"n. 阶级;班级;种类;班;等级 adj. 极好的;很好的,优秀的,出色的 vt. 分类;把...分等级;把...归入某等级,把...看作(或分类、归类);把...编入某一班级 vi. 属于...类(或等级),被列为某类(或某级)",2年级上@r17:[you / park / <class> / we / to],3年级上@r9:[old / how old / <class> / grade / age],multi-pos-gloss,pending,,,
clock,clock,n. 时钟;计时器 vt. 记录;记时 vi. 打卡;记录时间,5年级上@r43:[morning / the U.K. / <clock> / river / city],6年级上@r33:[the Opera House / the White House / <clock> / speak / French],multi-pos-gloss,pending,,,
coat,coat,n. 外套 vt. 覆盖...的表面,1年级上@r29:[pen / book / <coat> / UFO / hut] || 2年级下@r50:[shirt / find / <coat> / sofa / this],3年级上@r73:[short / cap / <coat> / shoes / sweater],multi-pos-gloss|multiple-occurrences,pending,,,
cold,cold,"n. 寒冷;感冒 adj. 寒冷的;冷淡的,不热情的;失去知觉的 adv. 完全地",2年级下@r77:[snow / cool / <cold> / make / which] || 4年级上@r21:[school / bad / <cold> / drink / word],2年级下@r25:[warm / cool / <cold> / favourite / season],multi-pos-gloss|multiple-occurrences,pending,,,
colour,colour,"n. 颜色;风格;气色,面色;外貌 vt. 把...涂颜色,粉饰;歪曲;使脸红 vi. 变色",6年级上@r53:[sing / like / <colour> / clothes / hobby],1年级上@r45:[red / green / <colour> / apple / pear],multi-pos-gloss,pending,,,
come,come,vi. 来;开始;出现;发生;变成;到达 vt. 做;假装;将满(...岁) int. 嗨!,2年级下@r68:[bike / he / <come> / taxi / they],4年级上@r58:[snow / theatre / <come> / enjoy / park],multi-pos-gloss,pending,,,
cook,cook,"n. 厨师,厨子 vt. 烹调,煮 vi. 烹调,做菜",4年级上@r47:[healthy / sour / <cook> / duck / soup],4年级上@r96:[play football / nurse / <cook> / doctor / bus driver],multi-pos-gloss,pending,,,
cool,cool,n. 凉爽;凉爽的空气 adj. 凉爽的;冷静的;出色的 vt. 使...冷却;使...平静下来 vi. 变凉;平息 adv. 冷静地,2年级下@r76:[white / snow / <cool> / cold / make] || 3年级上@r59:[warm / hot / <cool> / rainy / can],2年级下@r24:[hot / warm / <cool> / cold / favourite] || 5年级上@r55:[a lot / wonderful / <cool> / fantastic / cartoons],multi-pos-gloss|multiple-occurrences,pending,,,
country,country,"n. 国家,国土;国民;乡下,农村;乡村;故乡 adj. 祖国的,故乡的;地方的,乡村的;国家的;粗鲁的;乡村音乐的",4年级下@r41:[cinema / museum / <country> / about / boat],4年级下@r87:[campfire / cute / <country> / pretty],multi-pos-gloss,pending,,,
cow,cow,"n. 奶牛,母牛;母兽 vt. 威胁,恐吓",1年级下@r44:[duck / egg / <cow> / rabbit / kitten] || 2年级上@r39:[sixteen / my / <cow> / nineteen / our],5年级上@r32:[panda / horse / <cow> / pig / sheep],multi-pos-gloss|multiple-occurrences,pending,,,
crayon,crayon,"n. 蜡笔,有色粉笔 vt. 以蜡笔作画,用颜色粉笔画",6年级下@r26:[skirt / sock / <crayon> / idea / nervous],4年级上@r65:[knife / eraser / <crayon> / scissors / glue stick],multi-pos-gloss,pending,,,
cry,cry,n. 叫喊;叫声;口号;呼叫 vi. 哭;叫;喊 vt. 叫喊;哭出;大声说,6年级上@r19:[match / myself / <cry> / lunch / chocolate],6年级上@r70:[race / find / <cry> / because / test],multi-pos-gloss,pending,,,
dance,dance,n. 舞蹈;舞会;舞曲 adj. 舞蹈的;用于跳舞的 vt. 跳舞;使跳跃 vi. 跳舞;跳跃;飘扬,3年级下@r47:[song / voice / <dance> / pencil case / water],3年级上@r63:[look for / tail / <dance> / cat / dog] || 3年级下@r30:[draw pictures / play chess / <dance> / sing songs / read books],multi-pos-gloss|multiple-occurrences,pending,,,
day,day,n. 一天;时期;白昼 adj. 日间的;逐日的 adv. 每天;经常在白天地,2年级上@r3:[what / <day> / it / Tuesday],4年级上@r37:[Saturday / near / <day> / usually / by bus],multi-pos-gloss,pending,,,
dear,dear,n. 亲爱的人 adj. 亲爱的;尊敬的;昂贵的 adv. 高价地;疼爱地 int. 哎呀,2年级下@r29:[hungry / hello / <dear> / orange / vegetable],3年级上@r12:[grade / age / <dear> / body / head],multi-pos-gloss,pending,,,
desk,desk,n. 办公桌;服务台;编辑部;(美)讲道台;乐谱架 adj. 书桌的;桌上用的;伏案做的,1年级下@r49:[map / flag / <desk>] || 6年级下@r9:[worry / purple / <desk> / whose / wide],1年级下@r3:[chair / <desk> / blackboard / on] || 3年级下@r24:[they / chair / <desk> / blackboard / after school],multi-pos-gloss|multiple-occurrences,pending,,,
