NoteID,LearnerProfile,LearnerLevel,PromptHint,ExampleSentence,ExampleTranslation,PresentationStatus,PresentationSource
KV000001,klose,4,,I read a book before bed.,我睡前读一本书。,grade4-reviewed,klose:grade4_overrides
KV000002,klose,4,,I use a ruler to draw a line.,我用尺子画一条线。,grade4-reviewed,klose:grade4_overrides
KV000003,klose,4,,I have a blue pencil in my schoolbag.,我的书包里有一支蓝色铅笔。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000004,klose,4,,My books are in my schoolbag.,我的书在书包里。,grade4-reviewed,klose:grade4_overrides
KV000005,klose,4,,Our teacher is reading an English book.,我们的老师正在读一本英语书。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000006,klose,4,,I usually walk to school with Dad.,我通常和爸爸一起走路上学。,grade4-reviewed,klose:grade4_overrides
KV000007,klose,4,,We have English class on Monday.,我们星期一有英语课。,grade4-reviewed,klose:grade4_overrides
KV000008,klose,4,,I saw a bird in the tree.,我看到树上有一只鸟。,grade4-reviewed,klose:grade4_overrides
KV000009,klose,4,,She has an orange in her bag.,她的包里有一个橙子。,grade4-reviewed,klose:grade4_overrides
KV000010,klose,4,,My face is red after PE class.,体育课后我的脸红了。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000011,klose,4,,My left ear hurts today.,我今天左耳疼。,grade4-reviewed,klose:grade4_overrides
KV000012,klose,4,,Close your eyes for a minute.,闭上眼睛一分钟。,grade4-reviewed,klose:grade4_overrides
KV000013,klose,4,,My nose is cold in winter.,冬天我的鼻子很冷。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000014,klose,4,,Please open your mouth.,请张开嘴。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000015,klose,4,,This book is more interesting than that one.,这本书比那本更有趣。,grade4-reviewed,klose:grade4_overrides
KV000016,klose,4,,My classroom is on the second floor.,我的教室在二楼。,grade4-reviewed,klose:grade4_overrides
KV000017,klose,4,,My sister and I go to school by bus.,我和妹妹坐公交车上学。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000018,klose,4,,The dog is playing with a ball outside.,那只狗正在外面玩球。,grade4-reviewed,klose:grade4_overrides
KV000019,klose,4,,A small bird is sitting in the tree.,一只小鸟正停在树上。,grade4-reviewed,klose:grade4_overrides
KV000020,klose,4,,We saw a tiger at the zoo last Sunday.,上星期日我们在动物园看见了一只老虎。,grade4-reviewed,klose:grade4_overrides
KV000021,klose,4,,The monkey climbed up the tree quickly.,那只猴子很快爬上了树。,grade4-reviewed,klose:grade4_overrides
KV000022,klose,4,,My cat sleeps under the chair every afternoon.,我的猫每天下午都睡在椅子下面。,grade4-reviewed,klose:grade4_overrides
KV000023,klose,4,,What is this?,这是什么？,migrated-curated,rj_start1:curation
KV000024,klose,4,,"I found a pencil, and it is yours.",我找到一支铅笔，它是你的。,grade4-reviewed,klose:grade4_overrides
KV000025,klose,4,,There is one apple left on the plate.,盘子里还剩一个苹果。,grade4-reviewed,klose:grade4_overrides
KV000026,klose,4,,We have two English classes today.,我们今天有两节英语课。,grade4-reviewed,klose:grade4_overrides
KV000027,klose,4,,Three students are reading in the library.,三个学生正在图书馆读书。,grade4-reviewed,klose:grade4_overrides
KV000028,klose,4,,Our classroom has four big windows.,我们的教室有四扇大窗户。,grade4-reviewed,klose:grade4_overrides
KV000029,klose,4,,The bus leaves at five o'clock.,公交车五点出发。,grade4-reviewed,klose:grade4_overrides
KV000030,klose,4,,I get up at six on school days.,上学日我六点起床。,grade4-reviewed,klose:grade4_overrides
KV000031,klose,4,,There are seven days in a week.,一周有七天。,grade4-reviewed,klose:grade4_overrides
KV000032,klose,4,,My first class is at eight.,我的第一节课八点开始。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000033,klose,4,,I go to bed before nine.,我九点前上床睡觉。,grade4-reviewed,klose:grade4_overrides
KV000034,klose,4,,Ten students joined the school club.,十名学生参加了学校社团。,grade4-reviewed,klose:grade4_overrides
KV000035,klose,4,,How many books?,有多少本书？,migrated-curated,rj_start1:curation
KV000036,klose,4,,How many apples?,有多少个苹果？,migrated-curated,rj_start1:curation
KV000037,klose,4,,There are two books.,有两本书。,migrated-curated,rj_start1:curation
KV000038,klose,4,,There are three cats.,有三只猫。,migrated-curated,rj_start1:curation
KV000039,klose,4,,My black schoolbag is under the desk.,我的黑色书包在课桌下面。,grade4-reviewed,klose:grade4_full_review_a
KV000040,klose,4,,The yellow ruler is next to my pencil.,黄色尺子在我的铅笔旁边。,grade4-reviewed,klose:grade4_full_review_a
KV000041,klose,4,,I put the blue book in my schoolbag.,我把蓝色的书放进书包里。,grade4-reviewed,klose:grade4_full_review_a
KV000042,klose,4,,The red apple is on my desk.,红苹果在我的课桌上。,grade4-reviewed,klose:grade4_full_review_a
KV000043,klose,4,,My green pencil is in the box.,我的绿色铅笔在盒子里。,grade4-reviewed,klose:grade4_full_review_a
KV000044,klose,4,,What colour is it?,它是什么颜色？,migrated-curated,rj_start1:curation
KV000045,klose,4,,I usually eat an apple after lunch.,我通常午饭后吃一个苹果。,grade4-reviewed,klose:grade4_overrides
KV000046,klose,4,,Dad bought some pears at the market.,爸爸在市场买了一些梨。,grade4-reviewed,klose:grade4_overrides
KV000047,klose,4,,I put a banana in my lunch box.,我在午餐盒里放了一根香蕉。,grade4-reviewed,klose:grade4_overrides
KV000048,klose,4,,We shared an orange after PE class.,体育课后我们分吃了一个橙子。,grade4-reviewed,klose:grade4_overrides
KV000049,klose,4,,Do you like apples?,你喜欢苹果吗？,migrated-curated,rj_start1:curation
KV000050,klose,4,,Do you like cats?,你喜欢猫吗？,migrated-curated,rj_start1:curation
KV000051,klose,4,,I like reading books on rainy days.,我喜欢在下雨天读书。,grade4-reviewed,klose:grade4_overrides
KV000052,klose,4,,Yes I do.,是的，我喜欢。,migrated-curated,rj_start1:curation
KV000053,klose,4,,No I don't.,不，我不喜欢。,migrated-curated,rj_start1:curation
KV000054,klose,4,,My schoolbag is under the chair.,我的书包在椅子下面。,grade4-reviewed,klose:grade4_full_review_a
KV000055,klose,4,,I put my books on the desk after class.,下课后我把书放在课桌上。,grade4-reviewed,klose:grade4_full_review_a
KV000056,klose,4,,There are some English words on the blackboard.,黑板上有一些英文单词。,grade4-reviewed,klose:grade4_full_review_a
KV000057,klose,4,,My English book is on the desk.,我的英语书在课桌上。,grade4-reviewed,klose:grade4_full_review_a
KV000058,klose,4,,The cat is sleeping under the chair.,猫正在椅子下面睡觉。,grade4-reviewed,klose:grade4_full_review_a
KV000059,klose,4,,There are three pencils in the box.,盒子里有三支铅笔。,grade4-reviewed,klose:grade4_full_review_a
KV000060,klose,4,,Where is the book I put on the desk?,我放在课桌上的那本书在哪里？,grade4-reviewed,klose:grade4_full_review_a
KV000061,klose,4,,The teacher is reading a book to us.,老师正在给我们读一本书。,grade4-reviewed,klose:grade4_full_review_a
KV000062,klose,4,,Please turn off the light before you leave.,离开前请关灯。,grade4-reviewed,klose:grade4_full_review_a
KV000063,klose,4,,I read a book on my bed after school.,放学后我在床上读书。,grade4-reviewed,klose:grade4_full_review_a
KV000064,klose,4,,Please close the door before class.,上课前请把门关上。,grade4-reviewed,klose:grade4_full_review_a
KV000065,klose,4,,I keep my pencils in this box.,我把铅笔放在这个盒子里。,grade4-reviewed,klose:grade4_full_review_a
KV000066,klose,4,,There is a small park near my school.,我的学校附近有一个小公园。,grade4-reviewed,klose:grade4_full_review_a
KV000067,klose,4,,The cat is hiding behind the door.,猫正躲在门后面。,grade4-reviewed,klose:grade4_full_review_a
KV000068,klose,4,,We went to Beijing by plane last summer.,去年夏天我们坐飞机去了北京。,grade4-reviewed,klose:grade4_overrides
KV000069,klose,4,,The children are playing with a ball outside.,孩子们正在外面玩球。,grade4-reviewed,klose:grade4_overrides
KV000070,klose,4,,My little sister keeps her doll on the bed.,我的妹妹把她的玩偶放在床上。,grade4-reviewed,klose:grade4_overrides
KV000071,klose,4,,We took a train to visit my grandparents.,我们坐火车去看望祖父母。,grade4-reviewed,klose:grade4_overrides
KV000072,klose,4,,Dad drives us to the park by car.,爸爸开车带我们去公园。,grade4-reviewed,klose:grade4_overrides
KV000073,klose,4,,We saw a brown bear in the picture book.,我们在图画书里看到一只棕熊。,grade4-reviewed,klose:grade4_overrides
KV000074,klose,4,,I can finish my homework by myself.,我能自己完成作业。,grade4-reviewed,klose:grade4_overrides
KV000075,klose,4,,Are you sure this is your book?,你确定这是你的书吗？,grade4-reviewed,klose:grade4_full_review_a
KV000076,klose,4,,I'm sorry I'm late for class.,对不起，我上课迟到了。,grade4-reviewed,klose:grade4_full_review_a
KV000077,klose,4,,We usually eat rice with vegetables.,我们通常把米饭和蔬菜一起吃。,grade4-reviewed,klose:grade4_overrides
KV000078,klose,4,,I had noodles for dinner yesterday.,我昨天晚饭吃了面条。,grade4-reviewed,klose:grade4_overrides
KV000079,klose,4,,Eating more vegetables is good for us.,多吃蔬菜对我们有好处。,grade4-reviewed,klose:grade4_overrides
KV000080,klose,4,,We had fish and rice for lunch.,我们午饭吃了鱼和米饭。,grade4-reviewed,klose:grade4_overrides
KV000081,klose,4,,My mother cooked chicken for dinner.,妈妈晚饭做了鸡肉。,grade4-reviewed,klose:grade4_overrides
KV000082,klose,4,,I had an egg and some milk for breakfast.,我早饭吃了一个鸡蛋，还喝了些牛奶。,grade4-reviewed,klose:grade4_overrides
KV000083,klose,4,,I am hungry after school.,放学后我饿了。,grade4-reviewed,klose:grade4_full_review_a
KV000084,klose,4,,I want to read this book after dinner.,晚饭后我想读这本书。,grade4-reviewed,klose:grade4_full_review_a
KV000085,klose,4,,I packed a book and a pencil in my bag.,我把一本书和一支铅笔装进包里。,grade4-reviewed,klose:grade4_overrides
KV000086,klose,4,,I usually have orange juice at breakfast.,我早餐通常喝橙汁。,grade4-reviewed,klose:grade4_full_review_a
KV000087,klose,4,,My grandfather has tea after lunch.,我爷爷午饭后喝茶。,grade4-reviewed,klose:grade4_full_review_a
KV000088,klose,4,,I have milk for breakfast every morning.,我每天早饭都喝牛奶。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000089,klose,4,,I always take some water to school.,我总会带些水去学校。,grade4-reviewed,klose:grade4_full_review_a
KV000090,klose,4,,I am thirsty after PE class.,体育课后我口渴了。,grade4-reviewed,klose:grade4_full_review_a
KV000091,klose,4,,Thanks for the water.,谢谢你的水。,migrated-curated,rj_start1:curation
KV000092,klose,4,,I wore a blue shirt to school today.,我今天穿了一件蓝色衬衫去学校。,grade4-reviewed,klose:grade4_overrides
KV000093,klose,4,,This T-shirt is too small for me now.,这件T恤现在对我来说太小了。,grade4-reviewed,klose:grade4_overrides
KV000094,klose,4,,She wore a red skirt to the party.,她穿着一条红裙子去参加聚会。,grade4-reviewed,klose:grade4_overrides
KV000095,klose,4,,My sister wore a yellow dress to the party.,我妹妹穿着一条黄色连衣裙去参加聚会。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000096,klose,4,,This sock is blue.,这只短袜是蓝色的。,grade4-reviewed,klose:actual_grade4_reuse_overrides
KV000097,klose,4,,I wear shorts when it is hot.,天气热的时候我穿短裤。,grade4-reviewed,klose:grade4_full_review_a
