Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,MeaningRaw,Books,Tags
morning tea,,,早茶,We had morning tea at the hotel.,我们在酒店吃了早茶。,n. 早茶,6年级上,rj_start1 grade::6 semester::上 appears::6年级上
soup,[suːp],[suːp],汤,This soup tastes delicious.,这汤尝起来很好喝。,"n. 汤，羹；马力
vt. 加速；增加马力",6年级上,rj_start1 grade::6 semester::上 appears::6年级上
the Potala Palace,,,布达拉宫,The Potala Palace is in Lhasa.,布达拉宫在拉萨。,布达拉宫；中国西藏布达拉宫,6年级上,rj_start1 grade::6 semester::上 appears::6年级上
the Summer Palace,,,颐和园,The Summer Palace is in Beijing.,颐和园在北京。,颐和园；颐和圆；之颐和园,6年级上,rj_start1 grade::6 semester::上 appears::6年级上
the Terracotta Army,,,兵马俑,The Terracotta Army is in Xi'an.,兵马俑在西安。,无,6年级上,rj_start1 grade::6 semester::上 appears::6年级上
vacation,[veɪˈkeɪʃn; vəˈkeɪʃn],[veɪˈkeɪʃn; vəˈkeɪʃn],假期,We travelled during the vacation.,我们假期里去旅行了。,"n. 假期；（房屋）搬出
vi. 休假，度假",6年级上,rj_start1 grade::6 semester::上 appears::6年级上
taste,[teɪst],[teɪst],味道；尝起来,The soup tastes good.,这汤味道很好。,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道",6年级上,rj_start1 grade::6 semester::上 appears::6年级上
map,[mæp],[mæp],地图,Find Beijing on the map.,在地图上找到北京。,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置",6年级上,rj_start1 grade::6 semester::上 appears::6年级上
north,[nɔːθ],[nɔːrθ],北；北方,Beijing is in the north of China.,北京在中国北方。,"n. 北，北方
adj. 北方的；朝北的
adv. 在北方，向北方",6年级上,rj_start1 grade::6 semester::上 appears::6年级上
south,[saʊθ],[saʊθ],南；南方,Guangzhou is in the south of China.,广州在中国南方。,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方",6年级上,rj_start1 grade::6 semester::上 appears::6年级上
east,[iːst],[iːst],东；东方,Shanghai is in the east of China.,上海在中国东部。,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方",6年级上,rj_start1 grade::6 semester::上 appears::6年级上
west,[west],[west],西；西方,Tibet is in the west of China.,西藏在中国西部。,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方",6年级上,rj_start1 grade::6 semester::上 appears::6年级上
famous,[ˈfeɪməs],[ˈfeɪməs],著名的,Beijing is famous for the Great Wall.,北京因长城而著名。,adj. 著名的；极好的，非常令人满意的,6年级上,rj_start1 grade::6 semester::上 appears::6年级上
temple,[ˈtemp(ə)l],[ˈtempl],寺庙；庙宇,We visited an old temple.,我们参观了一座古老的寺庙。,n. 庙宇；寺院；神殿；太阳穴,6年级上,rj_start1 grade::6 semester::上 appears::6年级上
around,[əˈraʊnd],[əˈraʊnd],周围；四处,We walked around the lake.,我们绕着湖走了一圈。,"prep. 四处；在…周围
adv. 大约；到处；在附近",6年级上,rj_start1 grade::6 semester::上 appears::6年级上
