NoteID,ExampleSentence,ExampleTranslation
KV000001,I read a book before bed.,我睡前读一本书。
KV000002,I use a ruler to draw a line.,我用尺子画一条线。
KV000003,I write my name with a pencil.,我用铅笔写自己的名字。
KV000004,My books are in my schoolbag.,我的书在书包里。
KV000005,Our teacher reads stories to us.,我们的老师给我们读故事。
KV000006,I usually walk to school with Dad.,我通常和爸爸一起走路上学。
KV000007,We have English class on Monday.,我们星期一有英语课。
KV000008,I saw a bird in the tree.,我看到树上有一只鸟。
KV000009,She has an orange in her bag.,她的包里有一个橙子。
KV000010,Wash your face before breakfast.,早饭前洗脸。
KV000011,My left ear hurts today.,我今天左耳疼。
KV000012,Close your eyes for a minute.,闭上眼睛一分钟。
KV000013,My nose feels cold in winter.,冬天我的鼻子感觉很冷。
KV000014,Please open your mouth and say Ah.,请张开嘴说“啊”。
KV000015,This book is more interesting than that one.,这本书比那本更有趣。
KV000016,My classroom is on the second floor.,我的教室在二楼。
KV000017,My sister and I walk to school together.,我和妹妹一起走路上学。
KV000018,The dog is playing with a ball outside.,那只狗正在外面玩球。
KV000019,A small bird is sitting in the tree.,一只小鸟正停在树上。
KV000020,We saw a tiger at the zoo last Sunday.,上星期日我们在动物园看见了一只老虎。
KV000021,The monkey climbed up the tree quickly.,那只猴子很快爬上了树。
KV000022,My cat sleeps under the chair every afternoon.,我的猫每天下午都睡在椅子下面。
KV000024,"I found a pencil, and it is yours.",我找到一支铅笔，它是你的。
KV000025,There is one apple left on the plate.,盘子里还剩一个苹果。
KV000026,We have two English classes today.,我们今天有两节英语课。
KV000027,Three students are reading in the library.,三个学生正在图书馆读书。
KV000028,Our classroom has four big windows.,我们的教室有四扇大窗户。
KV000029,The bus leaves at five o'clock.,公交车五点出发。
KV000030,I get up at six on school days.,上学日我六点起床。
KV000031,There are seven days in a week.,一周有七天。
KV000032,Our first class starts at eight.,我们的第一节课八点开始。
KV000033,I go to bed before nine.,我九点前上床睡觉。
KV000034,Ten students joined the school club.,十名学生参加了学校社团。
KV000045,I usually eat an apple after lunch.,我通常午饭后吃一个苹果。
KV000046,Dad bought some pears at the market.,爸爸在市场买了一些梨。
KV000047,I put a banana in my lunch box.,我在午餐盒里放了一根香蕉。
KV000048,We shared an orange after PE class.,体育课后我们分吃了一个橙子。
KV000051,I like reading books on rainy days.,我喜欢在下雨天读书。
KV000068,We went to Beijing by plane last summer.,去年夏天我们坐飞机去了北京。
KV000069,The children are playing with a ball outside.,孩子们正在外面玩球。
KV000070,My little sister keeps her doll on the bed.,我的妹妹把她的玩偶放在床上。
KV000071,We took a train to visit my grandparents.,我们坐火车去看望祖父母。
KV000072,Dad drives us to the park by car.,爸爸开车带我们去公园。
KV000073,We saw a brown bear in the picture book.,我们在图画书里看到一只棕熊。
KV000074,I can finish my homework by myself.,我能自己完成作业。
KV000077,We usually eat rice with vegetables.,我们通常把米饭和蔬菜一起吃。
