SourceID,SourceItemKey,NoteID,Decision,Status
rj_start1,book,KV000001,baseline-confirmed,confirmed
rj_start1,ruler,KV000002,baseline-confirmed,confirmed
rj_start1,pencil,KV000003,baseline-confirmed,confirmed
rj_start1,schoolbag,KV000004,baseline-confirmed,confirmed
rj_start1,teacher,KV000005,baseline-confirmed,confirmed
rj_start1,i,KV000006,baseline-confirmed,confirmed
rj_start1,have,KV000007,baseline-confirmed,confirmed
rj_start1,a,KV000008,baseline-confirmed,confirmed
rj_start1,an,KV000009,baseline-confirmed,confirmed
rj_start1,face,KV000010,baseline-confirmed,confirmed
rj_start1,ear,KV000011,baseline-confirmed,confirmed
rj_start1,eye,KV000012,baseline-confirmed,confirmed
rj_start1,nose,KV000013,baseline-confirmed,confirmed
rj_start1,mouth,KV000014,baseline-confirmed,confirmed
rj_start1,this,KV000015,baseline-confirmed,confirmed
rj_start1,is,KV000016,baseline-confirmed,confirmed
rj_start1,my,KV000017,baseline-confirmed,confirmed
rj_start1,dog,KV000018,baseline-confirmed,confirmed
rj_start1,bird,KV000019,baseline-confirmed,confirmed
rj_start1,tiger,KV000020,baseline-confirmed,confirmed
rj_start1,monkey,KV000021,baseline-confirmed,confirmed
rj_start1,cat,KV000022,baseline-confirmed,confirmed
rj_start1,what,KV000023,baseline-confirmed,confirmed
rj_start1,it,KV000024,baseline-confirmed,confirmed
rj_start1,one,KV000025,baseline-confirmed,confirmed
rj_start1,two,KV000026,baseline-confirmed,confirmed
rj_start1,three,KV000027,baseline-confirmed,confirmed
rj_start1,four,KV000028,baseline-confirmed,confirmed
rj_start1,five,KV000029,baseline-confirmed,confirmed
rj_start1,six,KV000030,baseline-confirmed,confirmed
rj_start1,seven,KV000031,baseline-confirmed,confirmed
rj_start1,eight,KV000032,baseline-confirmed,confirmed
rj_start1,nine,KV000033,baseline-confirmed,confirmed
rj_start1,ten,KV000034,baseline-confirmed,confirmed
rj_start1,how,KV000035,baseline-confirmed,confirmed
rj_start1,many,KV000036,baseline-confirmed,confirmed
rj_start1,are,KV000037,baseline-confirmed,confirmed
rj_start1,there,KV000038,baseline-confirmed,confirmed
rj_start1,black,KV000039,baseline-confirmed,confirmed
rj_start1,yellow,KV000040,baseline-confirmed,confirmed
rj_start1,blue,KV000041,baseline-confirmed,confirmed
