NoteID,ExampleSentence,ExampleTranslation
KV000154,We often fly a kite in the park on windy days.,有风的日子我们经常在公园放风筝。
KV000156,I make a model plane with my friend after school.,放学后我和朋友一起做飞机模型。
KV000167,Wow this model plane is great!,哇，这个飞机模型真棒！
KV000182,Our class has thirty students.,我们班有三十名学生。
KV000183,There are forty chairs in our classroom.,我们的教室里有四十把椅子。
KV000184,The library has fifty books for children.,图书馆有五十本给孩子们看的书。
KV000190,I usually get up at seven on school days.,上学日我通常七点起床。
KV000191,I eat breakfast before I go to school.,我上学前吃早饭。
KV000192,I usually go to school by bus.,我通常坐公交车上学。
KV000193,I eat lunch with my classmates at school.,我在学校和同学们一起吃午饭。
KV000194,I usually go home after school at five.,我通常放学后五点回家。
KV000195,My family eats dinner at home every evening.,我们一家每天晚上在家吃晚饭。
KV000196,I usually go to bed before nine.,我通常九点前上床睡觉。
KV000198,I read English for ten minutes every day.,我每天读十分钟英语。
KV000208,There are twelve months in a year.,一年有十二个月。
KV000211,There are twenty students in our class.,我们班有二十名学生。
KV000212,I am in Grade Four this year.,我今年上四年级。
KV000213,What is your name and age?,你叫什么名字，多大了？
KV000214,Dear Amy thank you for your birthday card.,亲爱的艾米，谢谢你的生日贺卡。
KV000215,Playing sports helps keep my body strong.,运动有助于让我的身体保持强壮。
KV000220,My leg hurts after running.,跑步后我的腿疼。
KV000221,My right foot hurts after football.,踢足球后我的右脚疼。
KV000222,My feet are cold after walking in the snow.,在雪地里走过以后我的脚很冷。
KV000227,Be careful because this dog may bite.,小心，因为这只狗可能会咬人。
KV000233,I have bread and milk for breakfast.,我早餐吃面包、喝牛奶。
KV000237,We need two potatoes for dinner.,我们晚饭需要两个土豆。
KV000239,We do not eat much meat at home.,我们在家不吃很多肉。
KV000242,I want to buy a new book at the bookshop.,我想在书店买一本新书。
KV000244,Two ducks are swimming in the lake.,两只鸭子正在湖里游泳。
KV000246,My dog is our family pet.,我的狗是我们家的宠物。
KV000247,The long snake is moving across the grass.,那条长蛇正在草地上移动。
KV000248,The turtle is swimming in the lake.,乌龟正在湖里游泳。
KV000249,This small box is for my pencils.,这个小盒子是用来放我的铅笔的。
KV000250,This ruler is longer than mine.,这把尺子比我的长。
KV000254,I wear a cap when I play outside.,我在外面玩的时候戴帽子。
KV000255,Put on your coat before you go outside.,出去前穿上你的外套。
KV000256,My shoes are dirty after playing football.,踢完足球后我的鞋脏了。
KV000257,I wear a warm sweater in winter.,冬天我穿一件暖和的毛衣。
KV000259,I wear gloves when it is cold.,天气冷的时候我戴手套。
KV000260,These trousers are too long for me.,这条裤子对我来说太长了。
KV000263,We have PE twice a week.,我们每周有两次体育课。
KV000264,The bus will be here soon.,公交车很快就会到这里。
KV000280,We are having a birthday party this Saturday.,这个星期六我们要举办生日聚会。
KV000281,The birthday cake looks delicious.,这个生日蛋糕看起来很好吃。
KV000282,Chinese is my first class on Monday.,星期一我的第一节课是语文。
KV000284,We have science after English on Tuesday.,星期二英语课后我们上科学课。
KV000285,We play football in PE class.,我们在体育课上踢足球。
KV000287,Maths is our first class on Wednesday.,星期三我们的第一节课是数学。
KV000288,We draw pictures in art class.,我们在美术课上画画。
KV000289,We use computers in computer class.,我们在计算机课上使用电脑。
KV000290,We often play basketball after school.,我们放学后经常打篮球。
KV000295,We play basketball on the playground after school.,我们放学后在操场上打篮球。
KV000299,My room has a bed and a desk.,我的房间里有一张床和一张书桌。
KV000301,They are reading books in the library.,他们正在图书馆里读书。
KV000306,We sing English songs in music class.,我们在音乐课上唱英文歌。
KV000307,I often read books in the library after school.,我放学后经常在图书馆看书。
KV000310,I usually wake up before seven on school days.,上学日我通常七点前醒来。
KV000313,My uncle often plays football with me.,我叔叔经常和我一起踢足球。
KV000314,My aunt teaches English at a school.,我阿姨在一所学校教英语。
KV000315,My cousin and I often play chess.,我和表兄弟姐妹经常一起下棋。
KV000316,West Lake is beautiful in spring.,春天的西湖很美。
KV000319,Do you know where the library is?,你知道图书馆在哪里吗？
KV000330,I often play with my dog after school.,我放学后经常和我的狗一起玩。
KV000332,Everyone in our class likes the new book.,我们班每个人都喜欢这本新书。
KV000333,The children are playing football in the park.,孩子们正在公园里踢足球。
KV000335,I usually read books at home after dinner.,我通常晚饭后在家看书。
KV000341,Mum is cooking dinner in the kitchen.,妈妈正在厨房里做晚饭。
KV000343,My cat sleeps on the sofa in the afternoon.,我的猫下午睡在沙发上。
