ProposalKey,MatchKey,OccurrenceKeys,SuggestedAction,SuggestedCanonicalMatchKey,CanonicalRelation,ObjectType,TargetSense,Status,Confidence,DecisionBasis,Rationale,ActionabilityScore,ReviewLane,ReviewMode,AutoApply
proposal:became,became,"[""waiyan_start1|g4-upper|r066|became""]",reuse-identity,become,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links became to reviewed canonical become (成为；变得). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:brought,brought,"[""waiyan_start1|g6-lower|r062|brought""]",reuse-identity,bring,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links brought to reviewed canonical bring (带来；拿来). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:came,came,"[""waiyan_start1|g4-upper|r083|came""]",reuse-identity,come,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links came to reviewed canonical come (来). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:drew,drew,"[""waiyan_start1|g5-lower|r050|drew""]",reuse-identity,draw,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links drew to reviewed canonical draw (画；绘画). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:forgot,forgot,"[""waiyan_start1|g6-upper|r060|forgot""]",reuse-identity,forget,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links forgot to reviewed canonical forget (忘记). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:learnt,learnt,"[""waiyan_start1|g4-lower|r028|learnt""]",reuse-identity,learn,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links learnt to reviewed canonical learn (学习；学会). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:met,met,"[""waiyan_start1|g5-lower|r072|met""]",reuse-identity,meet,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links met to reviewed canonical meet (遇见；见面). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:ran,ran,"[""waiyan_start1|g4-lower|r020|ran""]",reuse-identity,run,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links ran to reviewed canonical run (跑；奔跑). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:rode,rode,"[""renjiao_start3|g6-lower|r053|rode""]",reuse-identity,ride,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links rode to reviewed canonical ride (骑；乘坐). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:sent,sent,"[""waiyan_start1|g5-lower|r018|sent""]",reuse-identity,send,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links sent to reviewed canonical send (发送；寄送). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:swam,swam,"[""renjiao_start1|g5-lower|r073|swam""]",reuse-identity,swim,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links swam to reviewed canonical swim (游泳). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:taught,taught,"[""waiyan_start1|g6-lower|r076|taught""]",reuse-identity,teach,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links taught to reviewed canonical teach (教；教授). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:told,told,"[""waiyan_start1|g5-lower|r060|told""]",reuse-identity,tell,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links told to reviewed canonical tell (告诉；讲述). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:wore,wore,"[""waiyan_start1|g4-upper|r048|wore""]",reuse-identity,wear,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links wore to reviewed canonical wear (穿；戴). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:wrote,wrote,"[""waiyan_start1|g6-upper|r016|wrote""]",reuse-identity,write,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links wrote to reviewed canonical write (写；书写). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,95,policy-executable,confirm-or-reject,no
proposal:ate,ate,"[""renjiao_start3|g6-lower|r055|ate"",""waiyan_start1|g4-upper|r041|ate""]",reuse-identity,eat,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links ate to reviewed canonical eat (吃). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,90,policy-executable,confirm-or-reject,no
proposal:bought,bought,"[""renjiao_start3|g6-lower|r058|bought"",""waiyan_start1|g4-upper|r047|bought""]",reuse-identity,buy,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links bought to reviewed canonical buy (买；购买). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,90,policy-executable,confirm-or-reject,no
proposal:gave,gave,"[""renjiao_start3|g6-upper|r022|gave"",""waiyan_start1|g6-upper|r040|gave""]",reuse-identity,give,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links gave to reviewed canonical give (给；给予). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,90,policy-executable,confirm-or-reject,no
proposal:slept,slept,"[""renjiao_start1|g5-lower|r079|slept"",""renjiao_start3|g6-lower|r030|slept""]",reuse-identity,sleep,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links slept to reviewed canonical sleep (睡觉；睡眠). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,90,policy-executable,confirm-or-reject,no
proposal:went,went,"[""renjiao_start3|g6-lower|r048|went"",""waiyan_start1|g4-upper|r033|went""]",reuse-identity,go,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links went to reviewed canonical go (去；走). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,90,policy-executable,confirm-or-reject,no
proposal:won,won,"[""renjiao_start1|g5-lower|r070|won"",""waiyan_start1|g4-upper|r085|won""]",reuse-identity,win,named-past-form,vocabulary,,reviewed,high,frozen-form-policy-directional-proposal,Frozen Stage-A form policy: directional named-past-form evidence links won to reviewed canonical win (赢；获胜). Current occurrence evidence must still be confirmed as the same lexical sense before applying this proposal.,90,policy-executable,confirm-or-reject,no
