NoteID,PromptHint,Reason
KV000062,n.,sense-disambiguation-reviewed-20260912
KV000074,情态动词,sense-disambiguation-reviewed-20260912
KV000075,回应请求,sense-disambiguation-reviewed-20260912
KV000080,n.,sense-disambiguation-reviewed-20260912
KV000088,n.,sense-disambiguation-reviewed-20260912
KV000095,n.,sense-disambiguation-reviewed-20260912
KV000175,adj.,sense-disambiguation-reviewed-20260912
KV000176,adj.,sense-disambiguation-reviewed-20260912
KV000270,月份,sense-disambiguation-reviewed-20260912
KV000334,运动,sense-disambiguation-reviewed-20260912
KV000424,n.,sense-disambiguation-reviewed-20260912
KV000471,天文,sense-disambiguation-reviewed-20260912
KV000502,时间,sense-disambiguation-reviewed-20260912
KV000781,n.,sense-disambiguation-reviewed-20260912
KV000805,v.,sense-disambiguation-reviewed-20260912
KV000811,adj.,sense-disambiguation-reviewed-20260912
KV000813,v.,sense-disambiguation-reviewed-20260912
KV000816,搭配：there,sense-disambiguation-reviewed-20260912
KV000831,v.,sense-disambiguation-reviewed-20260912
KV000839,先后顺序,sense-disambiguation-reviewed-20260912
KV000863,状态,sense-disambiguation-reviewed-20260912
KV000872,购物,sense-disambiguation-reviewed-20260912
KV000876,价格,sense-disambiguation-reviewed-20260912
KV000878,服装,sense-disambiguation-reviewed-20260912
KV000885,n.,sense-disambiguation-reviewed-20260912
KV000889,树上,sense-disambiguation-reviewed-20260912
KV000890,v.,sense-disambiguation-reviewed-20260912
KV000913,人物,sense-disambiguation-reviewed-20260912
KV000937,电视,sense-disambiguation-reviewed-20260912
KV000938,条件与结果,sense-disambiguation-reviewed-20260912
KV000942,v.,sense-disambiguation-reviewed-20260912
KV000957,做事,sense-disambiguation-reviewed-20260912
KV000963,n.,sense-disambiguation-reviewed-20260912
KV000964,天气,sense-disambiguation-reviewed-20260912
KV000968,天气,sense-disambiguation-reviewed-20260912
KV000977,课程,sense-disambiguation-reviewed-20260912
KV000985,n.,sense-disambiguation-reviewed-20260912
KV000993,adv.,sense-disambiguation-reviewed-20260912
KV001007,时间,sense-disambiguation-reviewed-20260912
KV001014,展厅,sense-disambiguation-reviewed-20260912
KV001035,排队,sense-disambiguation-reviewed-20260912
KV001039,v.,sense-disambiguation-reviewed-20260912
KV001055,搭配：a walk,sense-disambiguation-reviewed-20260912
KV001067,v.,sense-disambiguation-reviewed-20260912
KV001085,n.,sense-disambiguation-reviewed-20260912
KV001095,情态动词,sense-disambiguation-reviewed-20260912
KV001141,v.,sense-disambiguation-reviewed-20260912
KV001142,v.,sense-disambiguation-reviewed-20260912
KV001143,机器,sense-disambiguation-reviewed-20260912
KV001158,adj.,sense-disambiguation-reviewed-20260912
KV001172,v.,sense-disambiguation-reviewed-20260912
KV001182,表演,sense-disambiguation-reviewed-20260912
KV001193,v.,sense-disambiguation-reviewed-20260912
KV001384,n.,sense-disambiguation-reviewed-20260912
KV001403,衣物,sense-disambiguation-reviewed-20260912
KV001404,设备,sense-disambiguation-reviewed-20260912
KV001405,交通,sense-disambiguation-reviewed-20260912
KV001561,n.,sense-disambiguation-reviewed-20260912
KV001562,v.,sense-disambiguation-reviewed-20260912
KV001724,身体状况,sense-disambiguation-reviewed-20260912
KV001747,n.,sense-disambiguation-reviewed-20260912
KV001895,重量,sense-disambiguation-reviewed-20260912
KV002042,n.,sense-disambiguation-reviewed-20260912
KV002043,v.,sense-disambiguation-reviewed-20260912
KV002131,称谓,sense-disambiguation-reviewed-20260912
KV002132,v.,sense-disambiguation-reviewed-20260912
KV002262,空间关系,sense-disambiguation-reviewed-20260912
KV002288,整体与部分,sense-disambiguation-reviewed-20260912
KV002294,钟点,sense-disambiguation-reviewed-20260912
KV002295,历史,sense-disambiguation-reviewed-20260912
KV002296,路线,sense-disambiguation-reviewed-20260912
KV002328,选项,sense-disambiguation-reviewed-20260912
KV002515,资源,sense-disambiguation-reviewed-20260912
KV002516,危险,sense-disambiguation-reviewed-20260912
KV002597,物体,sense-disambiguation-reviewed-20260912
KV002610,v.,sense-disambiguation-reviewed-20260912
KV002611,n.,sense-disambiguation-reviewed-20260912
KV002731,判断,sense-disambiguation-reviewed-20260912
KV002752,物品转移,sense-disambiguation-reviewed-20260912
KV002884,动作,sense-disambiguation-reviewed-20260912
KV002941,出行,sense-disambiguation-reviewed-20260912
