NoteID,CanonicalWord,InReviewedPronunciation,ChangedFields,OldBritish,British,OldAmerican,American,OldMeaningPrimary,MeaningPrimary,OldExampleSentence,ExampleSentence,OldExampleTranslation,ExampleTranslation,OldPromptHint,PromptHint,ReviewNote
KV000096,socks,no,ExampleSentence|ExampleTranslation,[sɒk],[sɒk],[sɑːk],[sɑːk],短袜,短袜,This sock is blue.,I can't find my blue socks this morning.,这只短袜是蓝色的。,今天早上我找不到我的蓝色袜子。,,,release-visible content changed after previous review; explicit re-review required
KV000142,Father Christmas,yes,British|American,,[fˈɑːðə kɹˈɪsməs],,[fˈɑːðɚ kɹˈɪsməs],圣诞老人,圣诞老人,Father Christmas puts presents under the tree.,Father Christmas puts presents under the tree.,圣诞老人把礼物放在树下。,圣诞老人把礼物放在树下。,,,release-visible content changed after previous review; explicit re-review required
KV000146,New Year,yes,British|American,,[njˈuː jˈiə],,[nˈuː jˈɪɹ],新年,新年,Happy New Year!,Happy New Year!,新年快乐！,新年快乐！,,,release-visible content changed after previous review; explicit re-review required
KV000153,play football,yes,British|American,,[plˈeɪ fˈʊtbɔːl],,[plˈeɪ fˈʊtbɔːl],踢足球,踢足球,I play football after school.,I play football after school.,我放学后踢足球。,我放学后踢足球。,,,release-visible content changed after previous review; explicit re-review required
KV000154,fly a kite,yes,British|American,,[flˈaɪ ɐ kˈaɪt],,[flˈaɪ ɐ kˈaɪt],放风筝,放风筝,We often fly a kite in the park on windy days.,We often fly a kite in the park on windy days.,有风的日子我们经常在公园放风筝。,有风的日子我们经常在公园放风筝。,,,release-visible content changed after previous review; explicit re-review required
KV000155,ride a bike,yes,British|American,,[ɹˈaɪd ɐ bˈaɪk],,[ɹˈaɪd ɐ bˈaɪk],骑自行车,骑自行车,I often ride a bike in the park after school.,I often ride a bike in the park after school.,我放学后经常在公园骑自行车。,我放学后经常在公园骑自行车。,,,release-visible content changed after previous review; explicit re-review required
KV000156,make a model plane,yes,British|American,,[mˌeɪk ɐ mˈɒdəl plˈeɪn],,[mˌeɪk ɐ mˈɑːdəl plˈeɪn],做飞机模型,做飞机模型,I make a model plane with my friend after school.,I make a model plane with my friend after school.,放学后我和朋友一起做飞机模型。,放学后我和朋友一起做飞机模型。,,,release-visible content changed after previous review; explicit re-review required
KV000174,warm,no,ExampleSentence|ExampleTranslation,[wɔːm],[wɔːm],[wɔːrm],[wɔːrm],温暖的,温暖的,It is warm today.,The weather gets warm in spring.,今天很暖和。,春天天气变暖。,,,release-visible content changed after previous review; explicit re-review required
KV000198,every day,yes,British|American,,[ˈɛvɹɪ dˈeɪ],,[ˈɛvɹi dˈeɪ],每天,每天,I read English for ten minutes every day.,I read English for ten minutes every day.,我每天读十分钟英语。,我每天读十分钟英语。,,,release-visible content changed after previous review; explicit re-review required
KV000240,shopping list,yes,British|American,,[ʃˈɒpɪŋ lˈɪst],,[ʃˈɑːpɪŋ lˈɪst],购物清单,购物清单,Milk and eggs are on my shopping list.,Milk and eggs are on my shopping list.,牛奶和鸡蛋在我的购物清单上。,牛奶和鸡蛋在我的购物清单上。,,,release-visible content changed after previous review; explicit re-review required
KV000256,shoes,no,ExampleSentence|ExampleTranslation,[ʃuː],[ʃuː],[ʃuː],[ʃuː],鞋,鞋,This shoe is black.,My shoes are dirty after playing football.,这只鞋是黑色的。,踢完足球后我的鞋脏了。,,,release-visible content changed after previous review; explicit re-review required
KV000259,gloves,no,ExampleSentence|ExampleTranslation,[ɡlʌv],[ɡlʌv],[ɡlʌv],[ɡlʌv],手套,手套,This glove is warm.,I wear gloves when it is cold.,这只手套很暖和。,天气冷的时候我戴手套。,,,release-visible content changed after previous review; explicit re-review required
KV000265,look forward to,yes,British|American,,[lˈʊk fˈɔːwəd tuː],,[lˈʊk fˈɔːɹwɚd tuː],期待；盼望,期待；盼望,I look forward to my birthday.,I look forward to my birthday.,我期待我的生日。,我期待我的生日。,,,release-visible content changed after previous review; explicit re-review required
KV000289,computer class,yes,British|American,,[kəmpjˈuːtə klˈas],,[kəmpjˈuːɾɚ klˈæs],计算机课,计算机课,We use computers in computer class.,We use computers in computer class.,我们在计算机课上使用电脑。,我们在计算机课上使用电脑。,,,release-visible content changed after previous review; explicit re-review required
KV000302,after school,yes,British|American,,[ˈaftə skˈuːl],,[ˈæftɚ skˈuːl],放学后,放学后,I play sports after school.,I play sports after school.,我放学后做运动。,我放学后做运动。,,,release-visible content changed after previous review; explicit re-review required
KV000304,draw pictures,yes,British|American,,[dɹˈɔː pˈɪktʃəz],,[dɹˈɔː pˈɪktʃɚz],画画,画画,I draw pictures after school with my friends.,I draw pictures after school with my friends.,我放学后和朋友们一起画画。,我放学后和朋友们一起画画。,,,release-visible content changed after previous review; explicit re-review required
KV000306,sing songs,yes,British|American,,[sˈɪŋ sˈɒŋz],,[sˈɪŋ sˈɔŋz],唱歌,唱歌,We sing English songs in music class.,We sing English songs in music class.,我们在音乐课上唱英文歌。,我们在音乐课上唱英文歌。,,,release-visible content changed after previous review; explicit re-review required
KV000311,be back,yes,British|American,,[biː bˈak],,[biː bˈæk],回来,回来,I will be back soon.,I will be back soon.,我很快回来。,我很快回来。,,,release-visible content changed after previous review; explicit re-review required
KV000331,in one hour,yes,British|American,,[ɪn wˈɒn ˈaʊə],,[ɪn wˈʌn ˈaʊɚ],一小时后,一小时后,I will be back in one hour.,I will be back in one hour.,我一小时后回来。,我一小时后回来。,,,release-visible content changed after previous review; explicit re-review required
KV000332,everyone,no,ExampleSentence|ExampleTranslation,[ˈevriwʌn],[ˈevriwʌn],[ˈevriwʌn],[ˈevriwʌn],每人,每人,Everyone is here.,Everyone in our class likes the new book.,每个人都在这里。,我们班每个人都喜欢这本新书。,,,release-visible content changed after previous review; explicit re-review required
KV000333,children,no,ExampleSentence|ExampleTranslation,[tʃaɪld],[tʃaɪld],[tʃaɪld],[tʃaɪld],儿童；小孩（复数 children）,儿童；小孩（复数 children）,The child is in the park.,The children are playing football in the park.,这个小孩在公园里。,孩子们正在公园里踢足球。,,,release-visible content changed after previous review; explicit re-review required
