ProvisionalIdentityKey,CanonicalMatchKey,DisplayWord,TargetSense,MatchedRuleKey,ReasonCode,PolicyVersion,Rationale,LearnerIdentityRemoved
candidate:20th,20th,20th,第二十；20日,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:21st,21st,21st,第二十一；21日,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:22nd,22nd,22nd,第二十二；22日,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:23rd,23rd,23rd,第二十三；23日,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:2nd,2nd,2nd,第二；2日,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:30th,30th,30th,第三十；30日,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:31st,31st,31st,第三十一；31日,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:3rd,3rd,3rd,第三；3日,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:4th,4th,4th,第四；4日,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:a,a,a,一个；一（用于辅音音素前）,article:a,trivial-function-word,klose-content-exclusion-v1,a is already below the intended third-party learning threshold; retain Source/Identity evidence but exclude from learner admission.,yes
candidate:an,an,an,一个；一（用于元音音素前）,article:an,trivial-function-word,klose-content-exclusion-v1,an is already below the intended third-party learning threshold; retain Source/Identity evidence but exclude from learner admission.,yes
candidate:eight,eight,eight,八,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:eighteen,eighteen,eighteen,十八,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:eighteenth,eighteenth,eighteenth,第十八,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:eighth,eighth,eighth,第八,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:eighty,eighty,eighty,八十,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:eleven,eleven,eleven,十一,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
