MatchKey,DisplayForms,Definitions,OccurrenceCount,Books,CandidateClass,CandidateNoteIDs,CandidateWords,CandidateSenses,AutoDecision,NeedsSenseReview
a,a,n. 字母A;第一流的;学业成绩达最高标准的评价符号 abbr. [物]安(ampere),1,2年级上,exact-single,KV000008,a,一；一个,reuse-candidate,yes
a few,a few,na. 几个;〔反语〕很多;〈俚〉一点点,1,6年级下,no-existing-match,,,,new-identity-candidate,yes
about,about,prep. 关于;大约 n. 大致;粗枝大叶;不拘小节的人 adj. 在附近的;四处走动的;在起作用的 adv. 大约;周围;到处,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
afraid,afraid,adj. 害怕的;恐怕;担心的,1,3年级下,no-existing-match,,,,new-identity-candidate,yes
after,after,"conj. 在......之后 prep. 在......之后 adj. 以后的 adv. 后来,以后",1,2年级上,no-existing-match,,,,new-identity-candidate,yes
afternoon,afternoon,"n. 午后,下午",1,5年级上,exact-single,KV000231,afternoon,下午,reuse-candidate,yes
again,again,"adv. 又,此外;再一次;再说;增加 n. (英、保)阿盖恩",1,4年级上,no-existing-match,,,,new-identity-candidate,yes
ago,ago,"adj. 以前的;过去的 adv. 以前,以往",1,6年级上,no-existing-match,,,,new-identity-candidate,yes
air,air,"n. 空气,大气;天空;样子;曲调 vt. 使通风,晾干;夸耀 vi. 通风",1,4年级上,no-existing-match,,,,new-identity-candidate,yes
all,all,n. 全部 adj. 全部的 adv. 全然地;越发 pron. 全部,1,6年级下,exact-single,KV000528,all,全部；所有,reuse-candidate,yes
also,also,conj. 并且;另外 adv. 也;而且;同样,1,6年级下,exact-single,KV000561,also,也；还,reuse-candidate,yes
an,an,art. 一(在元音音素前),1,2年级下,exact-single,KV000009,an,一；一个,reuse-candidate,yes
and,and,"conj. 和,与;就;而且;但是;然后",1,2年级上,exact-single,KV000085,and,和；并且,reuse-candidate,yes
angry,angry,adj. 生气的;愤怒的;狂暴的;(伤口等)发炎的,1,6年级上,exact-single,KV000730,angry,生气的,reuse-candidate,yes
animal,animal,n. 动物 动物的,1,6年级上,exact-single,KV000542,animal,动物,reuse-candidate,yes
answer,answer,n. 回答;答案;答辩 vt. 回答;符合 vi. 回答;符合,1,6年级下,no-existing-match,,,,new-identity-candidate,yes
any,any,adj. 任何的;所有的;丝毫 pron. 任何;任何一个;若干 adv. 稍微;少许,1,3年级下,exact-single,KV000881,any,任何的；任一的,reuse-candidate,yes
apple,apple,"n. 苹果,苹果树,苹果似的东西;[美俚]炸弹,手榴弹,(棒球的)球;[美俚]人,家伙。",2,1年级下|3年级下,exact-single,KV000045,apple,苹果,reuse-candidate,yes
april,April,n. 四月,1,3年级上,exact-single,KV000269,April,四月,reuse-candidate,yes
are,are,v. 是(be的第二人称单复数现在式) n. 公亩,1,2年级上,exact-single,KV000037,are,是,reuse-candidate,yes
arm,arm,n. 手臂;武器;袖子;装备;部门 vt. 武装;备战 vi. 武装起来,1,2年级上,exact-single,KV000218,arm,手臂,reuse-candidate,yes
around,around,prep. 四处;在...周围 adv. 大约;到处;在附近,1,6年级上,exact-single,KV000688,around,周围；四处,reuse-candidate,yes
art,art,n. 艺术;美术;艺术品 v. 是(be的变体) adj. 艺术的;艺术品的,1,5年级上,exact-single,KV000288,art,美术；美术课,reuse-candidate,yes
as,as,conj. 因为;随着;虽然;依照;当...时 prep. 如同;当作;以...的身份 adv. 同样地;和...一样的,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
ask,ask,"vt. 问,询问;要求;需要;邀请;讨价 vi. 问,询问;要求",1,5年级上,no-existing-match,,,,new-identity-candidate,yes
at,at,prep. 在(表示存在或出现的地点、场所、位置、空间);以(某种价格、速度等);向;达;因为;朝;忙于 n. 阿特(老挝货币基本单位att);[化]砹(极不稳定放射性元素) abbr. 密封的(airtight);气温(air temperature),1,2年级上,exact-single,KV000199,at,在……时刻,reuse-candidate,yes
august,August,n. 八月(简写为Aug) adj. 威严的;令人敬畏的,1,3年级上,exact-single,KV000273,August,八月,reuse-candidate,yes
aunt,aunt,n. 阿姨;姑妈;伯母;舅妈,1,3年级下,exact-single,KV000314,aunt,阿姨；姑姑；姨妈等,reuse-candidate,yes
autumn,autumn,"n. 秋天;成熟期;渐衰期,凋落期 adj. 秋天的,秋季的",1,5年级上,exact-single,KV000171,autumn,秋天,reuse-candidate,yes
baby,baby,"n. 婴儿,婴孩;孩子气的人 adj. 婴儿的;幼小的 vt. 纵容,娇纵;把......当婴儿般对待",1,2年级上,no-existing-match,,,,new-identity-candidate,yes
back,back,n. 后面;背部;靠背;足球等的后卫;书报等的末尾 adj. 后面的;过去的;拖欠的 vt. 支持;后退;背书;下赌注 adv. 以前;向后地;来回地;上溯;回来;回原处 vi. 后退;背靠;倒退,1,2年级下,no-existing-match,,,,new-identity-candidate,yes
bad,bad,"n. 坏事;坏人 adj. 坏的;严重的;劣质的 adv. 很,非常;坏地;邪恶地",1,4年级上,exact-single,KV000226,bad,坏的；糟糕的,reuse-candidate,yes
bag,bag,"n. 袋;猎获物;(俚)一瓶啤酒 vt. 猎获;把...装入袋中;占据,私吞;使膨大 vi. 松垂",2,1年级上|2年级下,no-existing-match,,,,new-identity-candidate,yes
ball,ball,n. 球;舞会 vt. 捏成球形 vi. 成团块,2,1年级下|3年级上,exact-single,KV000069,ball,球,reuse-candidate,yes
banana,banana,n. 香蕉;喜剧演员;大鹰钩鼻,2,1年级下|3年级下,exact-single,KV000047,banana,香蕉,reuse-candidate,yes
baseball,baseball,n. 棒球;棒球运动,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
basketball,basketball,n. 篮球;篮球运动,1,5年级上,exact-single,KV000345,basketball,篮球,reuse-candidate,yes
