GateKey,MatchKey,DecisionKey,BaseForm,FormType,Scope,CurrentDecisionAction,CurrentDecisionStatus,CanonicalMatchKey,CurrentOccurrenceCount,ReviewedOccurrenceCount,PreviewContributionRemoved,PolicyVersion,Rationale
past:ate,ate,surface:ate,eat,past-form,matchkey,reuse-identity,reviewed,eat,11,11,11,klose-grammar-gate-v1,纯过去式形态；当前不进入 Klose learner vocabulary。
past:became,became,surface:became,become,past-form,matchkey,reuse-identity,reviewed,become,2,2,2,klose-grammar-gate-v1,纯过去式形态；当前不进入 Klose learner vocabulary。
past:began,began,surface:began,begin,past-form,matchkey,reuse-identity,reviewed,begin,1,1,1,klose-grammar-gate-v1,begin 的过去式；Identity 复用 begin，当前 Klose learner stage 隔离。
past:bought,bought,surface:bought,buy,past-or-past-participle,matchkey,reuse-identity,reviewed,buy,6,6,6,klose-grammar-gate-v1,过去式/过去分词形态；当前隔离。
past:broke,broke,surface:broke,break,past-form,matchkey,reuse-identity,reviewed,break#damage,2,2,0,klose-grammar-gate-v1,break 的过去式；当前隔离，identity relation 仍保留。
past:brought,brought,surface:brought,bring,past-or-past-participle,matchkey,reuse-identity,reviewed,bring,6,6,6,klose-grammar-gate-v1,过去式/过去分词形态；当前隔离。
past:came,came,surface:came,come,past-form,matchkey,reuse-identity,reviewed,come,6,6,6,klose-grammar-gate-v1,纯过去式形态；当前隔离。
past:carried,carried,surface:carried,carry,past-or-past-participle,matchkey,reuse-identity,reviewed,carry,3,3,3,klose-grammar-gate-v1,规则过去式/过去分词形态；当前隔离。
past:cleaned,cleaned,surface:cleaned,clean,past-or-past-participle,matchkey,source-only,reviewed,,3,3,0,klose-grammar-gate-v1,规则过去式/过去分词形态；当前隔离。
past:could,could,surface:could,can,modal-past-form,matchkey,keep-identity,reviewed,could,6,6,6,klose-grammar-gate-v1,与 can 的过去/情态语法相关；当前 learner stage 暂缓。
past:did,did,surface:did,do,past-form,matchkey,reuse-identity,reviewed,do,9,9,9,klose-grammar-gate-v1,do 的过去式；当前隔离。
past:drank,drank,surface:drank,drink,past-form,matchkey,reuse-identity,reviewed,drink#verb,4,4,0,klose-grammar-gate-v1,drink 的过去式；当前隔离。
past:drew,drew,surface:drew,draw,past-form,matchkey,reuse-identity,reviewed,draw,2,2,2,klose-grammar-gate-v1,draw 的过去式；当前隔离。
past:drove,drove,surface:drove,drive,past-form,matchkey,reuse-identity,reviewed,drive,1,1,1,klose-grammar-gate-v1,drive 的过去式；当前隔离。
past:fell,fell,surface:fell,fall,past-form,matchkey,reuse-identity,reviewed,fall#verb,3,3,0,klose-grammar-gate-v1,fall 的过去式；当前隔离。
past:felt,felt,surface:felt,feel,past-or-past-participle,matchkey,reuse-identity,reviewed,feel#state,3,3,0,klose-grammar-gate-v1,feel 的过去式/过去分词；当前隔离。
past:fixed,fixed,surface:fixed,fix,past-or-past-participle,matchkey,reuse-identity,reviewed,fix,1,1,1,klose-grammar-gate-v1,规则过去式/过去分词形态；当前隔离。
past:flew,flew,surface:flew,fly,past-form,matchkey,reuse-identity,reviewed,fly#verb,2,2,2,klose-grammar-gate-v1,fly 的过去式；当前隔离。
past:forgot,forgot,surface:forgot,forget,past-form,matchkey,reuse-identity,reviewed,forget,4,4,4,klose-grammar-gate-v1,forget 的过去式；当前隔离。
past:found,found,surface:found,find,past-or-past-participle,matchkey,reuse-identity,reviewed,find,4,4,4,klose-grammar-gate-v1,find 的过去式/过去分词；当前隔离。
past:gave,gave,surface:gave,give,past-form,matchkey,reuse-identity,reviewed,give,7,7,7,klose-grammar-gate-v1,give 的过去式；当前隔离。
past:got,got,surface:got,get,past-or-past-participle,matchkey,keep-identity,reviewed,got,9,9,9,klose-grammar-gate-v1,get 的过去式相关形态；取消此前 pedagogical-form 直接放行。
past:had,had,surface:had,have,past-or-past-participle,matchkey,keep-identity,reviewed,had,11,11,11,klose-grammar-gate-v1,have 的过去式/过去分词，也是完成时辅助形态；当前隔离。
past:learnt,learnt,surface:learnt,learn,past-or-past-participle,matchkey,reuse-identity,reviewed,learn,2,2,2,klose-grammar-gate-v1,learn 的过去式/过去分词；当前隔离。
past:led,led,surface:led,lead,past-form,matchkey,keep-identity,reviewed,led,1,1,1,klose-grammar-gate-v1,lead 的过去式；Identity 按教材语境保留 source-form，当前 Klose learner stage 隔离。
past:left-leave,left,surface:left#leave-past,leave,past-or-past-participle,decision,keep-identity,reviewed,left#leave-past,21,4,4,klose-grammar-gate-v1,仅隔离 left=leave 的过去式 partition；left=左边等其他 identity 不受影响。
past:made,made,surface:made,make,past-or-past-participle,matchkey,keep-identity,reviewed,made,8,8,8,klose-grammar-gate-v1,make 的过去式/过去分词；当前隔离。
past:met,met,surface:met,meet,past-or-past-participle,matchkey,reuse-identity,reviewed,meet,3,3,3,klose-grammar-gate-v1,meet 的过去式/过去分词；当前隔离。
