NoteID,ProvisionalIdentityKey,CanonicalWord,MatchKey,SenseLabel,MeaningPrimary,BritishCandidate,AmericanCandidate,BritishEvidenceStatus,AmericanEvidenceStatus,SourceOccurrenceCount,DistinctSourceIDs,DefinitionEvidence,ExampleSentence,ExampleTranslation,PresentationStatus,PresentationSource
KV001195,candidate:100-meter race,100-meter race,100-meter race,100米赛跑,100米赛跑,,,missing,missing,1,1,无,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001196,candidate:20th,20th,20th,第二十；20日,第二十；20日,,,missing,missing,1,1,无,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001197,candidate:21st,21st,21st,第二十一；21日,第二十一；21日,,,missing,missing,1,1,无,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001198,candidate:22nd,22nd,22nd,第二十二；22日,第二十二；22日,,,missing,missing,1,1,无,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001199,candidate:23rd,23rd,23rd,第二十三；23日,第二十三；23日,,,missing,missing,1,1,无,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001200,candidate:2nd,2nd,2nd,第二；2日,第二；2日,,,missing,missing,1,1,第二(second),,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001201,candidate:30th,30th,30th,第三十；30日,第三十；30日,,,missing,missing,1,1,无,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001202,candidate:31st,31st,31st,第三十一；31日,第三十一；31日,,,missing,missing,1,1,无,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001203,candidate:3rd,3rd,3rd,第三；3日,第三；3日,,,missing,missing,1,1,第三(third),,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001204,candidate:4th,4th,4th,第四；4日,第四；4日,,,missing,missing,1,1,第四(fourth),,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001205,candidate:a bit,a bit,a bit,有点儿；稍微,有点儿；稍微,,,missing,missing,2,2,na. 有点儿〔作副词用〕,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001206,candidate:a knife and fork,a knife and fork,a knife and fork,一副刀叉,一副刀叉,,,missing,missing,1,1,na. 一副刀叉;(吃西餐用的)一副刀叉,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001207,candidate:a liter of milk,a liter of milk,a liter of milk,一升牛奶,一升牛奶,,,missing,missing,1,1,无,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001208,candidate:a little,a little,a little,一点；少量,一点；少量,,,missing,missing,8,7,n. 一点,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001209,candidate:a long time ago,a long time ago,a long time ago,很久以前,很久以前,,,missing,missing,1,1,adv. 很久之前,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001210,candidate:a pair of,a pair of,a pair of,一双；一对,一双；一对,,,missing,missing,5,5,det. 一双,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001211,candidate:a piece of,a piece of,a piece of,一块；一片；一件,一块；一片；一件,,,missing,missing,3,3,det. 一块;一只,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001212,candidate:ability,ability,ability,能力；才能,能力；才能,[əˈbɪləti],[əˈbɪləti],consistent,consistent,1,1,"n. 能力,能耐;才能",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001213,candidate:able,able,able,能,能,[ˈeɪb(ə)l],[ˈeɪbl],consistent,consistent,1,1,adj. 能;[经管] 有能力的;能干的,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001214,candidate:aboard,aboard,aboard,在船上；在飞机上；在火车上,在船上；在飞机上；在火车上,[əˈbɔːd],[əˈbɔːrd],consistent,consistent,1,1,prep. 在...上 adv. 在飞机上;[船] 在船上;在火车上,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001215,candidate:about,about,about,关于；有关,关于；有关,[əˈbaʊt],[əˈbaʊt],consistent,consistent,18,15,prep. 关于;大约 n. 大致;粗枝大叶;不拘小节的人 adj. 在附近的;四处走动的;在起作用的 adv. 大约;周围;到处,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001216,candidate:above,above,above,在……上面；在……之上,在……上面；在……之上,[əˈbʌv],[əˈbʌv],consistent,consistent,2,2,prep. 超过;在......上面;在......之上 n. 上文 adj. 上文的 adv. 在上面;在上文,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001217,candidate:abroad,abroad,abroad,在国外；到国外,在国外；到国外,[əˈbrɔːd],[əˈbrɔːd],consistent,consistent,1,1,n. 海外;异国 adj. 往国外的 adv. 在国外;到海外,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001218,candidate:absent,absent,absent,缺席的；不在的,缺席的；不在的,[ˈæbsənt],[ˈæbsənt],consistent,consistent,1,1,adj. 缺席的;缺少的;心不在焉的;茫然的 vt. 使缺席,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001219,candidate:accident,accident,accident,事故；意外,事故；意外,[ˈæksɪdənt],[ˈæksɪdənt],consistent,consistent,2,2,n. 事故;意外;[法] 意外事件;机遇,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001220,candidate:across,across,across,穿过；横过,穿过；横过,[əˈkrɒs],[əˈkrɔːs],consistent,consistent,2,2,prep. 穿过;横穿 adv. 横过;在对面,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001221,candidate:activity,activity,activity,活动,活动,[ækˈtɪvəti],[ækˈtɪvəti],consistent,consistent,5,5,n. 活动;行动;活跃,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001222,candidate:actor,actor,actor,男演员,男演员,[ˈæktə(r)],[ˈæktər],consistent,consistent,5,5,n. 男演员;行动者;作用物,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001223,candidate:address,address,address,地址,地址,[əˈdres],[əˈdres; ˈædres],consistent,consistent,5,5,n. 地址;演讲;致辞;说话的技巧;称呼 vt. 演说;从事;忙于;写姓名地址;向...致辞;与...说话;提出;处理,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001224,candidate:adult,adult,adult,成年人；成人,成年人；成人,[ˈædʌlt; əˈdʌlt],[əˈdʌlt; ˈædʌlt],consistent,consistent,2,2,n. 成年人 adj. 成年的;成熟的,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001225,candidate:adventure,adventure,adventure,冒险；冒险经历,冒险；冒险经历,[ədˈventʃə(r)],[ədˈventʃər],consistent,consistent,1,1,n. 冒险;冒险精神;投机活动 vt. 冒险;大胆说出 vi. 冒险,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001226,candidate:advertisement,advertisement,advertisement,广告；宣传,广告；宣传,[ədˈvɜːtɪsmənt],[ˌædvərˈtaɪzmənt],consistent,consistent,1,1,"n. 广告,宣传",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001227,candidate:aeroplane,aeroplane,aeroplane,飞机,飞机,[ˈeərəpleɪn],[ˈerəpleɪn],consistent,consistent,1,1,n. 飞机(等于airplane),,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001228,candidate:afraid of,afraid of,afraid of,害怕……；担心……,害怕……；担心……,,,missing,missing,5,5,na. 怕 | un. 难;怕;害怕;不敢正视,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001229,candidate:again,again,again,再；又；再一次,再；又；再一次,[əˈɡen],[əˈɡen; əˈɡeɪn],consistent,consistent,15,15,"adv. 又,此外;再一次;再说;增加 n. (英、保)阿盖恩",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001230,candidate:ahead,ahead,ahead,向前；在前面,向前；在前面,[əˈhed],[əˈhed],consistent,consistent,2,2,"adj. 向前;在前的;领先 adv. 向前地;领先地;在(某人或某事物的)前面;预先;在将来,为未来",,,third-party-content-pending,third-party-external-evidence-prep-v1
