LearnerProfile,LearnerLevel,NoteID,ContentFingerprint,ReviewStatus,ReviewedAt,ReviewerType,ReviewNote
klose,4,KV000001,d684ac55bd4867b7f089170f36b1bf2182f751068441450ee4d505ba804080c1,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000002,4bb9b62fe5c3aec83c379b1f3405810f71d529f9a9d882b5a8ce3c3db9d88bd4,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000003,22f611a3e898c2680e375f7bef64ad6d0983cdddc8e5318671888ebf9582608c,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000004,834e5fd5aaff7ced7273bdda66beae828c06510b86a14a78ecda9331d30b0b1f,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000005,7644fc145acfb76664ef2af0ac4601ab6ef9d2b5155da825f5bc8cd58b7d3b61,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000006,b8ce8aa8fd1055bd1e3eddb6d4a00c8ef240e83bdcc9bc5d04c903cdca6fbe9b,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000007,192b96c641d01ad476b675e3c13cd9ed9fd3546e59971943e676878581e4fd14,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000008,14bf4fba482d1db4c85fe7b3bf1bdf20369d3f44677164b2c3db017e87b005e7,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000009,e4ea0e5d7dc933424fb9d89e2ef8c02eb7508162905f8410a8ac34b80b0f6198,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000010,4fcf0faca677648159d13a6731d5fce8622242eb469c3457a299abf220909a83,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000011,5d18b0a1c1609b119f40d6b8ffdd945800583597af1738881499bf4cda637fb0,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000012,686fc49cb856cdadb0a36e5a60c384df135b3efc2a7f8e7c7744737615e2dfde,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000013,56515e8bd746c3916891f2f5c48cc5078c5cad91b97ef73c3d6062e19bef4bd0,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000014,34e5ee5ac8118cbe07ec4702a64ae81dac480beb4e08135cd8f61f1ba1695c30,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000015,505f66fa377da60bf71b2b74d4c80279fef3b344d787fcd3537c51d8c1c90607,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000016,ce6587d8b6f6a7b7ed3c6e29b7fb124a4a81d437a885c9ff01b72adb3a5f008d,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000017,b0fd10cef36ebe88bab72a062bd044f8d0fab4c7fd5e96b7591ff71bfd92c531,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000018,c5f691d6ef42a2791c95b54b46f2814e03bd0fc6398e1b7f8edc0a1edd0b12ed,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000019,b009b67706671d3b28be83434d043cc2b2cfb0d2e09f141e7f174432862604fb,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000020,4bdbe1f982c7d06d8e187d18bc2303b36ccc3e6576ca8950df5ba9cb938d63de,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000021,55615f11e83e703a2bfa651007b335bf4e13efb41c4715529de6cfe2494aecc4,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000022,839bf7daedd7555680cbcd2422c1b4d4c25e669e6de2138910b9edd28aaee105,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000023,33316e812a20152a2cf960a3076b889c87a326ddd8b92606844ae951d38cd5f4,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000024,2f917a7bb68f7f2d13eab5f3964cddac304bf06a0001b9b30b2a5aea93557443,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000025,dffcec2789b6c056438d799cc271b87428a53fd9fc34fd5c6df3af186c3999ef,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000026,85a513e86f3e141d2a718a284981e6be303002d19e1faeb12a76ec978560737d,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000027,a937edc54d07fcc68c18872fedc3f562ec1258eda394d99040aea20b43e1c738,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000028,d002ca48ce7479fc9b551197716c68ff18e9d6e5c269db8bb619d1035876b8d7,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000029,c77ff294128051fb7181e62d29d36f2194112a7fadc1d5405b4f59fdf8374994,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000030,494ec0d673b5e7595dc82cdd50b84449a1b999cc0642383166fc77b4ee4ec1ed,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000031,13a354cb39109eb6cd29fd704c4296fea8811cea1e5d7ab70d8c75ff747b2d93,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000032,403770928581ccb3b78355a7850310fa163d12459109fd344ff46eff6ec0217b,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000033,754eb4742d657a3afbca0de24c7e415c367861b7b4b591abc9f9cbcdb7f06531,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000034,c029debac38bc346183b1152122951376b5a100a97b523afdbad0ebe5ae7434d,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000035,caa6121512506837b4922b4ea5dfb0b68810d300215ca58b83556d05c515cbce,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000036,f91992775d84cd1e262beb0a457b96de631ceabf53f060c353428c8f5216e3bb,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000037,98599afde71eb7654d634706069ab133e367bd14a4056c2d10a4b393247fb39f,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000038,53dd8b95e6b54fe9b3961828add2139e267baaac50ba28ec8241b62947639e15,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000039,7a2449de0c531a1427f423f4d342006b6d8fd1b5a304e7377764639f6b5cf985,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000040,34a495c9076d385c8e951da6ca01c5d14a78483bfcff5ec3ab11849fd55e9d79,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000041,b6231762ec7796acddd6a3e9d50245f1ef083b52dd4a13318c0bc301a0abc4e3,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
klose,4,KV000042,9ca9b7776380bd5a480bbd1884b24d893e7bdf217803f1bfff7e7129252287bf,model-reviewed,2026-09-05,model,PromptHint migration reviewed: cook noun/verb and over location/finished receive minimal front-side disambiguation; all other PromptHint values remain blank and prior release-visible content is unchanged.
