CandidateKey,ExpressionID,Decision,Notes
EC0001,KE000038,one-to-one,
EC0002,KE000039,one-to-one,
EC0003,KE000040,one-to-one,
EC0004,KE000041,one-to-one,
EC0005,KE000042,one-to-one,
EC0006,KE000043,one-to-one,
EC0007,KE000044,one-to-one,
EC0008,KE000003,one-to-one,
EC0009,KE000045,adjusted,this/that 作为 demonstrative slot，正式 CanonicalForm 为 What's [demonstrative]?
EC0010,KE000046,one-to-one,
EC0011,KE000047,one-to-one,
EC0012,KE000048,one-to-one,
EC0013,KE000049,one-to-one,
EC0014,KE000006,adjusted,正式 CanonicalForm 冻结为 Can I [verb phrase]?；please 为可选礼貌成分。
EC0015,KE000009,one-to-one,
EC0016,KE000050,one-to-one,
EC0017,KE000010,one-to-one,
EC0018,KE000051,one-to-one,
EC0019,KE000052,one-to-one,
EC0020,KE000053,one-to-one,
EC0021,KE000001,one-to-one,
EC0022,KE000011,one-to-one,
EC0023,KE000012,one-to-one,
EC0024,KE000013,one-to-one,
EC0025,KE000002,one-to-one,
EC0026,KE000014,one-to-one,
EC0027,KE000015,one-to-one,
EC0028,KE000016,one-to-one,
EC0029,KE000004,one-to-one,
EC0030,KE000017,adjusted,将 weather adjective 扩为 weather description，以覆盖 hot and sunny / cold and windy。
EC0031,KE000005,one-to-one,
EC0032,KE000018,one-to-one,
EC0033,KE000007,one-to-one,
EC0034,KE000019,one-to-one,
EC0035,KE000020,split,同一 communicative function 下有两个独立构式：It's time for [noun]. 与 It's time to [verb].
EC0035,KE000021,split,同一 communicative function 下有两个独立构式：It's time for [noun]. 与 It's time to [verb].
EC0036,KE000008,one-to-one,
EC0037,KE000022,one-to-one,
EC0038,KE000023,one-to-one,
EC0039,KE000054,one-to-one,
EC0040,KE000055,one-to-one,
EC0041,KE000024,one-to-one,
EC0042,KE000056,one-to-one,
EC0043,KE000025,one-to-one,
EC0044,KE000057,one-to-one,
EC0045,KE000058,one-to-one,
EC0046,KE000059,one-to-one,
EC0047,KE000060,adjusted,Candidate Type 从 fixed 修正为 slot_frame，因为 [thing] 是可替换 slot。
EC0048,KE000061,one-to-one,
EC0049,KE000026,one-to-one,
EC0050,KE000027,one-to-one,
EC0051,KE000028,one-to-one,
EC0052,KE000029,one-to-one,
EC0053,KE000030,one-to-one,
EC0054,KE000031,one-to-one,
EC0055,KE000032,one-to-one,
EC0056,KE000033,one-to-one,
EC0057,KE000034,one-to-one,
EC0058,KE000035,split,Grade 4 Excuse me? = 没听清时请求重复；与 Grade 3 引起注意是不同 communicative function。
EC0058,KE000062,split,Grade 3 Excuse me. = 礼貌引起注意；与 Grade 4 请求重复是不同 communicative function。
EC0059,KE000063,one-to-one,
EC0060,KE000064,one-to-one,
EC0061,KE000036,one-to-one,
EC0062,KE000037,one-to-one,
EC0063,KE000065,one-to-one,
EC0064,KE000066,one-to-one,
