SourceID,SourceEdition,SourceBook,Grade,Semester,Unit,Order,Starred,Entry,Meaning,Page,SourceStatus,EvidenceFileID
pending-identification,pending-identification,grade5-upper,5,上,1,1,no,team,（游戏或运动的）队；（一起工作的）组，班,4,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,2,no,player,运动员；参赛选手,4,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,3,yes,him,他,4,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,4,yes,lovely,美丽的；优美的,5,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,5,yes,clever,聪明的；聪明伶俐,5,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,6,yes,young,幼小的；年轻的,5,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,7,no,hard-working,工作努力的；辛勤的,5,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,8,yes,science,科学；自然科学,7,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,9,yes,robot,机器人,7,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,10,yes,jump,跳；跃,8,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,11,no,rope,绳；粗绳,8,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,12,yes,piano,钢琴,8,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,13,no,chess,国际象棋,8,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,14,yes,front,前部,9,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,15,yes,easy,容易的；轻易的,9,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,16,yes,star,歌唱（或表演）明星,9,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,17,yes,wonderful,令人赞叹的；精彩的；绝妙的,9,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,1,18,no,Australia,澳大利亚,4,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,1,yes,sad,悲哀的；难过的,16,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,2,no,matter,事情；问题,16,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,3,no,project,项目；方案,16,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,4,no,centre,中心,16,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,5,no,agree,同意；赞成,16,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,6,no,finish,完成；做好,16,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,7,no,worried,担心的；担忧的,16,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,8,no,both,两者,16,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,9,yes,excited,激动的；兴奋的,17,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,10,yes,wrong,错误的,17,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,11,yes,angry,愤怒的；生气的,17,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,12,no,afraid,担心；害怕,19,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,13,yes,parent,父亲；母亲,20,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,14,yes,ask,问；询问,20,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,15,no,laugh,笑,21,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,16,yes,move,搬家；移动,21,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,2,17,no,yours,您的（用于书信结尾的签名前）,21,observed-from-klose-textbook,file_00000000a0cc82309a027824a3601921
pending-identification,pending-identification,grade5-upper,5,上,3,1,no,Wednesday,星期三,28,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
pending-identification,pending-identification,grade5-upper,5,上,3,2,yes,subject,科目；学科,28,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
pending-identification,pending-identification,grade5-upper,5,上,3,3,no,Tuesday,星期二,28,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
pending-identification,pending-identification,grade5-upper,5,上,3,4,no,Friday,星期五,28,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
pending-identification,pending-identification,grade5-upper,5,上,3,5,yes,because,因为,28,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
pending-identification,pending-identification,grade5-upper,5,上,3,6,no,Monday,星期一,29,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
pending-identification,pending-identification,grade5-upper,5,上,3,7,no,Thursday,星期四,29,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
pending-identification,pending-identification,grade5-upper,5,上,3,8,no,start,开始,29,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
pending-identification,pending-identification,grade5-upper,5,上,3,9,no,usually,通常地；经常地,29,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
pending-identification,pending-identification,grade5-upper,5,上,3,10,no,weekend,周末,31,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
pending-identification,pending-identification,grade5-upper,5,上,3,11,yes,sometimes,有时；间或,31,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
pending-identification,pending-identification,grade5-upper,5,上,3,12,no,Saturday,星期六,31,observed-from-klose-textbook,file_000000007c3881fdacc14566c62860fe
