MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,StageAClass,SeedMatchKeys,SeedDisplayForms,SeedDefinitions,NeedsSenseReview
10th,10th,无,5年级下,1,new-surface-candidate,,,,yes
12th,12th,无,5年级下,1,new-surface-candidate,,,,yes
15th,15th,无,5年级下,1,new-surface-candidate,,,,yes
25th,25th,无,5年级下,1,new-surface-candidate,,,,yes
5th,5th,n. 第五(fifth),5年级下,1,new-surface-candidate,,,,yes
a,a,n. 字母A;第一流的;学业成绩达最高标准的评价符号 abbr. [物]安(ampere),1年级上,1,exact-surface-overlap,a,a,n. 字母A;第一流的;学业成绩达最高标准的评价符号 abbr. [物]安(ampere),yes
a box of crayons,a box of crayons,无,5年级上,1,new-surface-candidate,,,,yes
a lot,a lot,n. 许多 adv. 常,5年级上,1,new-surface-candidate,,,,yes
a lot of,a lot of,det. 许多,5年级下,1,new-surface-candidate,,,,yes
a pair of scissors,a pair of scissors,一把剪刀;一副剪刀;一双剪刀,5年级上,1,new-surface-candidate,,,,yes
across from,across from,na. 在...的正对面,4年级下,1,new-surface-candidate,,,,yes
active,active,n. 主动语态;积极分子 adj. 积极的;活跃的;主动的;有效的;现役的,5年级上,1,new-surface-candidate,,,,yes
advice,advice,n. 建议;忠告;劝告;通知,5年级下,1,new-surface-candidate,,,,yes
africa,Africa,n. 非洲,6年级上,1,new-surface-candidate,,,,yes
after school,after school,na. 放学后,3年级下,1,new-surface-candidate,,,,yes
afternoon,afternoon,"n. 午后,下午",3年级上,1,exact-surface-overlap,afternoon,afternoon,"n. 午后,下午",yes
age,age,"n. 年龄;时代;寿命,使用年限;阶段 vt. 使成熟;使变老,使上年纪 vi. 成熟;变老",3年级上,1,new-surface-candidate,,,,yes
airport,airport,n. 机场;航空站,6年级下,1,new-surface-candidate,,,,yes
all,all,n. 全部 adj. 全部的 adv. 全然地;越发 pron. 全部,5年级上,1,exact-surface-overlap,all,all,n. 全部 adj. 全部的 adv. 全然地;越发 pron. 全部,yes
all over,all over,adj. 满 n. 全花织物,5年级下,1,new-surface-candidate,,,,yes
also,also,conj. 并且;另外 adv. 也;而且;同样,5年级上,1,exact-surface-overlap,also,also,conj. 并且;另外 adv. 也;而且;同样,yes
always,always,"adv. 永远,一直;总是;常常",4年级上|5年级下,2,new-surface-candidate,,,,yes
amazing,amazing,adj. 令人惊异的 v. 使吃惊(amaze的ing形式),6年级下,1,new-surface-candidate,,,,yes
american,American,"n. 美国人,美洲人;美国英语 adj. 美国的,美洲的;地道美国式的",6年级上,1,new-surface-candidate,,,,yes
an,an,art. 一(在元音音素前),1年级上,1,exact-surface-overlap,an,an,art. 一(在元音音素前),yes
and,and,"conj. 和,与;就;而且;但是;然后",1年级下,1,exact-surface-overlap,and,and,"conj. 和,与;就;而且;但是;然后",yes
angry,angry,adj. 生气的;愤怒的;狂暴的;(伤口等)发炎的,6年级上,1,exact-surface-overlap,angry,angry,adj. 生气的;愤怒的;狂暴的;(伤口等)发炎的,yes
animal,animal,n. 动物 动物的,5年级上,1,exact-surface-overlap,animal,animal,n. 动物 动物的,yes
apple,apple,"n. 苹果,苹果树,苹果似的东西;[美俚]炸弹,手榴弹,(棒球的)球;[美俚]人,家伙。",1年级上|4年级上,2,exact-surface-overlap,apple,apple,"n. 苹果,苹果树,苹果似的东西;[美俚]炸弹,手榴弹,(棒球的)球;[美俚]人,家伙。",yes
april,April,n. 四月,3年级上,1,exact-surface-overlap,april,April,n. 四月,yes
are,are,v. 是(be的第二人称单复数现在式) n. 公亩,1年级上,1,exact-surface-overlap,are,are,v. 是(be的第二人称单复数现在式) n. 公亩,yes
arm,arm,n. 手臂;武器;袖子;装备;部门 vt. 武装;备战 vi. 武装起来,3年级上,1,exact-surface-overlap,arm,arm,n. 手臂;武器;袖子;装备;部门 vt. 武装;备战 vi. 武装起来,yes
around,around,prep. 四处;在...周围 adv. 大约;到处;在附近,6年级上,1,exact-surface-overlap,around,around,prep. 四处;在...周围 adv. 大约;到处;在附近,yes
arrive,arrive,vi. 到达;成功;达成;出生,6年级下,1,new-surface-candidate,,,,yes
art,art,n. 艺术;美术;艺术品 v. 是(be的变体) adj. 艺术的;艺术品的,3年级下,1,exact-surface-overlap,art,art,n. 艺术;美术;艺术品 v. 是(be的变体) adj. 艺术的;艺术品的,yes
art gallery,art gallery,n. 美术馆;艺术展览馆,6年级下,1,new-surface-candidate,,,,yes
artist,artist,n. 艺术家;美术家(尤指画家);大师,6年级上,1,new-surface-candidate,,,,yes
asia,Asia,n. 亚洲,6年级上,1,new-surface-candidate,,,,yes
at,at,prep. 在(表示存在或出现的地点、场所、位置、空间);以(某种价格、速度等);向;达;因为;朝;忙于 n. 阿特(老挝货币基本单位att);[化]砹(极不稳定放射性元素) abbr. 密封的(airtight);气温(air temperature),2年级下,1,exact-surface-overlap,at,at,prep. 在(表示存在或出现的地点、场所、位置、空间);以(某种价格、速度等);向;达;因为;朝;忙于 n. 阿特(老挝货币基本单位att);[化]砹(极不稳定放射性元素) abbr. 密封的(airtight);气温(air temperature),yes
at least,at least,na. 至少,6年级下,1,new-surface-candidate,,,,yes
ate ice-cream,ate ice-cream,无,5年级下,1,new-surface-candidate,,,,yes
august,August,n. 八月(简写为Aug) adj. 威严的;令人敬畏的,3年级上,1,exact-surface-overlap,august,August,n. 八月(简写为Aug) adj. 威严的;令人敬畏的,yes
aunt,aunt,n. 阿姨;姑妈;伯母;舅妈,3年级下,1,exact-surface-overlap,aunt,aunt,n. 阿姨;姑妈;伯母;舅妈,yes
australia,Australia,"n. 澳大利亚,澳洲",4年级下,1,new-surface-candidate,,,,yes
autumn,autumn,"n. 秋天;成熟期;渐衰期,凋落期 adj. 秋天的,秋季的",2年级下,1,exact-surface-overlap,autumn,autumn,"n. 秋天;成熟期;渐衰期,凋落期 adj. 秋天的,秋季的",yes
bad,bad,"n. 坏事;坏人 adj. 坏的;严重的;劣质的 adv. 很,非常;坏地;邪恶地",3年级上,1,exact-surface-overlap,bad,bad,"n. 坏事;坏人 adj. 坏的;严重的;劣质的 adv. 很,非常;坏地;邪恶地",yes
badminton,badminton,n. 羽毛球,5年级下,1,new-surface-candidate,,,,yes
