SourceOccurrenceKey,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,Definition,BaselineCandidateClass,BaselineCandidateNoteIDs,BaselineCandidateSenses,ProposedDecision,ProposedNoteID,ProposedTargetSense,ResolutionStatus,Confidence,ResolutionBasis,MergeAuthorized
beijing_start1|g1-upper|r002|star,1年级上,1,上,2,star,star,"n. 星,恒星;明星;星形物 adj. 明星的,主角的;星形的 vt. 用星号标于;由...主演,由...担任主角 vi. 担任主角",exact-single,KV000471,星星,reuse-candidate,KV000471,星星,pending-sense-confirmation,,baseline-candidate-only,no
beijing_start1|g1-upper|r003|moon,1年级上,1,上,3,moon,moon,n. 月亮;月球;月光;卫星 vi. 闲荡;出神 vt. 虚度,no-existing-match,,,new-identity-candidate,,,pending-new-identity-review,,baseline-candidate-only,no
beijing_start1|g1-upper|r004|night,1年级上,1,上,4,night,night,"n. 夜晚,晚上;黑暗,黑夜 adj. 夜晚的,夜间的",no-existing-match,,,new-identity-candidate,,,pending-new-identity-review,,baseline-candidate-only,no
beijing_start1|g1-upper|r005|lake,1年级上,1,上,5,lake,lake,n. 湖;深红色颜料;胭脂红 vt. (使)血球溶解 vi. (使)血球溶解,exact-single,KV000139,湖,reuse-candidate,KV000139,湖,pending-sense-confirmation,,baseline-candidate-only,no
beijing_start1|g1-upper|r006|house,1年级上,1,上,6,house,house,n. 住宅;家庭;机构;议会;某种用途的建筑物 vt. 覆盖;给...房子住;把...储藏在房内 vi. 住,exact-single,KV000369,房子；住宅,reuse-candidate,KV000369,房子；住宅,pending-sense-confirmation,,baseline-candidate-only,no
beijing_start1|g1-upper|r007|boat,1年级上,1,上,7,boat,boat,n. 小船;轮船 vi. 划船,exact-single,KV000138,小船,reuse-candidate,KV000138,小船,pending-sense-confirmation,,baseline-candidate-only,no
beijing_start1|g1-upper|r008|key,1年级上,1,上,8,key,key,n. (打字机等的)键;关键;钥匙 vt. 键入;锁上;调节...的音调;提供线索 vi. 使用钥匙 adj. 关键的,no-existing-match,,,new-identity-candidate,,,pending-new-identity-review,,baseline-candidate-only,no
beijing_start1|g1-upper|r009|car,1年级上,1,上,9,car,car,n. 汽车;车厢,exact-single,KV000072,小汽车；汽车,reuse-candidate,KV000072,小汽车；汽车,pending-sense-confirmation,,baseline-candidate-only,no
beijing_start1|g1-upper|r010|gate,1年级上,1,上,10,gate,gate,n. 大门;出入口;门道 vt. 给...装大门,exact-single,KV000388,大门,reuse-candidate,KV000388,大门,pending-sense-confirmation,,baseline-candidate-only,no
beijing_start1|g1-upper|r011|kite,1年级上,1,上,11,kite,kite,n. 风筝 vi. 使用空头支票;像风筝一样飞;轻快地移动 vt. 骗钱;涂改(支票),exact-single,KV000832,风筝,reuse-candidate,KV000832,风筝,pending-sense-confirmation,,baseline-candidate-only,no
beijing_start1|g1-upper|r012|girl,1年级上,1,上,12,girl,girl,"n. 女孩;姑娘,未婚女子;女职员,女演员;(男人的)女朋友 n. (捷)吉尔",exact-single,KV000111,女孩,reuse-candidate,KV000111,女孩,pending-sense-confirmation,,baseline-candidate-only,no
beijing_start1|g1-upper|r013|bike,1年级上,1,上,13,bike,bike,n. 自行车;脚踏车 vi. 骑自行车(或摩托车),no-existing-match,,,new-identity-candidate,,,pending-new-identity-review,,baseline-candidate-only,no
beijing_start1|g1-upper|r014|uniform,1年级上,1,上,14,uniform,uniform,n. 制服 adj. 统一的;一致的;相同的;均衡的;始终如一的 vt. 使穿制服;使成一样,no-existing-match,,,new-identity-candidate,,,pending-new-identity-review,,baseline-candidate-only,no
beijing_start1|g1-upper|r015|bag,1年级上,1,上,15,bag,bag,"n. 袋;猎获物;(俚)一瓶啤酒 vt. 猎获;把...装入袋中;占据,私吞;使膨大 vi. 松垂",no-existing-match,,,new-identity-candidate,,,pending-new-identity-review,,baseline-candidate-only,no
beijing_start1|g1-upper|r016|cake,1年级上,1,上,16,cake,cake,n. 蛋糕;块状物;利益总额 vt. 使结块 vi. 结成块状,exact-single,KV000234,蛋糕,reuse-candidate,KV000234,蛋糕,pending-sense-confirmation,,baseline-candidate-only,no
beijing_start1|g1-upper|r017|dish,1年级上,1,上,17,dish,dish,n. 盘;餐具;一盘食物;外貌有吸引力的人 vt. 盛于碟盘中;分发;使某人的希望破灭;说(某人)的闲话 vi. 成碟状;闲谈,no-existing-match,,,new-identity-candidate,,,pending-new-identity-review,,baseline-candidate-only,no
beijing_start1|g1-upper|r018|cup,1年级上,1,上,18,cup,cup,n. 杯子;奖杯;酒杯 vt. 使成杯状;为...拔火罐,no-existing-match,,,new-identity-candidate,,,pending-new-identity-review,,baseline-candidate-only,no
beijing_start1|g1-upper|r019|nut,1年级上,1,上,19,nut,nut,"n. 螺母,螺帽;坚果;难对付的人,难解的问题 vi. 采坚果",no-existing-match,,,new-identity-candidate,,,pending-new-identity-review,,baseline-candidate-only,no
beijing_start1|g1-upper|r020|spoon,1年级上,1,上,20,spoon,spoon,"n. 匙,勺子;一杓的量 vt. 用匙舀;使成匙状 vi. 轻轻向上击",exact-single,KV000897,勺；匙；调羹,reuse-candidate,KV000897,勺；匙；调羹,pending-sense-confirmation,,baseline-candidate-only,no
beijing_start1|g1-upper|r021|eye,1年级上,1,上,21,eye,eye,"n. 眼睛;视力;眼光;见解,观点 vt. 注视,看",exact-single,KV000012,眼睛,reuse-candidate,KV000012,眼睛,pending-sense-confirmation,,baseline-candidate-only,no
beijing_start1|g1-upper|r022|ear,1年级上,1,上,22,ear,ear,n. 耳朵;穗;听觉;倾听 vi. (美俚)听见;抽穗,exact-single,KV000011,耳朵,reuse-candidate,KV000011,耳朵,pending-sense-confirmation,,baseline-candidate-only,no
beijing_start1|g1-upper|r023|knee,1年级上,1,上,23,knee,knee,"n. 膝盖,膝 vt. 用膝盖碰",no-existing-match,,,new-identity-candidate,,,pending-new-identity-review,,baseline-candidate-only,no
beijing_start1|g1-upper|r024|foot,1年级上,1,上,24,foot,foot,n. 脚;英尺;步调;末尾 vt. 支付;给......换底 vi. 步行;跳舞;总计,exact-single,KV000221,脚,reuse-candidate,KV000221,脚,pending-sense-confirmation,,baseline-candidate-only,no
