SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
beishida_start3|g3-upper|r002|what,beishida_start3,3年级上,3,上,2,what,what,[wɒt],[wʌt],"pron. 什么;多么;多少 adv. 到什么程度,在哪一方面 adj. 什么;多么;何等 int. 什么;多么",北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r003|is,beishida_start3,3年级上,3,上,3,is,is,[ɪz],[ɪz],v. 是(be的三单形式) n. 存在,北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r004|your,beishida_start3,3年级上,3,上,4,your,your,[jɔː(r); jə(r)],[jʊr; jər],"pron. 你的,你们的",北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r005|name,beishida_start3,3年级上,3,上,5,name,name,[neɪm],[neɪm],"n. 名称,名字;姓名;名誉 vt. 命名,任命;指定;称呼;提名;叫出 adj. 姓名的;据以取名的",北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r006|hi,beishida_start3,3年级上,3,上,6,hi,hi,[haɪ],[haɪ],int. 嗨!(表示问候或用以唤起注意),北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r007|hello,beishida_start3,3年级上,3,上,7,hello,hello,[həˈləʊ],[həˈləʊ],"n. 表示问候, 惊奇或唤起注意时的用语 int. 喂;哈罗",北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r008|my,beishida_start3,3年级上,3,上,8,my,my,[maɪ],[maɪ],pron. 我的 int. 哎呀(表示惊奇等);喔唷,北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r009|i,beishida_start3,3年级上,3,上,9,I,i,[aɪ],[aɪ],n. 碘元素;英语字母I pron. 我,北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r010|am,beishida_start3,3年级上,3,上,10,am,am,[əm; æm],[əm; æm],abbr. 调幅 v. 是,北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r011|and,beishida_start3,3年级上,3,上,11,and,and,[ənd],[ənd; ən; n; ænd],"conj. 和,与;就;而且;但是;然后",北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r012|good morning,beishida_start3,3年级上,3,上,12,good morning,good morning,,,"int. (上午见面时用语,非正式场合常说 Morning)早上好",北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r013|children,beishida_start3,3年级上,3,上,13,children,children,[ˈtʃɪldrən],[ˈtʃɪldrən],n. 孩子们(child的复数),北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r014|goodbye,beishida_start3,3年级上,3,上,14,goodbye,goodbye,[ˌɡʊdˈbaɪ],[ˌɡʊdˈbaɪ],int. 再见 放弃 告别,北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r015|bye,beishida_start3,3年级上,3,上,15,bye,bye,[baɪ],[baɪ],n. 轮空;次要的东西 int. 再见 adj. 次要的,北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r016|this,beishida_start3,3年级上,3,上,16,this,this,[ðɪs],[ðɪs],adj. 这;本;这个;今 pron. 这;这个;这里 adv. 这样地;这么,北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r017|look,beishida_start3,3年级上,3,上,17,look,look,[lʊk],[lʊk],vt. 看;期待;注意;面向;看上去像 vi. 看;看起来;注意;面向 n. 看;样子;面容,北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r018|a,beishida_start3,3年级上,3,上,18,a,a,[ə],[ə; eɪ],n. 字母A;第一流的;学业成绩达最高标准的评价符号 abbr. [物]安(ampere),北师大版三年级起点三年级上.xlsx
beishida_start3|g3-upper|r019|deer,beishida_start3,3年级上,3,上,19,deer,deer,[dɪə(r)],[dɪr],n. 鹿,北师大版三年级起点三年级上.xlsx
