MatchKey,DisplayForms,Definitions,OccurrenceCount,Books,CandidateClass,CandidateNoteIDs,CandidateWords,CandidateSenses,AutoDecision,NeedsSenseReview
a few,a few,na. 几个;〔反语〕很多;〈俚〉一点点,1,6年级下,morphology-or-phrase,KV000008,a,一；一个,identity-review,yes
can,can,aux. 能; 能够; 可以; 可能 n. 罐头; (用金属或塑料制作的)容器; (马口铁或其他金属制作的)食品罐头 vt. 将...装入密封罐中保存,1,3年级上,exact-multiple,KV000074|KV000885,can|can,能；会；可以|金属罐,identity-review,yes
cook,cook,"n. 厨师,厨子 vt. 烹调,煮 vi. 烹调,做菜",1,4年级上,exact-multiple,KV000424|KV000805,cook|cook,厨师；做饭|烹饪；煮,identity-review,yes
fan,fan,n. 迷;风扇;爱好者 vt. 煽动;刺激;吹拂 vi. 成扇形散开;飘动,1,6年级下,exact-multiple,KV000723|KV000900,fan|fan,扇子|风扇,identity-review,yes
get well,get well,na. 复原,1,4年级上,morphology-or-phrase,KV000290|KV000453,we|get,我们|得到；取得,identity-review,yes
how many,how many,na. 多少,1,2年级上,morphology-or-phrase,KV000008|KV000009|KV000035|KV000036|KV000112|KV000881,a|an|how|many|man|any,一；一个|一；一个|怎样；多少|许多；多少（how many）|男人|任何的；任一的,identity-review,yes
how old ...?,How old ...?,conj. 多少岁,1,3年级上,morphology-or-phrase,KV000035|KV000209|KV000210,how|old|how old,怎样；多少|……岁的；年老的|几岁；多大,identity-review,yes
ice cream,ice cream,n. 【食】冰淇淋,2,1年级下|2年级下,morphology-or-phrase,KV000006|KV000008,I|a,我|一；一个,identity-review,yes
its,its,pron. 它的,1,5年级下,morphology-or-phrase,KV000024,it,它,identity-review,yes
kind,kind,n. 种类;性质 adj. 和蔼的;宽容的;令人感激的,2,4年级上,exact-multiple,KV000718|KV000810,kind|kind,种类；类型|友好的,identity-review,yes
make use of,make use of,na. 使用,1,5年级下,morphology-or-phrase,KV000008|KV000403,a|use,一；一个|使用,identity-review,yes
men,men,"n. 男人,人类(man的复数)",1,4年级下,morphology-or-phrase,KV000112,man,男人,identity-review,yes
milk,milk,n. 牛奶;乳状物 vt. 榨取;挤...的奶 vi. 挤奶,1,2年级下,exact-multiple,KV000088|KV000890,milk|milk,牛奶|挤奶,identity-review,yes
over,over,adv. 结束;越过;从头到尾 prep. 越过;在...之上;遍于...之上 adj. 结束的;上面的 vt. 越过,1,3年级上,exact-multiple,KV000816|KV000863,over|over,在……的远端（或对面）|结束（的）,identity-review,yes
pencil case,pencil case,n. 铅笔盒;铅笔袋,1,3年级下,morphology-or-phrase,KV000003|KV000006|KV000008|KV000285|KV000396,pencil|I|a|PE|pen,铅笔|我|一；一个|体育；体育课|钢笔,identity-review,yes
speak,speak,vi. 说话;演讲;表明;陈述 vt. 讲话;发言;讲演,1,4年级上,exact-multiple,KV000705|KV000901,speak|speak,说；讲（某种语言）|说话；发言,identity-review,yes
sweet potato,sweet potato,n. 【植】甘薯,1,3年级下,morphology-or-phrase,KV000008|KV000134|KV000199|KV000237|KV000290,a|to|at|potato|we,一；一个|到；向；去|在……时刻|土豆；马铃薯|我们,identity-review,yes
take part in,take part in,na. 参加;贡献,1,6年级上,morphology-or-phrase,KV000006|KV000008|KV000059|KV000288|KV000872,I|a|in|art|take,我|一；一个|在……里面|美术；美术课|买下,identity-review,yes
the u.k.,the U.K.,n. 英国,1,5年级上,morphology-or-phrase,KV000061|KV000106,the|he,这；那（定冠词）|他,identity-review,yes
the u.s.a.,the U.S.A.,美国;悠游美国,1,5年级上,morphology-or-phrase,KV000008|KV000061|KV000106,a|the|he,一；一个|这；那（定冠词）|他,identity-review,yes
the united states of america,the United States of America,na. 美利坚合众国,1,5年级上,morphology-or-phrase,KV000006|KV000008|KV000024|KV000061|KV000106|KV000199,I|a|it|the|he|at,我|一；一个|它|这；那（定冠词）|他|在……时刻,identity-review,yes
women,women,n. 女人(woman的复数),1,3年级下,morphology-or-phrase,KV000110,woman,女人；妇女,identity-review,yes
