NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV000902,This is our team.,这是我们的队。,model-curated,grade5-6-learner-content-v1
KV000903,He is a good player.,他是一名优秀的运动员。,model-curated,grade5-6-learner-content-v1
KV000904,I can see him.,我能看见他。,model-curated,grade5-6-learner-content-v1
KV000905,She is hard-working.,她很勤奋。,model-curated,grade5-6-learner-content-v1
KV000906,This robot is here.,这个机器人在这里。,model-curated,grade5-6-learner-content-v1
KV000907,I can jump high.,我能跳得很高。,model-curated,grade5-6-learner-content-v1
KV000908,This rope is long.,这根绳子很长。,model-curated,grade5-6-learner-content-v1
KV000909,She can play the piano.,她会弹钢琴。,model-curated,grade5-6-learner-content-v1
KV000910,We play chess after school.,我们放学后下国际象棋。,model-curated,grade5-6-learner-content-v1
KV000911,The front of the bus is red.,公共汽车的前部是红色的。,model-curated,grade5-6-learner-content-v1
KV000912,This game is easy.,这个游戏很容易。,model-curated,grade5-6-learner-content-v1
KV000913,She is a TV star.,她是一位电视明星。,model-curated,grade5-6-learner-content-v1
KV000914,What is the matter?,怎么了？,model-curated,grade5-6-learner-content-v1
KV000915,This is our school project.,这是我们的学校项目。,model-curated,grade5-6-learner-content-v1
KV000916,The ball is in the centre.,球在中间。,model-curated,grade5-6-learner-content-v1
KV000917,I agree with you.,我同意你的看法。,model-curated,grade5-6-learner-content-v1
KV000918,I can finish my work.,我能完成我的工作。,model-curated,grade5-6-learner-content-v1
KV000919,Both are good.,两个都很好。,model-curated,grade5-6-learner-content-v1
KV000920,You are wrong.,你错了。,model-curated,grade5-6-learner-content-v1
KV000921,I am afraid of dogs.,我怕狗。,model-curated,grade5-6-learner-content-v1
KV000922,My parent is at school.,我的家长在学校。,model-curated,grade5-6-learner-content-v1
KV000923,Please ask your teacher.,请问你的老师。,model-curated,grade5-6-learner-content-v1
KV000924,They laugh.,他们笑了。,model-curated,grade5-6-learner-content-v1
KV000925,Please move the chair.,请移动这把椅子。,model-curated,grade5-6-learner-content-v1
KV000926,We start class at eight.,我们八点开始上课。,model-curated,grade5-6-learner-content-v1
KV000927,I play football at the weekend.,我周末踢足球。,model-curated,grade5-6-learner-content-v1
KV000928,The lesson is at eight.,这节课在八点。,model-curated,grade5-6-learner-content-v1
KV000929,Can you answer this?,你能回答这个问题吗？,model-curated,grade5-6-learner-content-v1
