SourceID,SourceEdition,EvidenceFileID,Grade,Semester,Unit,Order,Starred,Entry,Meaning,Page,SourceStatus
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,1,0,team,（游戏或运动的）队；（一起工作的）组，班,4,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,2,0,player,运动员；参赛选手,4,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,3,1,him,他,4,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,4,1,lovely,美丽的；优美的,5,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,5,1,clever,聪明的；聪颖的,5,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,6,1,young,幼小的；年轻的,5,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,7,0,hard-working,工作努力的；辛勤的,5,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,8,1,science,科学；自然科学,7,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,9,1,robot,机器人,7,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,10,1,jump,跳；跃,8,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,11,1,rope,绳；粗绳,8,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,12,1,piano,钢琴,8,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,13,0,chess,国际象棋,8,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,14,1,front,前部,9,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,15,1,easy,容易的；轻易的,9,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,16,1,star,歌唱（或表演）明星,9,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,17,1,wonderful,令人赞叹的；精彩的；绝妙的,9,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,1,18,0,Australia,澳大利亚,4,materialized-from-user-image;source-provenance-resolved
renjiao_start3,2024-revision,file_00000000a0cc82309a027824a3601921,5,上,2,1,1,sad,悲哀的；难过的,16,materialized-from-user-image;source-provenance-resolved
