Unit,Order,Starred,Entry,Meaning,Page,SourceStatus
1,1,yes,PE,体育（课）,4,observed-from-klose-textbook
1,2,yes,job,工作；职业,4,observed-from-klose-textbook
1,3,yes,doctor,医生,4,observed-from-klose-textbook
1,4,yes,farmer,农场主；农民,5,observed-from-klose-textbook
1,5,yes,nurse,护士,5,observed-from-klose-textbook
1,6,no,office worker,公司职员,5,observed-from-klose-textbook
1,7,no,factory worker,工厂工人,5,observed-from-klose-textbook
1,8,yes,busy,忙碌的,7,observed-from-klose-textbook
1,9,yes,tired,疲倦的,7,observed-from-klose-textbook
1,10,yes,chore,家庭杂务,7,observed-from-klose-textbook
1,11,yes,cook,烹饪；煮,7,observed-from-klose-textbook
1,12,yes,clean,打扫；干净的,7,observed-from-klose-textbook
1,13,yes,room,房间,7,observed-from-klose-textbook
1,14,no,look after,照顾,8,observed-from-klose-textbook
1,15,yes,sweep,扫,8,observed-from-klose-textbook
1,16,yes,floor,地板；地面,8,observed-from-klose-textbook
1,17,no,together,在一起；共同,8,observed-from-klose-textbook
1,18,yes,people,人；人们,9,observed-from-klose-textbook
1,19,yes,child,儿童；小孩（复数 children）,9,observed-from-klose-textbook
2,1,yes,his,他的,16,observed-from-klose-textbook
2,2,yes,strong,强壮的,16,observed-from-klose-textbook
2,3,yes,hair,头发,16,observed-from-klose-textbook
2,4,yes,also,也,16,observed-from-klose-textbook
2,5,yes,kind,友好的,16,observed-from-klose-textbook
2,6,yes,quiet,文静的,17,observed-from-klose-textbook
2,7,yes,best,最好的,19,observed-from-klose-textbook
2,8,yes,read,阅读,20,observed-from-klose-textbook
2,9,yes,Chinese,中文；中国人；中国的,20,observed-from-klose-textbook
2,10,yes,play,玩耍,20,observed-from-klose-textbook
2,11,yes,game,游戏,20,observed-from-klose-textbook
2,12,yes,football,足球运动,20,observed-from-klose-textbook
2,13,yes,basketball,篮球运动,21,observed-from-klose-textbook
2,14,yes,always,总是,21,observed-from-klose-textbook
3,1,yes,afternoon,下午,28,observed-from-klose-textbook
3,2,yes,there,（表示存在或发生）；在那里,28,observed-from-klose-textbook
3,3,yes,playground,游乐场；操场,28,observed-from-klose-textbook
3,4,yes,park,公园,28,observed-from-klose-textbook
3,5,yes,over,在……的远端（或对面）,28,observed-from-klose-textbook
3,6,yes,hospital,医院,29,observed-from-klose-textbook
3,7,yes,shop,商店,29,observed-from-klose-textbook
3,8,yes,toilet,厕所；卫生间,29,observed-from-klose-textbook
3,9,no,bus stop,公共汽车站,29,observed-from-klose-textbook
3,10,yes,library,图书馆,31,observed-from-klose-textbook
3,11,yes,sport,体育运动,31,observed-from-klose-textbook
3,12,yes,walk,散步；行走,32,observed-from-klose-textbook
3,13,no,community,社区,32,observed-from-klose-textbook
3,14,yes,favourite,最喜欢的,33,observed-from-klose-textbook
3,15,yes,place,地方；场所,33,observed-from-klose-textbook
3,16,yes,photo,照片,33,observed-from-klose-textbook
3,17,yes,story,故事,33,observed-from-klose-textbook
3,18,yes,buy,购买,33,observed-from-klose-textbook
4,1,no,firefighter,消防队员,40,observed-from-klose-textbook
4,2,yes,why,为什么,40,observed-from-klose-textbook
4,3,yes,driver,司机,40,observed-from-klose-textbook
4,4,no,cleaner,清洁工,41,observed-from-klose-textbook
4,5,yes,cook,厨师,41,observed-from-klose-textbook
4,6,no,delivery worker,快递员,41,observed-from-klose-textbook
4,7,no,police officer,警察；警员,41,observed-from-klose-textbook
4,8,no,a lot of,大量；许多,41,observed-from-klose-textbook
4,9,yes,now,现在,43,observed-from-klose-textbook
4,10,no,make the bed,铺床,43,observed-from-klose-textbook
4,11,yes,old,过去的；年纪大的；老的,43,observed-from-klose-textbook
4,12,yes,tell,讲述；告诉,43,observed-from-klose-textbook
4,13,no,everyone,每人,43,observed-from-klose-textbook
4,14,yes,Ms,（用于女子的姓氏或姓名前，不指明婚否）女士,45,observed-from-klose-textbook
5,1,yes,speak,说话；发言,52,observed-from-klose-textbook
5,2,yes,weather,天气,52,observed-from-klose-textbook
5,3,yes,sunny,阳光充足的,52,observed-from-klose-textbook
5,4,yes,hot,热的,52,observed-from-klose-textbook
5,5,yes,bad,令人不快的；坏的,52,observed-from-klose-textbook
5,6,yes,cold,冷的,52,observed-from-klose-textbook
5,7,yes,windy,多风的,53,observed-from-klose-textbook
5,8,yes,cloudy,多云的,53,observed-from-klose-textbook
5,9,no,rainy,阴雨的,53,observed-from-klose-textbook
5,10,no,snowy,多雪的,53,observed-from-klose-textbook
5,11,yes,cool,凉爽的,53,observed-from-klose-textbook
5,12,yes,warm,温暖的,53,observed-from-klose-textbook
5,13,yes,tomorrow,在明天,53,observed-from-klose-textbook
5,14,yes,rain,下雨；雨,55,observed-from-klose-textbook
5,15,no,closed,关闭的,55,observed-from-klose-textbook
5,16,yes,film,电影,55,observed-from-klose-textbook
5,17,yes,idea,想法；主意,55,observed-from-klose-textbook
5,18,yes,fly,操纵（飞行器等）；飞,56,observed-from-klose-textbook
5,19,yes,kite,风筝,56,observed-from-klose-textbook
5,20,no,snowman,雪人,56,observed-from-klose-textbook
5,21,no,fun,享乐；乐趣,57,observed-from-klose-textbook
5,22,yes,their,他们的；她们的；它们的,57,observed-from-klose-textbook
5,23,yes,swim,游泳,57,observed-from-klose-textbook
5,24,no,Sydney,悉尼,52,observed-from-klose-textbook
6,1,yes,whose,谁的,64,observed-from-klose-textbook
6,2,yes,sweater,毛衣,64,observed-from-klose-textbook
6,3,yes,sock,短袜,64,observed-from-klose-textbook
6,4,no,mine,我的,64,observed-from-klose-textbook
6,5,yes,wear,穿；戴,64,observed-from-klose-textbook
6,6,yes,shirt,衬衫,64,observed-from-klose-textbook
6,7,yes,coat,大衣；外套,64,observed-from-klose-textbook
6,8,yes,dress,连衣裙,65,observed-from-klose-textbook
6,9,yes,which,哪一个；哪一些,67,observed-from-klose-textbook
6,10,yes,season,季节,67,observed-from-klose-textbook
6,11,yes,winter,冬天,67,observed-from-klose-textbook
6,12,yes,snow,下雪；雪,67,observed-from-klose-textbook
6,13,no,get together,聚会,67,observed-from-klose-textbook
6,14,yes,spring,春天,68,observed-from-klose-textbook
6,15,yes,summer,夏天,68,observed-from-klose-textbook
6,16,yes,autumn,秋天,68,observed-from-klose-textbook
6,17,no,T-shirt,T恤衫,69,observed-from-klose-textbook
6,18,no,fall,落下,69,observed-from-klose-textbook
6,19,no,leaf,叶（复数 leaves）,69,observed-from-klose-textbook
6,20,no,glove,手套,69,observed-from-klose-textbook
6,21,yes,then,然后；那时,69,observed-from-klose-textbook
