BatchID,LearnerProfile,LearnerLevel,NoteID,ContentFingerprint,ReviewStatus,ReviewedAt,ReviewerType,ReviewNote
grade5-6-current-v1-model-reviewed,klose,4,KV000158,67409d7ace2cead3fccbf5ce7514d884145939a4d5989fb7bb5f2f270c658439,model-reviewed,2026-09-10,model,"Full model semantic review of 288 active Grade 5-6 new Notes plus 55 focused reused/fingerprint-invalidated Notes; review corrections validated by learner-content, auxiliary-vocabulary, current-merge and full Vocabulary gates."
grade5-6-current-v1-model-reviewed,klose,4,KV000193,96848e02b4986efa6326ea4c085771c37fa35e55e049535a168b5011e09f9da8,model-reviewed,2026-09-10,model,"Full model semantic review of 288 active Grade 5-6 new Notes plus 55 focused reused/fingerprint-invalidated Notes; review corrections validated by learner-content, auxiliary-vocabulary, current-merge and full Vocabulary gates."
grade5-6-current-v1-model-reviewed,klose,4,KV000195,49a9ea4cfa9fb865f84b859d668e3d1c4f0452bffe241b895188c03bffab8e07,model-reviewed,2026-09-10,model,"Full model semantic review of 288 active Grade 5-6 new Notes plus 55 focused reused/fingerprint-invalidated Notes; review corrections validated by learner-content, auxiliary-vocabulary, current-merge and full Vocabulary gates."
grade5-6-current-v1-model-reviewed,klose,4,KV000303,c1835716c642cfada78d210bc22dd875feeb16885e8418b033fd266e62010185,model-reviewed,2026-09-10,model,"Full model semantic review of 288 active Grade 5-6 new Notes plus 55 focused reused/fingerprint-invalidated Notes; review corrections validated by learner-content, auxiliary-vocabulary, current-merge and full Vocabulary gates."
grade5-6-current-v1-model-reviewed,klose,4,KV000307,366ad5c38d4d5e37573527e44342d72cf0aa2001ece3681e51cd983465d5229c,model-reviewed,2026-09-10,model,"Full model semantic review of 288 active Grade 5-6 new Notes plus 55 focused reused/fingerprint-invalidated Notes; review corrections validated by learner-content, auxiliary-vocabulary, current-merge and full Vocabulary gates."
grade5-6-current-v1-model-reviewed,klose,4,KV000327,c89dae857d8e741487694246bfe733ff59c6e3f0767f8290221f6e3c9ff61b59,model-reviewed,2026-09-10,model,"Full model semantic review of 288 active Grade 5-6 new Notes plus 55 focused reused/fingerprint-invalidated Notes; review corrections validated by learner-content, auxiliary-vocabulary, current-merge and full Vocabulary gates."
grade5-6-current-v1-model-reviewed,klose,4,KV000359,6696f0cd2a961e96f3dcef3ba84e4ecca8e82df642c9d5db01fa8eb958efff28,model-reviewed,2026-09-10,model,"Full model semantic review of 288 active Grade 5-6 new Notes plus 55 focused reused/fingerprint-invalidated Notes; review corrections validated by learner-content, auxiliary-vocabulary, current-merge and full Vocabulary gates."
grade5-6-current-v1-model-reviewed,klose,4,KV000483,e90893977fa81b053e6f594e7d11ad3fbde2708b9f3ed07ae1d0f447b75a71b0,model-reviewed,2026-09-10,model,"Full model semantic review of 288 active Grade 5-6 new Notes plus 55 focused reused/fingerprint-invalidated Notes; review corrections validated by learner-content, auxiliary-vocabulary, current-merge and full Vocabulary gates."
grade5-6-current-v1-model-reviewed,klose,4,KV000500,da0986f229e2524e76f2d2baed2e92cc732a8a20dcfedcbd5da2655e9f564b74,model-reviewed,2026-09-10,model,"Full model semantic review of 288 active Grade 5-6 new Notes plus 55 focused reused/fingerprint-invalidated Notes; review corrections validated by learner-content, auxiliary-vocabulary, current-merge and full Vocabulary gates."
grade5-6-current-v1-model-reviewed,klose,4,KV000519,0f2f7f368c5257c9c0ca88428d292e8be66dba25e6a22d9dbc1b62bb7bcd3e36,model-reviewed,2026-09-10,model,"Full model semantic review of 288 active Grade 5-6 new Notes plus 55 focused reused/fingerprint-invalidated Notes; review corrections validated by learner-content, auxiliary-vocabulary, current-merge and full Vocabulary gates."
