SourceID,SourceEdition,SourceBook,Grade,Semester,Unit,Order,Starred,Entry,Meaning,Page,SourceStatus,EvidenceFileID
pending-identification,pending-identification,grade5-lower,5,下,1,1,no,eat breakfast,吃早饭,5,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,2,no,have ... class,上……课,5,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,3,no,play sports,进行体育运动,5,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,4,no,exercise,活动；运动,5,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,5,no,do morning exercises,做早操,5,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,6,no,eat dinner,吃晚饭,5,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,7,no,clean my room,打扫我的房间,8,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,8,no,go for a walk,散步,8,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,9,no,go shopping,去买东西；购物,8,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,10,no,take,学习；上（课）,8,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,11,no,dancing,跳舞；舞蹈,8,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,12,no,take a dancing class,上舞蹈课,8,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,13,no,when,什么时候；何时,4,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,14,no,after,在（时间）后,4,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,15,no,start,开始,4,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,16,no,usually,通常地；惯常地,4,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,17,no,Spain,西班牙,4,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,18,no,late,晚；迟,4,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,19,no,a.m.,午前；上午,5,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,20,no,p.m.,午后；下午,5,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,21,no,why,为什么,7,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,22,no,shop,去买东西；购物,7,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,23,no,work,工作,7,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,24,no,last,上一个的；刚过去的,7,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,25,no,sound,听起来好像,7,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,26,no,also,还；也,7,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,27,no,busy,忙的,7,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,28,no,need,需要,7,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,29,no,play,戏剧；剧本,9,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,30,no,letter,信,9,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,31,no,live,居住,9,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,32,no,island,岛,9,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,33,no,always,总是；一直,9,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,34,no,cave,山洞；洞穴,9,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,35,no,go swimming,去游泳,9,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,1,36,no,win,获胜,9,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,1,no,spring,春天,15,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,2,no,summer,夏天,15,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,3,no,autumn,秋天,15,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,4,no,winter,冬天,15,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,5,no,season,季节,15,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,6,no,picnic,野餐,18,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,7,no,go on a picnic,去野餐,18,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,8,no,pick,摘；采集,18,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,9,no,pick apples,摘苹果,18,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,10,no,snowman,雪人,18,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,11,no,make a snowman,堆雪人,18,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,12,no,go swimming,去游泳,18,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,13,no,which,哪一个,14,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,14,no,best,最；最高程度地,14,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,15,no,snow,雪,14,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,16,no,good job,做得好,17,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,17,no,because,因为,17,observed-from-klose-textbook,file_00000000b46481fdb939aa0d72fb53e8
pending-identification,pending-identification,grade5-lower,5,下,2,18,no,vacation,假期,17,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,2,19,no,all,全；完全,19,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,2,20,no,pink,粉色；粉色的,19,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,2,21,no,lovely,可爱的；美丽的,19,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,2,22,no,leaf,叶子,19,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,2,23,no,fall,落下；【美】秋天,19,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,2,24,no,paint,用颜料绘画,19,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,1,no,January,一月,25,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,2,no,February,二月,25,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,3,no,March,三月,25,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,4,no,April,四月,25,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,5,no,May,五月,25,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,6,no,June,六月,25,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,7,no,July,七月,28,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,8,no,August,八月,28,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,9,no,September,九月,28,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,10,no,October,十月,28,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,11,no,November,十一月,28,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,12,no,December,十二月,28,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,13,no,few,不多；很少,24,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
pending-identification,pending-identification,grade5-lower,5,下,3,14,no,a few,一些,24,observed-from-klose-textbook,file_0000000021748230a3fe013ca478fd9a
