NoteID,British,American,FactStatus,FactSource
KV000902,[tiːm],[tiːm],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:beijing_start1_staging|staging:beishida_start1_staging|staging:cambridge_join_start3_staging|staging:hujiao_start3_staging|staging:kepu_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging
KV000903,[ˈpleɪə(r)],[ˈpleɪər],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:cambridge_join_start3_staging|staging:jiaoke_eec_start3_staging|staging:waiyan_start1_staging
KV000904,[hɪm; ɪm],[hɪm; ɪm],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:beijing_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging
KV000905,[ˌhɑːd ˈwɜːkɪŋ],[ˌhɑːrd ˈwɜːrkɪŋ],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:renjiao_start3_staging
KV000906,[ˈrəʊbɒt],[ˈroʊbɑːt],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:beijing_start1_staging|staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging
KV000907,[dʒʌmp],[dʒʌmp],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:beijing_start1_staging|staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging
KV000908,[rəʊp],[roʊp],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:cambridge_join_start3_staging
KV000909,[piˈænəʊ],[piˈænoʊ],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:waiyan_start1_staging|staging:xiangshao_start3_staging
KV000910,[tʃes],[tʃes],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:beijing_start1_staging|staging:guangzhou_start3_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging
KV000911,[frʌnt],[frʌnt],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:beijing_start1_staging|staging:guangzhou_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging
KV000912,[ˈiːzi],[ˈiːzi],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:beijing_start1_staging|staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangdong_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging
KV000913,[stɑː(r)],[stɑːr],repo-exact-unanimous,grade5_6_lexical_facts:auto|legacy:rj_start1-master|staging:beijing_start1_staging|staging:beishida_start1_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start1_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging
KV000914,[ˈmætə(r)],[ˈmætər],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:jiaoke_eec_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging
KV000915,[ˈprɒdʒekt],[ˈprɑːdʒekt],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:hujiao_start3_staging|staging:niujin_shanghai_start1_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging
KV000916,[ˈsentə(r)],[ˈsentər],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:guangzhou_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:xiangshao_start3_staging
KV000917,[əˈɡriː],[əˈɡriː],repo-exact-unanimous,grade5_6_lexical_facts:auto|staging:beishida_start1_staging|staging:jiaoke_eec_start3_staging|staging:niujin_shanghai_start1_staging
